Tabela 1,,,,,,,,,,
Dados Gerais por Zona de Pesquisa – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,, ,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,,,,,Matrículas,,Automóveis,Viagens,Viagens,
Zona ,Nome,Domicílios,Famílias,População,Escolares,Empregos,Particulares,Produzidas,Atraidas,Área (ha)
,,,,,,,,,,
1,Sé,"1,617","1,617"," 3,600 "," 11,618 "," 65,918 ",776,"90,355","90,485", 57 
2,Parque Dom Pedro,"1,820","1,820"," 4,245 "," 1,509 "," 50,552 ",837,"82,803","83,071", 114 
3,Praça João Mendes,"7,436","7,436"," 16,579 "," 5,052 "," 18,142 ","1,895","48,907","48,945", 48 
4,Ladeira da Memória,"13,462","13,462"," 24,906 "," 2,847 "," 24,904 ","3,769","64,347","64,565", 75 
5,República,"8,655","8,655"," 15,099 "," 4,108 "," 82,670 ","4,674","124,859","125,836", 75 
6,Santa Ifigênia,"9,831","9,831"," 22,224 "," 1,016 "," 36,623 ","1,207","67,200","68,301", 83 
7,Luz,"5,688","5,688"," 14,849 "," 4,810 "," 31,034 ","2,275","61,550","63,292", 155 
8,Bom Retiro,"4,251","4,251"," 11,874 "," 4,763 "," 12,713 ","1,700","29,053","29,013", 143 
9,Ponte Pequena,"2,766","2,766"," 7,630 "," 7,062 "," 13,429 ","1,106","31,192","30,084", 130 
10,Canindé,451,451," 2,134 "," 6,138 "," 9,677 ",189,"20,485","20,774", 83 
11,Bom Jardim,"1,496","1,496"," 4,345 "," 1,406 "," 3,788 ",763,"10,704","10,719", 50 
12,Pari,"3,667","3,667"," 11,311 "," 2,746 "," 20,527 ","1,907","43,301","45,471", 140 
13,João Teodoro,324,324, 810 , 558 ," 20,784 ",207,"30,767","30,726", 39 
14,Oriente,657,657," 1,700 "," 3,526 "," 21,079 ",237,"44,728","45,775", 70 
15,Bresser,"3,590","3,590"," 8,592 ", 540 ," 15,617 ","1,267","25,448","25,612", 77 
16,Brás,"8,541","8,541"," 19,412 "," 3,765 "," 15,021 ","3,587","50,213","50,737", 109 
17,Gasômetro,"3,473","3,509"," 9,199 ", 493 ," 9,175 ","1,038","24,615","24,616", 69 
18,Independência,"11,339","11,339"," 26,660 "," 3,889 "," 25,788 ","5,896","65,314","67,130", 254 
19,Cambuci,"8,228","8,228"," 19,625 "," 7,336 "," 13,308 ","6,804","41,692","41,673", 140 
20,Glicério,"10,954","10,954"," 24,683 "," 2,376 "," 12,203 ","5,868","41,115","41,106", 108 
21,Aclimação,"7,489","7,489"," 16,704 "," 3,322 "," 8,857 ","5,644","25,776","26,105", 114 
22,Pires da Mota,"5,806","5,806"," 11,411 "," 2,584 "," 6,685 ","3,762","21,681","21,878", 50 
23,Centro Cultural,"2,258","2,258"," 4,162 "," 30,456 "," 12,186 ",994,"42,229","42,399", 33 
24,Liberdade,"5,434","5,434"," 10,737 "," 40,869 "," 21,481 ","2,131","56,939","57,452", 59 
25,Treze de Maio,"8,566","8,566"," 16,746 "," 2,127 "," 10,432 ","3,255","29,302","29,002", 43 
26,Bexiga,"5,959","5,959"," 11,824 "," 10,397 "," 12,226 ","1,907","31,465","31,780", 52 
27,Bela Vista,"7,632","7,632"," 15,414 "," 14,723 "," 48,486 ","6,572","89,262","90,491", 94 
28,São Carlos do Pinhal,"3,814","3,814"," 7,390 "," 10,818 "," 21,316 ","2,479","46,075","45,583", 31 
29,Masp,"5,988","5,988"," 10,141 "," 7,470 "," 71,741 ","4,758","99,433","98,947", 57 
30,Higienópolis,"7,987","8,041"," 16,787 "," 3,113 "," 12,710 ","7,076","38,018","37,543", 68 
31,Vila Buarque,"12,925","12,925"," 22,443 "," 29,915 "," 27,451 ","5,539","99,431","98,985", 90 
32,Consolação,"4,018","4,018"," 7,339 "," 13,189 "," 53,925 ","2,377","79,447","80,477", 57 
33,Pacaembu,536,536," 1,538 ", 853 ," 1,303 ",690,"6,126","6,128", 90 
34,FAAP,"2,775","2,775"," 6,465 "," 4,587 "," 9,644 ","2,891","22,050","22,260", 74 
35,Santa Cecília,"17,808","17,808"," 34,564 "," 5,620 "," 48,414 ","7,771","96,707","96,915", 144 
36,Marechal Deodoro,"18,836","18,836"," 39,380 "," 7,378 "," 35,806 ","11,042","88,652","88,647", 142 
37,Rudge,"4,069","4,069"," 9,040 ", 843 ," 11,338 ","2,848","20,875","21,660", 85 
38,Catumbi,"1,938","1,938"," 5,524 "," 1,140 "," 4,018 ","1,202","11,444","11,650", 81 
39,Belém,"4,833","4,833"," 13,216 "," 2,373 "," 12,392 ","2,653","31,186","30,191", 161 
40,Quarta Parada,"3,308","3,363"," 8,210 "," 4,405 "," 12,144 ","2,343","32,548","32,449", 127 
41,Belenzinho,"8,869","8,869"," 23,310 "," 6,144 "," 19,042 ","7,589","55,169","55,028", 180 
42,Celso Garcia,"2,405","2,597"," 6,911 ", 226 ," 7,210 ",866,"17,408","17,405", 64 
43,Mooca,"12,389","12,475"," 32,094 "," 20,007 "," 30,182 ","10,152","76,050","77,316", 272 
44,Alto da Mooca,"6,871","6,871"," 16,950 "," 2,125 "," 19,232 ","4,715","52,753","53,996", 142 
45,Parque da Mooca,"13,462","13,462"," 33,846 "," 12,960 "," 37,255 ","12,069","87,656","87,466", 381 
46,Água Rasa,"15,064","15,365"," 37,113 "," 9,148 "," 13,439 ","12,352","57,525","58,440", 316 
47,Vila Bertioga,"10,860","10,860"," 26,005 "," 3,979 "," 8,698 ","8,688","32,435","32,422", 195 
48,Regente Feijó,"10,194","10,194"," 24,802 "," 3,722 "," 13,334 ","9,990","38,439","39,094", 204 
49,Ana Rosa,"7,226","7,226"," 14,861 "," 4,609 "," 18,305 ","5,096","37,471","37,469", 94 
50,Jardim da Glória,"4,033","4,033"," 9,562 "," 1,477 "," 3,820 ","2,763","17,472","17,482", 88 
51,Chácara Klabin,"6,808","6,808"," 15,885 "," 3,196 "," 8,586 ","9,490","28,359","28,359", 98 
52,Vila Mariana,"4,516","4,516"," 9,523 "," 2,190 "," 9,582 ","3,432","24,350","24,103", 60 
53,Santa Cruz,"6,060","6,060"," 14,056 "," 6,505 "," 21,924 ","6,060","56,068","55,916", 109 
54,Vila Clementino,"4,025","4,025"," 8,445 "," 3,191 "," 27,774 ","2,616","56,464","59,177", 94 
55,França Pinto,"6,897","6,897"," 15,479 "," 19,354 "," 15,883 ","5,656","50,720","51,261", 112 
56,Rodrigues Alves,"9,830","10,096"," 20,419 "," 12,282 "," 21,083 ","5,712","54,270","53,774", 104 
57,Paraíso,"10,013","10,013"," 22,219 "," 5,889 "," 45,685 ","7,446","69,599","67,029", 96 
58,Bosque da Saúde,"14,751","14,908"," 34,327 "," 4,206 "," 17,772 ","10,514","63,418","62,963", 170 
59,Saúde,"21,941","21,941"," 50,121 "," 7,805 "," 29,497 ","12,189","85,926","85,642", 261 
60,Planalto Paulista,"8,126","8,126"," 20,675 "," 1,804 "," 17,182 ","5,376","41,358","41,844", 322 
61,Mirandópolis,"12,200","12,200"," 26,538 "," 3,839 "," 18,180 ","7,320","53,213","52,917", 173 
62,Parque Ibirapuera,"2,201","2,201"," 4,939 "," 4,310 "," 15,433 ","2,304","39,924","39,244", 284 
63,Jardim Luzitânia,777,777," 2,050 ", 419 ," 14,897 ",877,"29,149","29,304", 103 
64,Moema,"14,530","14,530"," 31,340 "," 4,419 "," 42,155 ","14,098","91,245","90,389", 175 
65,Vila Helena,"12,116","12,116"," 26,312 "," 12,033 "," 17,515 ","15,751","53,476","53,456", 105 
66,Bandeirantes,"4,899","4,899"," 10,382 "," 4,094 "," 24,359 ","5,859","60,868","61,155", 133 
67,Vila Nova Conceição,"3,932","3,932"," 8,911 "," 1,307 "," 12,324 ","3,932","25,490","24,867", 112 
68,Chácara Itaim,"12,357","12,357"," 25,600 "," 4,305 "," 79,343 ","7,959","104,288","103,808", 204 
69,Vila Olímpia,"5,505","5,505"," 10,652 "," 4,273 "," 41,067 ","3,981","62,534","63,193", 90 
70,Hélio Pelegrino,"6,636","6,636"," 13,371 "," 13,735 "," 24,646 ","5,882","52,632","54,311", 103 
71,Brooklin,"14,170","14,170"," 31,301 "," 6,014 "," 27,790 ","15,587","81,530","80,490", 234 
72,Vila Cordeiro,"5,919","5,919"," 13,179 "," 6,718 "," 27,814 ","6,393","39,627","39,502", 177 
73,Berrini,"4,585","4,585"," 9,870 ", 482 ," 153,383 ","5,094","152,132","153,299", 197 
74,Campinas,"5,775","5,775"," 11,524 "," 8,493 "," 52,343 ","5,828","72,776","72,800", 49 
75,Pamplona,"6,478","6,478"," 13,239 ", 992 ," 15,372 ","4,270","27,434","27,295", 51 
76,Jardins,"3,949","3,949"," 9,249 "," 2,274 "," 15,268 ","3,787","31,340","30,771", 238 
77,Clínicas,"11,386","11,386"," 22,332 "," 5,179 "," 43,641 ","11,041","83,607","85,829", 129 
78,Oscar Freire,"8,638","8,696"," 17,995 ", 717 ," 25,746 ","10,481","44,947","44,964", 100 
79,Trianon,"4,751","4,751"," 9,554 "," 5,949 "," 45,116 ","3,598","78,663","80,508", 60 
80,Jardim Paulistano,"9,634","9,634"," 19,075 "," 3,763 "," 31,037 ","5,716","58,479","58,917", 99 
81,Jardim Europa,"4,770","4,770"," 11,912 "," 2,338 "," 46,647 ","7,675","57,313","57,361", 308 
82,Pinheiros,"6,286","6,286"," 12,398 "," 5,047 "," 72,610 ","4,775","110,938","112,661", 203 
83,Vila Madalena,"11,245","11,245"," 23,379 "," 7,877 "," 33,715 ","9,446","68,414","68,557", 219 
84,PUC,"7,440","7,440"," 16,698 "," 13,645 "," 15,664 ","6,916","48,355","48,296", 73 
85,Cardoso de Almeida,"1,671","1,731"," 4,291 "," 2,628 "," 4,554 ","1,910","13,018","13,016", 63 
86,Zequinha de Abreu,"1,307","1,307"," 3,031 "," 1,447 "," 3,718 ","1,335","7,410","7,409", 50 
87,Sumaré,"7,661","7,661"," 16,749 "," 2,213 "," 11,747 ","7,150","36,821","36,640", 139 
88,Perdizes,"17,841","17,841"," 39,132 "," 4,181 "," 23,366 ","14,511","85,138","84,628", 168 
89,Vila Anglo Brasileira,"5,564","5,564"," 12,325 ", 623 ," 4,681 ","4,304","14,412","14,412", 79 
90,Pompéia,"5,834","5,834"," 12,709 "," 3,923 "," 7,552 ","4,917","26,598","27,005", 60 
91,Santa Marina,"6,232","6,232"," 14,340 "," 13,627 "," 27,195 ","3,241","53,438","52,692", 295 
92,Barra Funda,"1,405","1,405"," 3,486 "," 2,433 "," 19,824 ","1,208","40,499","39,460", 118 
93,Francisco Matarazzo,"4,727","4,727"," 10,352 "," 39,738 "," 30,872 ","4,432","73,590","73,196", 105 
94,Água Branca,"2,580","2,580"," 6,089 "," 2,450 "," 18,613 ","2,425","39,493","39,887", 71 
95,Vila Beatriz,"7,217","7,217"," 16,371 "," 2,369 "," 9,004 ","9,549","30,764","30,433", 184 
96,Alto de Pinheiros,"2,395","2,395"," 6,426 "," 2,785 "," 11,830 ","3,215","28,596","29,033", 253 
97,Boaçava,"6,559","6,559"," 15,490 ", 606 ," 10,968 ","9,882","25,592","25,717", 314 
98,Vila Anastácio,"3,558","3,558"," 8,832 ", 993 ," 6,664 ","2,491","20,297","20,408", 165 
99,Lapa de Baixo,"3,708","3,708"," 8,747 ", 859 ," 25,724 ","2,299","29,833","30,165", 243 
100,Lapa,"10,263","10,460"," 23,708 "," 13,512 "," 55,226 ","7,105","130,293","130,106", 225 
101,Vila Ipojuca,"9,273","9,442"," 21,565 "," 2,781 "," 12,062 ","7,081","26,386","26,393", 168 
102,Alto da Lapa,"5,019","5,019"," 12,055 "," 2,587 "," 10,615 ","6,713","27,176","27,387", 160 
103,Gavião Peixoto,829,829," 2,503 ", 59 ," 5,265 ","1,353","6,876","9,217", 69 
104,Bela Aliança,"2,662","2,684"," 6,389 "," 1,514 "," 4,071 ","3,106","9,999","10,386", 71 
105,Vila Hamburguesa,"5,461","5,522"," 13,001 "," 2,248 "," 11,839 ","5,886","28,875","29,055", 149 
106,CEASA,"2,571","2,571"," 7,004 ", 301 ," 26,935 ",514,"29,052","30,442", 198 
107,Vila Leopoldina,"6,604","6,604"," 16,361 "," 9,987 "," 15,805 ","7,994","42,663","42,287", 92 
108,Emissário,"1,861","1,935"," 5,285 ", 841 ," 15,938 ","1,340","22,212","24,297", 191 
109,Vila Zatt,"43,935","44,491"," 119,648 "," 17,728 "," 44,369 ","34,481","161,014","161,532"," 1,220 "
110,Pirituba,"26,070","26,070"," 64,542 "," 13,683 "," 25,025 ","17,380","97,492","97,405", 489 
111,São Domingos,"19,596","19,596"," 51,231 "," 8,506 "," 17,421 ","18,487","72,640","72,326", 582 
112,Jardim Mutinga,"14,011","14,291"," 39,861 "," 7,261 "," 20,504 ","9,808","56,282","56,475", 412 
113,Vila Jaguara,"9,443","9,443"," 25,344 "," 8,453 "," 25,129 ","7,743","59,105","58,438", 454 
114,Parque do Jaraguá,,0, - , - , -   ,0,-,-, 489 
115,Nova Jaraguá,"18,444","18,444"," 51,960 "," 16,375 "," 18,199 ","14,268","80,647","79,981", 778 
116,Parada de Taipas,"57,957","58,343"," 164,908 "," 39,270 "," 35,169 ","26,660","238,722","240,207"," 1,553 "
117,Parque Morro Doce,"21,697","21,697"," 61,982 "," 10,885 "," 22,128 ","15,622","87,166","85,200"," 1,527 "
118,Anhanguera,"5,328","5,420"," 15,250 "," 2,357 "," 5,339 ","2,572","21,825","21,903"," 1,813 "
119,Perus,"31,265","31,786"," 89,903 "," 26,480 "," 25,806 ","16,675","119,980","121,548"," 2,369 "
120,Vista Alegre,,0, - , - , -   ,0,-,-, 742 
121,Jardim Damasceno,"28,824","29,304"," 82,349 "," 20,717 "," 14,095 ","10,088","105,682","104,473", 574 
122,Vila Souza,"16,571","16,571"," 47,809 "," 6,441 "," 9,574 ","10,274","57,185","57,253", 221 
123,Vila Terezinha,"22,853","22,853"," 62,629 "," 8,776 "," 6,948 ","12,798","75,239","73,773", 251 
124,Brasilândia,"20,619","20,619"," 56,530 "," 25,772 "," 12,845 ","11,959","88,145","88,536", 318 
125,Vila Morro Grande,"19,166","19,876"," 51,953 "," 11,624 "," 13,111 ","13,132","73,339","75,117", 413 
126,Itaberaba,"12,330","12,330"," 34,294 "," 7,936 "," 12,003 ","6,876","60,306","60,129", 207 
127,Freguesia do Ó,"21,127","21,127"," 54,403 "," 18,681 "," 29,135 ","14,570","112,992","111,616", 486 
128,Carandiru,958,958," 2,146 "," 3,636 "," 9,781 ",578,"23,985","23,723", 38 
129,Santana,"1,742","1,742"," 3,824 ", 795 ," 14,984 ",723,"35,075","36,587", 54 
130,Zaki Narchi,"1,185","1,185"," 5,655 ", 639 ," 5,621 ",711,"13,016","12,961", 71 
131,Tietê,590,590," 1,429 "," 2,979 "," 11,495 ",366,"19,214","17,691", 79 
132,Parque Anhembi,,0, - , 381 ," 3,419 ",0,"10,486","11,323", 314 
133,Alfredo Pujol,"16,784","16,784"," 38,784 "," 13,179 "," 23,596 ","13,054","74,775","74,719", 215 
134,Santa Terezinha,"12,686","12,686"," 32,066 "," 7,751 "," 14,419 ","12,935","63,145","64,448", 251 
135,Jardim São Paulo,"14,550","14,550"," 34,660 "," 7,821 "," 19,835 ","11,176","69,978","70,034", 291 
136,Casa Verde,"12,699","12,699"," 32,094 "," 5,368 "," 21,441 ","7,533","69,247","69,358", 325 
137,Parque Peruche,"18,193","18,193"," 50,443 "," 9,587 "," 19,037 ","13,827","70,411","70,398", 392 
138,Limão,"4,378","4,378"," 11,911 "," 1,813 "," 15,329 ","2,452","34,211","34,228", 172 
139,Jardim Primavera,"10,675","10,675"," 27,568 "," 7,279 "," 8,318 ","7,473","50,694","50,732", 193 
140,Vila Santa Maria,"17,000","17,000"," 44,941 "," 8,352 "," 11,342 ","9,943","58,057","57,761", 278 
141,Cachoeirinha,"31,330","31,330"," 82,731 "," 14,539 "," 32,355 ","21,304","152,136","152,993", 479 
142,Jardim Peri,"22,375","22,375"," 64,197 "," 3,969 "," 13,526 ","7,745","70,706","70,760", 444 
143,Reserva da Cantareira,,0, - , - , -   ,0,-,-, 437 
144,Mandaqui,"37,743","38,372"," 98,247 "," 16,966 "," 31,960 ","24,533","180,688","177,571", 552 
145,Horto Florestal,"2,792","2,792"," 7,994 "," 4,876 "," 2,658 ","2,624","13,364","13,356", 342 
146,ETA Guaraú,,0, - , - , -   ,0,-,-, 429 
147,Parque Palmas do Tremembé,"10,419","10,623"," 29,295 "," 3,919 "," 9,574 ","7,763","45,272","45,223", 407 
148,Tremembé,"7,635","7,635"," 20,986 "," 4,078 "," 8,076 ","9,132","35,820","36,573", 332 
149,Cantareira,,0, - , - , -   ,0,280,280," 2,886 "
150,Jardim das Pedras,"17,291","17,291"," 51,675 "," 11,503 "," 15,498 ","8,991","61,342","60,448"," 1,609 "
151,Jardim Guapira,"34,997","34,997"," 99,491 "," 14,077 "," 17,183 ","13,362","102,671","99,376", 549 
152,Parada Inglesa,"14,294","14,294"," 35,826 "," 3,959 "," 11,810 ","9,810","61,002","60,827", 243 
