Tabela 10,,,
Matrículas Escolares por Tipo de Estabelecimento e Zona de Escola – 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de ,Matrículas Escolares por Tipo de Escola,,
Escola,Pública,Particular,Total
,,,
 1 ," 3,470 "," 8,148 "," 11,618 "
 2 , 738 , 771 ," 1,509 "
 3 ," 2,501 "," 2,551 "," 5,052 "
 4 ," 2,321 ", 526 ," 2,847 "
 5 , 99 ," 4,008 "," 4,108 "
 6 , 82 , 933 ," 1,016 "
 7 ," 2,890 "," 1,920 "," 4,810 "
 8 , 972 ," 3,791 "," 4,763 "
 9 ," 3,462 "," 3,599 "," 7,062 "
 10 ," 1,931 "," 4,207 "," 6,138 "
 11 ," 1,152 ", 254 ," 1,406 "
 12 ," 2,413 ", 333 ," 2,746 "
 13 , 558 , -   , 558 
 14 ," 2,671 ", 855 ," 3,526 "
 15 , 103 , 437 , 540 
 16 ," 3,765 ", -   ," 3,765 "
 17 , 288 , 206 , 493 
 18 ," 2,143 "," 1,746 "," 3,889 "
 19 ," 2,357 "," 4,979 "," 7,336 "
 20 ," 1,716 ", 660 ," 2,376 "
 21 ," 2,409 ", 913 ," 3,322 "
 22 ," 1,110 "," 1,474 "," 2,584 "
 23 , 414 ," 30,042 "," 30,456 "
 24 ," 1,833 "," 39,036 "," 40,869 "
 25 , 754 ," 1,372 "," 2,127 "
 26 ," 2,097 "," 8,301 "," 10,397 "
 27 , 904 ," 13,819 "," 14,723 "
 28 , 453 ," 10,365 "," 10,818 "
 29 , 422 ," 7,048 "," 7,470 "
 30 , 312 ," 2,802 "," 3,113 "
 31 ," 1,868 "," 28,047 "," 29,915 "
 32 , 392 ," 12,797 "," 13,189 "
 33 , -   , 853 , 853 
 34 , -   ," 4,587 "," 4,587 "
 35 ," 4,100 "," 1,520 "," 5,620 "
 36 , 800 ," 6,578 "," 7,378 "
 37 , 763 , 80 , 843 
 38 ," 1,114 ", 26 ," 1,140 "
 39 ," 2,048 ", 325 ," 2,373 "
 40 ," 2,010 "," 2,395 "," 4,405 "
 41 ," 2,075 "," 4,069 "," 6,144 "
 42 , -   , 226 , 226 
 43 ," 3,323 "," 16,685 "," 20,007 "
 44 , 459 ," 1,666 "," 2,125 "
 45 ," 4,538 "," 8,421 "," 12,960 "
 46 ," 6,799 "," 2,349 "," 9,148 "
 47 , 633 ," 3,346 "," 3,979 "
 48 ," 1,572 "," 2,150 "," 3,722 "
 49 , 504 ," 4,105 "," 4,609 "
 50 ," 1,329 ", 148 ," 1,477 "
 51 ," 1,460 "," 1,736 "," 3,196 "
 52 , 394 ," 1,796 "," 2,190 "
 53 , 478 ," 6,027 "," 6,505 "
 54 ," 1,325 "," 1,865 "," 3,191 "
 55 ," 1,949 "," 17,404 "," 19,354 "
 56 ," 1,515 "," 10,766 "," 12,282 "
 57 ," 1,555 "," 4,334 "," 5,889 "
 58 ," 1,889 "," 2,317 "," 4,206 "
 59 ," 2,253 "," 5,552 "," 7,805 "
 60 ," 1,709 ", 96 ," 1,804 "
 61 ," 1,680 "," 2,160 "," 3,839 "
 62 ," 1,624 "," 2,685 "," 4,310 "
 63 , 21 , 398 , 419 
 64 ," 1,229 "," 3,190 "," 4,419 "
 65 , 796 ," 11,237 "," 12,033 "
 66 ," 2,345 "," 1,749 "," 4,094 "
 67 , 299 ," 1,008 "," 1,307 "
 68 ," 1,877 "," 2,428 "," 4,305 "
 69 , 304 ," 3,969 "," 4,273 "
 70 ," 1,091 "," 12,644 "," 13,735 "
 71 , 256 ," 5,758 "," 6,014 "
 72 ," 4,533 "," 2,184 "," 6,718 "
 73 , 85 , 396 , 482 
 74 , -   ," 8,493 "," 8,493 "
 75 , -   , 992 , 992 
 76 , -   ," 2,274 "," 2,274 "
 77 ," 1,869 "," 3,309 "," 5,179 "
 78 , -   , 717 , 717 
 79 , 297 ," 5,652 "," 5,949 "
 80 ," 2,047 "," 1,715 "," 3,763 "
 81 , -   ," 2,338 "," 2,338 "
 82 ," 1,411 "," 3,637 "," 5,047 "
 83 ," 3,890 "," 3,987 "," 7,877 "
 84 , 351 ," 13,294 "," 13,645 "
 85 , 321 ," 2,307 "," 2,628 "
 86 , 749 , 698 ," 1,447 "
 87 , 118 ," 2,095 "," 2,213 "
 88 ," 1,432 "," 2,749 "," 4,181 "
 89 , 440 , 183 , 623 
 90 , 510 ," 3,413 "," 3,923 "
 91 , 982 ," 12,645 "," 13,627 "
 92 ," 1,022 "," 1,411 "," 2,433 "
 93 ," 1,214 "," 38,524 "," 39,738 "
 94 , -   ," 2,450 "," 2,450 "
 95 , 125 ," 2,244 "," 2,369 "
 96 , 491 ," 2,294 "," 2,785 "
 97 , 100 , 505 , 606 
 98 , 993 , -   , 993 
 99 , 374 , 485 , 859 
 100 ," 3,229 "," 10,283 "," 13,512 "
 101 ," 1,204 "," 1,577 "," 2,781 "
 102 ," 1,541 "," 1,046 "," 2,587 "
 103 , -   , 59 , 59 
 104 ," 1,261 ", 253 ," 1,514 "
 105 , 897 ," 1,351 "," 2,248 "
 106 , 136 , 166 , 301 
 107 ," 1,151 "," 8,837 "," 9,987 "
 108 , 558 , 284 , 841 
 109 ," 12,997 "," 4,732 "," 17,728 "
 110 ," 3,818 "," 9,865 "," 13,683 "
 111 ," 7,435 "," 1,071 "," 8,506 "
 112 ," 5,997 "," 1,264 "," 7,261 "
 113 ," 7,347 "," 1,105 "," 8,453 "
 114 , - , - , -   
 115 ," 13,605 "," 2,771 "," 16,375 "
 116 ," 35,767 "," 3,504 "," 39,270 "
 117 ," 9,169 "," 1,716 "," 10,885 "
 118 ," 2,357 ", -   ," 2,357 "
 119 ," 23,898 "," 2,582 "," 26,480 "
 120 , - , - , -   
 121 ," 18,695 "," 2,022 "," 20,717 "
 122 ," 6,441 ", -   ," 6,441 "
 123 ," 8,676 ", 99 ," 8,776 "
 124 ," 21,847 "," 3,925 "," 25,772 "
 125 ," 10,575 "," 1,049 "," 11,624 "
 126 ," 4,919 "," 3,016 "," 7,936 "
 127 ," 13,219 "," 5,462 "," 18,681 "
 128 , 546 ," 3,090 "," 3,636 "
 129 , 645 , 150 , 795 
 130 , 444 , 195 , 639 
 131 , 649 ," 2,331 "," 2,979 "
 132 , 43 , 338 , 381 
 133 ," 2,702 "," 10,477 "," 13,179 "
 134 ," 2,854 "," 4,897 "," 7,751 "
 135 ," 4,676 "," 3,145 "," 7,821 "
 136 ," 3,529 "," 1,839 "," 5,368 "
 137 ," 5,552 "," 4,034 "," 9,587 "
 138 ," 1,168 ", 644 ," 1,813 "
 139 ," 4,145 "," 3,134 "," 7,279 "
 140 ," 4,631 "," 3,721 "," 8,352 "
 141 ," 10,117 "," 4,422 "," 14,539 "
 142 ," 3,735 ", 234 ," 3,969 "
 143 , - , - , -   
 144 ," 11,260 "," 5,705 "," 16,966 "
 145 ," 2,565 "," 2,310 "," 4,876 "
 146 , - , - , -   
 147 ," 2,294 "," 1,625 "," 3,919 "
 148 ," 2,730 "," 1,348 "," 4,078 "
 149 , - , - , -   
 150 ," 10,830 ", 674 ," 11,503 "
 151 ," 13,713 ", 364 ," 14,077 "
 152 ," 1,947 "," 2,012 "," 3,959 "
 153 ," 2,588 "," 1,043 "," 3,632 "
 154 ," 12,410 "," 5,857 "," 18,267 "
 155 ," 1,914 ", 70 ," 1,984 "
 156 ," 9,535 "," 2,764 "," 12,299 "
 157 ," 4,439 ", 161 ," 4,599 "
 158 ," 8,820 "," 1,117 "," 9,937 "
 159 ," 6,421 "," 1,633 "," 8,055 "
 160 ," 3,415 "," 2,941 "," 6,357 "
 161 ," 6,206 ", 71 ," 6,277 "
 162 ," 3,556 "," 8,240 "," 11,796 "
 163 ," 7,641 "," 2,223 "," 9,864 "
 164 , 779 , -   , 779 
 165 , 483 ," 2,377 "," 2,859 "
 166 ," 4,567 "," 8,946 "," 13,514 "
 167 ," 1,435 "," 5,974 "," 7,409 "
 168 ," 3,881 "," 2,504 "," 6,385 "
 169 ," 4,726 "," 36,676 "," 41,403 "
 170 ," 11,558 "," 2,279 "," 13,837 "
 171 ," 4,771 "," 6,515 "," 11,286 "
 172 ," 5,975 "," 1,465 "," 7,439 "
 173 ," 1,529 "," 1,922 "," 3,450 "
 174 ," 9,286 ", -   ," 9,286 "
 175 , 402 , 899 ," 1,300 "
 176 ," 7,841 "," 3,891 "," 11,732 "
