Tabela 11,,,,
Empregos por Setor de Atividade e Zona de Emprego – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de Emprego, Empregos por Setor de Atividade ,,, Total 
, Secundário , Terciário , Outros ,
,,,,
 1 ," 2,612 "," 63,306 ", -   ," 65,918 "
 2 ," 1,281 "," 49,270 ", -   ," 50,552 "
 3 ," 1,179 "," 16,963 ", -   ," 18,142 "
 4 , 939 ," 23,965 ", -   ," 24,904 "
 5 ," 5,398 "," 77,174 ", 99 ," 82,670 "
 6 , 373 ," 36,250 ", -   ," 36,623 "
 7 ," 3,114 "," 27,921 ", -   ," 31,034 "
 8 ," 2,280 "," 10,433 ", -   ," 12,713 "
 9 ," 2,022 "," 11,407 ", -   ," 13,429 "
 10 , 820 ," 8,858 ", -   ," 9,677 "
 11 ," 1,177 "," 2,612 ", -   ," 3,788 "
 12 ," 3,662 "," 16,865 ", -   ," 20,527 "
 13 , 248 ," 20,537 ", -   ," 20,784 "
 14 ," 2,507 "," 18,572 ", -   ," 21,079 "
 15 ," 2,222 "," 13,395 ", -   ," 15,617 "
 16 ," 3,666 "," 11,354 ", -   ," 15,021 "
 17 , 461 ," 8,715 ", -   ," 9,175 "
 18 ," 7,983 "," 17,805 ", -   ," 25,788 "
 19 ," 2,346 "," 10,961 ", -   ," 13,308 "
 20 ," 2,902 "," 9,301 ", -   ," 12,203 "
 21 , 30 ," 8,827 ", -   ," 8,857 "
 22 , -   ," 6,685 ", -   ," 6,685 "
 23 , 139 ," 12,047 ", -   ," 12,186 "
 24 ," 1,377 "," 20,105 ", -   ," 21,481 "
 25 , 805 ," 9,627 ", -   ," 10,432 "
 26 , 421 ," 11,805 ", -   ," 12,226 "
 27 ," 1,601 "," 46,886 ", -   ," 48,486 "
 28 , 397 ," 20,919 ", -   ," 21,316 "
 29 ," 4,312 "," 67,261 ", 168 ," 71,741 "
 30 , 515 ," 12,195 ", -   ," 12,710 "
 31 ," 1,699 "," 25,751 ", -   ," 27,451 "
 32 ," 3,094 "," 50,831 ", -   ," 53,925 "
 33 , 431 , 873 , -   ," 1,303 "
 34 , 713 ," 8,932 ", -   ," 9,644 "
 35 , 543 ," 47,871 ", -   ," 48,414 "
 36 ," 2,456 "," 33,350 ", -   ," 35,806 "
 37 ," 1,552 "," 9,722 ", 64 ," 11,338 "
 38 , 391 ," 3,627 ", -   ," 4,018 "
 39 ," 1,549 "," 10,843 ", -   ," 12,392 "
 40 ," 2,737 "," 9,407 ", -   ," 12,144 "
 41 ," 4,413 "," 14,628 ", -   ," 19,042 "
 42 ," 3,485 "," 3,725 ", -   ," 7,210 "
 43 ," 2,977 "," 27,204 ", -   ," 30,182 "
 44 ," 1,109 "," 18,124 ", -   ," 19,232 "
 45 ," 8,943 "," 28,250 ", 62 ," 37,255 "
 46 ," 2,249 "," 11,190 ", -   ," 13,439 "
 47 ," 1,773 "," 6,925 ", -   ," 8,698 "
 48 ," 1,778 "," 11,556 ", -   ," 13,334 "
 49 ," 2,431 "," 15,874 ", -   ," 18,305 "
 50 , 385 ," 3,435 ", -   ," 3,820 "
 51 , 453 ," 8,133 ", -   ," 8,586 "
 52 ," 1,007 "," 8,575 ", -   ," 9,582 "
 53 ," 1,023 "," 20,901 ", -   ," 21,924 "
 54 , 851 ," 26,922 ", -   ," 27,774 "
 55 ," 2,095 "," 13,788 ", -   ," 15,883 "
 56 , 749 ," 20,334 ", -   ," 21,083 "
 57 ," 3,330 "," 42,355 ", -   ," 45,685 "
 58 , 887 ," 16,885 ", -   ," 17,772 "
 59 ," 2,630 "," 26,867 ", -   ," 29,497 "
 60 , 881 ," 16,302 ", -   ," 17,182 "
 61 ," 1,883 "," 16,297 ", -   ," 18,180 "
 62 , 915 ," 14,321 ", 197 ," 15,433 "
 63 , 274 ," 14,624 ", -   ," 14,897 "
