Tabela 12,,,,,,,,,,,,,,,
Empregos por Classe de Atividade e Zona de Emprego – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Empregos por Classe de Atividade,,,,,,,,,,,,,,
Zona de Emprego,Agrícola,Construção Civil,Indústria,Comércio,Serviços,,,,,,,,,,
,,,,,Transporte de Carga,Transporte de Passageiros,Creditícios Financeiro,Pessoais,Alimentação,Saúde,Educação,Especializado,Administração Pública,Outros,Total
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1, -   ," 2,490 ", 121 ," 7,559 ", -   , 656 ," 6,405 ", 488 ," 1,423 "," 1,909 "," 1,078 "," 11,866 "," 16,170 "," 15,753 "," 65,918 "
2, -   , 508 , 773 ," 29,607 "," 1,801 "," 1,987 "," 3,002 ", 716 , 795 , 442 ," 1,064 "," 3,292 "," 4,300 "," 2,265 "," 50,552 "
3, -   ," 1,179 ", -   , 512 , 222 , 139 , 976 , 129 , 929 ," 1,374 ", 684 ," 4,091 "," 6,647 "," 1,260 "," 18,142 "
4, -   , 461 , 478 ," 3,626 ", 305 , 112 , 158 ," 1,884 ", 594 ," 1,021 ", 46 ," 4,319 "," 6,536 "," 5,364 "," 24,904 "
5, 99 ," 2,129 "," 3,269 "," 15,533 ", 82 , 88 ," 7,322 "," 2,126 "," 2,317 "," 4,113 "," 2,847 "," 15,593 "," 5,678 "," 21,474 "," 82,670 "
6, -   , 348 , 26 ," 16,826 ", 248 , 59 ," 1,749 ", 679 ," 1,806 ", 842 , 78 ," 3,671 "," 3,853 "," 6,439 "," 36,623 "
7, -   , 119 ," 2,995 "," 10,816 ", 896 , 689 , 668 , 300 , 653 , 781 ," 1,491 "," 2,158 "," 3,758 "," 5,711 "," 31,034 "
8, -   , 71 ," 2,209 "," 4,584 ", 58 , 160 , 62 , 252 , 165 , 698 , 254 ," 1,172 ", 323 ," 2,705 "," 12,713 "
