 Tabela 13 ,,,,,,,,,
 Empregos por Vínculo Empregatício e Zona de Emprego – 2023 ,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,
,,,,,,,,,
 Zona de Emprego , Empregos por Vínculo Empregatício ,,,,,,,,
, Assalariado com Carteira , Assalariado sem Carteira , Funcionário Público , Profissional Liberal , Autônomo , Empregador , Dono de Negócio Familiar , Trabalhador Familiar , Total de Empregos 
,,,,,,,,,
 1 ," 45,261 "," 2,142 "," 12,814 "," 1,141 "," 4,248 ", 246 , 66 , -   ," 65,918 "
 2 ," 32,369 "," 3,546 "," 2,217 ", 633 ," 8,281 "," 1,439 "," 2,066 ", -   ," 50,552 "
 3 ," 9,251 ", 144 ," 6,337 ", 176 ," 2,215 ", 19 , -   , -   ," 18,142 "
 4 ," 11,357 "," 2,145 "," 4,849 "," 1,288 "," 4,688 ", 577 , -   , -   ," 24,904 "
 5 ," 57,974 "," 1,356 "," 6,498 "," 2,348 "," 13,729 ", 591 , 174 , -   ," 82,670 "
 6 ," 16,938 "," 5,117 "," 3,106 "," 1,260 "," 8,698 ", 917 , 588 , -   ," 36,623 "
 7 ," 17,942 "," 2,495 "," 2,872 ", -   ," 5,830 ", 171 ," 1,725 ", -   ," 31,034 "
 8 ," 5,534 "," 3,228 ", 801 , 667 ," 2,394 ", 37 , 53 , -   ," 12,713 "
 9 ," 7,122 ", 157 ," 2,174 ", -   ," 3,941 ", -   , 35 , -   ," 13,429 "
 10 ," 8,205 ", 825 , 77 , -   , 529 , 14 , 28 , -   ," 9,677 "
 11 ," 2,905 ", 189 , -   , -   , 654 , -   , -   , 42 ," 3,788 "
 12 ," 8,572 "," 1,783 ", 157 , 68 ," 8,297 ", 660 , 830 , 161 ," 20,527 "
 13 ," 6,684 "," 5,027 ", -   , -   ," 8,583 ", 249 , 194 , 47 ," 20,784 "
 14 ," 15,616 ", 858 , 254 , 121 ," 3,997 ", 176 , 38 , 18 ," 21,079 "
 15 ," 10,467 ", 356 , 197 , -   ," 3,885 ", 214 , 459 , 40 ," 15,617 "
 16 ," 8,014 ", 885 ," 1,237 ", -   ," 4,573 ", 32 , 281 , -   ," 15,021 "
 17 ," 6,222 ", 423 , -   , 41 ," 2,191 ", 172 , 81 , 45 ," 9,175 "
 18 ," 16,489 "," 1,240 "," 2,015 ", 319 ," 5,725 ", -   , -   , -   ," 25,788 "
 19 ," 6,254 ", 235 , 154 , 246 ," 5,509 ", 328 , 582 , -   ," 13,308 "
 20 ," 6,868 ", -   , 266 , -   ," 4,664 ", -   , 241 , 164 ," 12,203 "
 21 ," 4,697 ", 199 , 536 , 215 ," 2,879 ", 126 , 126 , 78 ," 8,857 "
 22 ," 4,299 ", 583 , 152 , 368 ," 1,071 ", -   , 213 , -   ," 6,685 "
 23 ," 8,030 ", 602 ," 1,879 ", 374 ," 1,301 ", -   , -   , -   ," 12,186 "
 24 ," 14,734 ", 412 ," 2,027 "," 1,014 "," 2,734 ", 560 , -   , -   ," 21,481 "
 25 ," 5,326 ", 101 , 390 , 263 ," 4,351 ", -   , -   , -   ," 10,432 "
 26 ," 7,087 ", 936 , 446 ," 1,206 "," 2,182 ", 319 , 50 , -   ," 12,226 "
 27 ," 39,277 "," 1,035 ", 146 ," 1,325 "," 5,267 ", 805 , 595 , 36 ," 48,486 "
 28 ," 14,542 ", 423 , 463 ," 1,439 "," 4,047 ", 106 , 296 , -   ," 21,316 "
 29 ," 53,500 "," 3,757 "," 1,514 "," 4,322 "," 8,376 ", 45 , 227 , -   ," 71,741 "
