 Tabela 14 ,,,,
"Empregos em Endereço Fixo, na Propria Residência e Sem Endereço Fixo, por Zona de Emprego - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de Emprego , Empregos com Endereço Fixo ,, Empregos Sem Endereço Fixo(*) , Total de Empregos 
, Fora da Residência , Na Residência ,,
,,,,
 1 ," 64,630 ", 382 , 905 ," 65,918 "
 2 ," 49,977 ", 309 , 266 ," 50,552 "
 3 ," 16,983 ", 765 , 394 ," 18,142 "
 4 ," 22,136 "," 1,841 ", 928 ," 24,904 "
 5 ," 80,821 ", 844 ," 1,005 "," 82,670 "
 6 ," 33,736 "," 2,220 ", 667 ," 36,623 "
 7 ," 28,395 "," 1,620 "," 1,019 "," 31,034 "
 8 ," 10,210 "," 1,928 ", 575 ," 12,713 "
 9 ," 11,760 "," 1,182 ", 488 ," 13,429 "
 10 ," 9,197 ", 391 , 89 ," 9,677 "
 11 ," 3,418 ", 163 , 208 ," 3,788 "
 12 ," 18,951 "," 1,079 ", 498 ," 20,527 "
 13 ," 20,664 ", 97 , 24 ," 20,784 "
 14 ," 20,879 ", 171 , 29 ," 21,079 "
 15 ," 14,262 ", 876 , 479 ," 15,617 "
 16 ," 13,460 ", 924 , 636 ," 15,021 "
 17 ," 8,041 ", 879 , 255 ," 9,175 "
 18 ," 21,924 "," 2,378 "," 1,486 "," 25,788 "
 19 ," 10,933 "," 1,830 ", 545 ," 13,308 "
 20 ," 8,500 "," 1,002 "," 2,701 "," 12,203 "
 21 ," 6,116 "," 2,325 ", 416 ," 8,857 "
 22 ," 5,832 ", 771 , 83 ," 6,685 "
 23 ," 11,219 ", 828 , 139 ," 12,186 "
 24 ," 20,112 ", 701 , 669 ," 21,481 "
 25 ," 7,412 ", 716 ," 2,305 "," 10,432 "
 26 ," 9,629 "," 1,601 ", 996 ," 12,226 "
 27 ," 44,898 "," 1,941 "," 1,648 "," 48,486 "
 28 ," 20,050 ", 906 , 360 ," 21,316 "
 29 ," 70,245 ", 613 , 882 ," 71,741 "
 30 ," 10,371 "," 1,836 ", 503 ," 12,710 "
 31 ," 24,031 "," 2,285 "," 1,135 "," 27,451 "
 32 ," 51,532 "," 1,025 "," 1,368 "," 53,925 "
 33 , 936 , 308 , 60 ," 1,303 "
 34 ," 8,547 ", 763 , 335 ," 9,644 "
 35 ," 43,322 "," 2,688 "," 2,404 "," 48,414 "
 36 ," 27,135 "," 6,517 "," 2,154 "," 35,806 "
 37 ," 9,584 "," 1,130 ", 624 ," 11,338 "
 38 ," 3,361 ", 584 , 73 ," 4,018 "
 39 ," 9,679 ", 754 ," 1,959 "," 12,392 "
 40 ," 10,701 ", 892 , 552 ," 12,144 "
 41 ," 16,113 "," 2,308 ", 621 ," 19,042 "
 42 ," 5,480 "," 1,197 ", 532 ," 7,210 "
 43 ," 25,853 "," 2,552 "," 1,777 "," 30,182 "
 44 ," 15,517 "," 3,240 ", 475 ," 19,232 "
 45 ," 29,989 "," 4,393 "," 2,873 "," 37,255 "
 46 ," 12,145 "," 1,037 ", 257 ," 13,439 "
 47 ," 6,752 ", 917 ," 1,028 "," 8,698 "
 48 ," 9,548 "," 2,425 "," 1,361 "," 13,334 "
 49 ," 15,183 "," 2,457 ", 664 ," 18,305 "
 50 ," 2,667 ", 942 , 211 ," 3,820 "
 51 ," 5,992 "," 2,093 ", 501 ," 8,586 "
 52 ," 7,863 "," 1,027 ", 692 ," 9,582 "
 53 ," 18,993 "," 2,476 ", 456 ," 21,924 "
 54 ," 26,689 "," 1,033 ", 52 ," 27,774 "
 55 ," 12,258 "," 2,698 ", 927 ," 15,883 "
 56 ," 16,943 "," 2,906 "," 1,234 "," 21,083 "
 57 ," 40,897 "," 2,564 "," 2,224 "," 45,685 "
 58 ," 12,917 "," 3,984 ", 871 ," 17,772 "
 59 ," 22,421 "," 4,489 "," 2,586 "," 29,497 "
 60 ," 14,554 "," 1,957 ", 671 ," 17,182 "
 61 ," 16,845 "," 1,212 ", 123 ," 18,180 "
 62 ," 14,977 ", 362 , 94 ," 15,433 "
 63 ," 14,741 ", 147 , 10 ," 14,897 "
 64 ," 36,453 "," 3,897 "," 1,805 "," 42,155 "
 65 ," 14,072 "," 2,989 ", 454 ," 17,515 "
 66 ," 23,260 ", 648 , 451 ," 24,359 "
 67 ," 10,617 "," 1,159 ", 548 ," 12,324 "
 68 ," 74,007 "," 3,943 "," 1,393 "," 79,343 "
 69 ," 38,782 "," 1,406 ", 879 ," 41,067 "
 70 ," 21,609 "," 1,416 "," 1,621 "," 24,646 "
 71 ," 22,303 "," 3,814 "," 1,673 "," 27,790 "
 72 ," 25,648 "," 1,796 ", 370 ," 27,814 "
 73 ," 148,659 "," 2,143 "," 2,582 "," 153,383 "
 74 ," 50,792 "," 1,385 ", 165 ," 52,343 "
 75 ," 12,710 "," 2,160 ", 502 ," 15,372 "
 76 ," 13,526 "," 1,469 ", 274 ," 15,268 "
 77 ," 40,696 "," 2,564 ", 380 ," 43,641 "
 78 ," 23,634 "," 1,632 ", 481 ," 25,746 "
 79 ," 43,082 "," 1,420 ", 613 ," 45,116 "
 80 ," 28,067 "," 2,442 ", 528 ," 31,037 "
 81 ," 44,059 "," 2,303 ", 285 ," 46,647 "
 82 ," 68,944 "," 2,020 "," 1,646 "," 72,610 "
 83 ," 28,276 "," 4,385 "," 1,054 "," 33,715 "
 84 ," 12,178 "," 2,723 ", 763 ," 15,664 "
 85 ," 3,544 ", 898 , 111 ," 4,554 "
 86 ," 3,153 ", 472 , 93 ," 3,718 "
 87 ," 8,951 "," 2,325 ", 471 ," 11,747 "
 88 ," 17,547 "," 3,313 "," 2,506 "," 23,366 "
 89 ," 2,565 "," 1,514 ", 602 ," 4,681 "
 90 ," 5,954 "," 1,247 ", 350 ," 7,552 "
 91 ," 25,653 "," 1,041 ", 501 ," 27,195 "
 92 ," 19,542 ", 211 , 71 ," 19,824 "
 93 ," 28,738 "," 1,642 ", 491 ," 30,872 "
 94 ," 18,004 ", 523 , 87 ," 18,613 "
 95 ," 6,345 "," 1,791 ", 868 ," 9,004 "
 96 ," 10,978 ", 646 , 207 ," 11,830 "
 97 ," 7,402 "," 2,977 ", 589 ," 10,968 "
 98 ," 6,117 ", 33 , 514 ," 6,664 "
 99 ," 24,433 ", 551 , 740 ," 25,724 "
 100 ," 51,932 "," 1,355 "," 1,938 "," 55,226 "
 101 ," 9,778 "," 1,854 ", 431 ," 12,062 "
 102 ," 8,791 "," 1,556 ", 268 ," 10,615 "
 103 ," 4,834 ", 330 , 101 ," 5,265 "
 104 ," 3,099 ", 822 , 150 ," 4,071 "
 105 ," 9,568 ", 895 ," 1,376 "," 11,839 "
 106 ," 26,460 ", 309 , 165 ," 26,935 "
 107 ," 10,914 "," 3,004 "," 1,887 "," 15,805 "
 108 ," 14,496 ", 636 , 805 ," 15,938 "
 109 ," 24,367 "," 16,340 "," 3,661 "," 44,369 "
 110 ," 20,082 "," 3,392 "," 1,551 "," 25,025 "
 111 ," 12,085 "," 4,354 ", 982 ," 17,421 "
 112 ," 15,559 "," 3,041 "," 1,904 "," 20,504 "
 113 ," 21,781 "," 2,628 ", 720 ," 25,129 "
 114 , -   , -   , -   , -   
 115 ," 11,238 "," 4,345 "," 2,617 "," 18,199 "
 116 ," 23,482 "," 8,041 "," 3,645 "," 35,169 "
 117 ," 12,946 "," 5,784 "," 3,398 "," 22,128 "
 118 ," 3,293 "," 1,609 ", 438 ," 5,339 "
 119 ," 13,337 "," 7,390 "," 5,079 "," 25,806 "
 120 , -   , -   , -   , -   
 121 ," 5,671 "," 4,555 "," 3,869 "," 14,095 "
 122 ," 1,760 "," 5,580 "," 2,234 "," 9,574 "
 123 ," 2,942 "," 3,006 "," 1,000 "," 6,948 "
 124 ," 6,794 "," 3,555 "," 2,496 "," 12,845 "
 125 ," 8,677 "," 1,779 "," 2,655 "," 13,111 "
 126 ," 10,688 "," 1,129 ", 186 ," 12,003 "
 127 ," 22,593 "," 4,030 "," 2,512 "," 29,135 "
 128 ," 9,412 ", 241 , 129 ," 9,781 "
 129 ," 14,482 ", 436 , 66 ," 14,984 "
 130 ," 5,132 ", 273 , 215 ," 5,621 "
 131 ," 10,060 ", 32 ," 1,404 "," 11,495 "
 132 ," 3,183 ", -   , 236 ," 3,419 "
 133 ," 18,348 "," 3,808 "," 1,440 "," 23,596 "
 134 ," 11,362 "," 1,740 "," 1,318 "," 14,419 "
 135 ," 13,037 "," 6,146 ", 651 ," 19,835 "
 136 ," 15,276 "," 4,918 "," 1,247 "," 21,441 "
 137 ," 10,064 "," 5,042 "," 3,931 "," 19,037 "
 138 ," 14,281 ", 303 , 745 ," 15,329 "
 139 ," 5,244 "," 2,274 ", 800 ," 8,318 "
 140 ," 7,290 "," 3,734 ", 318 ," 11,342 "
 141 ," 21,896 "," 2,112 "," 8,346 "," 32,355 "
 142 ," 9,793 "," 1,850 "," 1,884 "," 13,526 "
 143 , -   , -   , -   , -   
 144 ," 20,735 "," 7,193 "," 4,032 "," 31,960 "
 145 ," 1,265 ", 660 , 733 ," 2,658 "
 146 , -   , -   , -   , -   
 147 ," 7,514 "," 1,809 ", 251 ," 9,574 "
 148 ," 5,814 "," 1,293 ", 969 ," 8,076 "
 149 , -   , -   , -   , -   
 150 ," 9,029 "," 3,795 "," 2,675 "," 15,498 "
 151 ," 10,940 "," 3,318 "," 2,924 "," 17,183 "
 152 ," 7,292 "," 3,390 "," 1,128 "," 11,810 "
 153 ," 6,300 "," 1,445 ", 367 ," 8,113 "
 154 ," 19,570 "," 3,804 "," 3,780 "," 27,155 "
 155 ," 3,076 "," 1,821 "," 2,170 "," 7,067 "
 156 ," 12,689 "," 5,097 ", 538 ," 18,323 "
 157 ," 1,591 "," 1,320 ", 633 ," 3,545 "
 158 ," 7,924 "," 7,458 "," 1,510 "," 16,892 "
 159 ," 14,648 "," 3,785 "," 4,736 "," 23,169 "
 160 ," 11,745 "," 3,398 "," 2,533 "," 17,676 "
 161 ," 28,326 "," 5,307 "," 1,470 "," 35,103 "
 162 ," 20,694 "," 3,486 "," 1,603 "," 25,784 "
 163 ," 18,941 "," 3,946 "," 2,309 "," 25,196 "
 164 ," 16,227 "," 1,926 ", 348 ," 18,501 "
 165 ," 8,729 ", 190 , 569 ," 9,489 "
 166 ," 32,290 "," 2,432 "," 1,605 "," 36,327 "
 167 ," 33,538 "," 2,730 ", 647 ," 36,914 "
 168 ," 21,917 "," 2,953 "," 1,655 "," 26,525 "
 169 ," 18,408 "," 3,547 "," 1,506 "," 23,461 "
 170 ," 30,167 "," 3,459 ", 748 ," 34,375 "
 171 ," 10,888 "," 3,204 "," 1,489 "," 15,581 "
 172 ," 5,010 "," 2,977 "," 1,002 "," 8,988 "
 173 ," 7,684 "," 2,348 ", 792 ," 10,824 "
 174 ," 5,579 "," 2,996 ", 66 ," 8,641 "
 175 ," 4,254 "," 4,700 "," 1,548 "," 10,502 "
 176 ," 7,539 "," 4,241 "," 1,171 "," 12,950 "
 177 ," 1,346 ", 853 , 740 ," 2,939 "
 178 , 601 , -   , -   , 601 
 179 , -   , -   , -   , -   
 180 ," 7,281 "," 3,243 ", 175 ," 10,699 "
 181 ," 11,149 "," 3,677 "," 5,045 "," 19,872 "
 182 ," 6,880 "," 2,246 "," 2,603 "," 11,729 "
 183 ," 5,480 "," 3,332 "," 4,062 "," 12,875 "
 184 ," 3,538 "," 1,671 "," 1,197 "," 6,406 "
 185 ," 2,778 "," 1,912 ", 841 ," 5,531 "
 186 ," 1,809 ", 594 , 501 ," 2,904 "
 187 ," 3,734 "," 4,805 "," 1,303 "," 9,841 "
 188 ," 8,681 "," 2,471 ", 920 ," 12,072 "
 189 ," 10,000 "," 1,997 ", 403 ," 12,400 "
 190 ," 15,141 "," 4,357 ", 555 ," 20,052 "
 191 ," 8,178 ", -   , 386 ," 8,564 "
 192 ," 6,485 "," 3,422 "," 1,853 "," 11,760 "
 193 ," 3,840 "," 1,254 ", 811 ," 5,905 "
 194 ," 4,584 "," 2,019 "," 1,291 "," 7,894 "
 195 ," 8,724 "," 1,960 "," 2,265 "," 12,949 "
 196 ," 3,306 ", 927 ," 2,492 "," 6,725 "
 197 ," 6,738 "," 1,799 ", 533 ," 9,070 "
