Tabela 15,,,
Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de,Empregos,,
 Emprego ,Trabalho Externo(*),Trabalho Interno, Total 
,,,
 1 ," 2,927 "," 62,991 "," 65,918 "
 2 ," 4,399 "," 46,153 "," 50,552 "
 3 , 755 ," 17,387 "," 18,142 "
 4 ," 1,248 "," 23,656 "," 24,904 "
 5 ," 2,431 "," 80,239 "," 82,670 "
 6 ," 3,673 "," 32,950 "," 36,623 "
 7 ," 2,508 "," 28,527 "," 31,034 "
 8 , 899 ," 11,815 "," 12,713 "
 9 ," 1,669 "," 11,760 "," 13,429 "
 10 , 122 ," 9,556 "," 9,677 "
 11 , 59 ," 3,730 "," 3,788 "
 12 ," 1,890 "," 18,637 "," 20,527 "
 13 ," 1,093 "," 19,692 "," 20,784 "
 14 ," 1,832 "," 19,246 "," 21,079 "
 15 ," 2,284 "," 13,333 "," 15,617 "
 16 ," 1,289 "," 13,732 "," 15,021 "
 17 ," 1,697 "," 7,478 "," 9,175 "
 18 ," 1,871 "," 23,917 "," 25,788 "
 19 , 206 ," 13,102 "," 13,308 "
 20 , 314 ," 11,889 "," 12,203 "
 21 , 362 ," 8,495 "," 8,857 "
 22 , 500 ," 6,186 "," 6,685 "
 23 , 206 ," 11,980 "," 12,186 "
 24 , 234 ," 21,248 "," 21,481 "
 25 , 468 ," 9,965 "," 10,432 "
 26 , 401 ," 11,825 "," 12,226 "
 27 ," 2,135 "," 46,351 "," 48,486 "
 28 ," 1,184 "," 20,132 "," 21,316 "
 29 ," 1,811 "," 69,930 "," 71,741 "
 30 , 212 ," 12,498 "," 12,710 "
 31 ," 1,284 "," 26,166 "," 27,451 "
 32 , 894 ," 53,031 "," 53,925 "
 33 , -   ," 1,303 "," 1,303 "
 34 , 326 ," 9,318 "," 9,644 "
 35 ," 3,769 "," 44,645 "," 48,414 "
 36 , 968 ," 34,838 "," 35,806 "
 37 ," 1,427 "," 9,911 "," 11,338 "
 38 , 181 ," 3,837 "," 4,018 "
 39 ," 2,887 "," 9,506 "," 12,392 "
 40 , 821 ," 11,323 "," 12,144 "
 41 ," 2,186 "," 16,856 "," 19,042 "
 42 , 426 ," 6,784 "," 7,210 "
 43 ," 2,980 "," 27,202 "," 30,182 "
 44 , 692 ," 18,540 "," 19,232 "
 45 ," 3,557 "," 33,698 "," 37,255 "
 46 ," 1,375 "," 12,064 "," 13,439 "
 47 ," 1,013 "," 7,685 "," 8,698 "
 48 ," 1,063 "," 12,272 "," 13,334 "
 49 , 511 ," 17,794 "," 18,305 "
 50 , 127 ," 3,693 "," 3,820 "
 51 , 756 ," 7,830 "," 8,586 "
 52 , 245 ," 9,338 "," 9,582 "
 53 , 460 ," 21,465 "," 21,924 "
 54 , 722 ," 27,052 "," 27,774 "
 55 , 654 ," 15,229 "," 15,883 "
 56 , 540 ," 20,543 "," 21,083 "
 57 ," 1,133 "," 44,551 "," 45,685 "
 58 , 614 ," 17,159 "," 17,772 "
 59 ," 1,742 "," 27,754 "," 29,497 "
 60 , 758 ," 16,424 "," 17,182 "
 61 ," 1,225 "," 16,956 "," 18,180 "
 62 ," 1,038 "," 14,395 "," 15,433 "
 63 , 287 ," 14,611 "," 14,897 "
 64 ," 1,778 "," 40,377 "," 42,155 "
 65 , 495 ," 17,019 "," 17,515 "
 66 , 832 ," 23,527 "," 24,359 "
 67 , 547 ," 11,776 "," 12,324 "
 68 ," 2,792 "," 76,551 "," 79,343 "
 69 ," 2,187 "," 38,880 "," 41,067 "
 70 , 595 ," 24,051 "," 24,646 "
 71 ," 1,252 "," 26,538 "," 27,790 "
 72 ," 2,824 "," 24,991 "," 27,814 "
 73 ," 5,653 "," 147,730 "," 153,383 "
 74 ," 2,478 "," 49,865 "," 52,343 "
 75 ," 2,101 "," 13,271 "," 15,372 "
 76 , 567 ," 14,701 "," 15,268 "
 77 ," 1,692 "," 41,949 "," 43,641 "
 78 ," 1,204 "," 24,542 "," 25,746 "
 79 ," 1,644 "," 43,472 "," 45,116 "
 80 , 131 ," 30,906 "," 31,037 "
 81 ," 2,945 "," 43,701 "," 46,647 "
 82 ," 4,957 "," 67,653 "," 72,610 "
 83 , 832 ," 32,882 "," 33,715 "
 84 , 144 ," 15,519 "," 15,664 "
 85 , 27 ," 4,527 "," 4,554 "
 86 , 241 ," 3,478 "," 3,718 "
 87 , 82 ," 11,665 "," 11,747 "
 88 ," 1,540 "," 21,826 "," 23,366 "
 89 , 63 ," 4,618 "," 4,681 "
 90 , 175 ," 7,377 "," 7,552 "
 91 ," 1,707 "," 25,488 "," 27,195 "
 92 ," 1,202 "," 18,621 "," 19,824 "
 93 , 609 ," 30,263 "," 30,872 "
 94 ," 1,050 "," 17,563 "," 18,613 "
 95 , 363 ," 8,641 "," 9,004 "
 96 , 374 ," 11,457 "," 11,830 "
 97 , 816 ," 10,152 "," 10,968 "
 98 , 558 ," 6,106 "," 6,664 "
 99 ," 3,491 "," 22,233 "," 25,724 "
 100 ," 3,220 "," 52,006 "," 55,226 "
 101 ," 1,428 "," 10,634 "," 12,062 "
 102 , 915 ," 9,699 "," 10,615 "
 103 , 463 ," 4,802 "," 5,265 "
 104 , -   ," 4,071 "," 4,071 "
 105 , 669 ," 11,170 "," 11,839 "
 106 , 821 ," 26,114 "," 26,935 "
 107 , 648 ," 15,158 "," 15,805 "
 108 ," 1,114 "," 14,823 "," 15,938 "
 109 ," 7,975 "," 36,394 "," 44,369 "
