Tabela 16,,,,,,,,,,,,,,,
Viagens Diárias Produzidas por Modo Principal e Zona de Origem – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Viagens Produzidas por Modo Principal,,,,,,,,,,,,,,Total
Zona de,Metrô,Trem,Ônibus,Transporte fretado,Transporte escolar,Dirigindo automóvel,Passageiro de automóvel,Táxi convencional,Táxi não convencional / aplicativo,Dirigindo moto,Passageiro de moto e  de mototáxi,Bicicleta,A pé,Outros,
Origem,,,,,,,,,,,,,,,
1,"42,628",968,"13,715",259,38,"8,260","1,366",270,"2,569","2,503",610,155,"17,013",0,"90,355"
2,"25,391","6,939","17,119",176,0,"12,790","3,524",408,"2,035","1,405",0,550,"12,466",0,"82,803"
3,"17,628",0,"2,864",0,262,"5,767",648,32,"1,446","2,116",359,"1,800","15,933",52,"48,907"
4,"12,704",280,"7,495",0,0,"10,151","3,761","1,142","1,989","2,659",435,297,"23,434",0,"64,347"
5,"54,648","3,983","21,319",0,0,"12,710","2,241",320,"4,428","1,366",0,"1,064","22,780",0,"124,859"
6,"17,440","9,303","11,320",0,288,"7,834",830,38,812,"2,109",0,"4,728","12,496",0,"67,200"
7,"14,907","11,775","8,071",455,377,"9,034","2,324",530,"1,092",928,0,516,"11,541",0,"61,550"
8,"1,909","2,341","4,056",0,"1,168","2,246",822,32,534,747,0,895,"14,303",0,"29,053"
9,"8,158","1,191","6,740",0,36,"5,235","1,010",263,937,"1,960",0,914,"4,750",0,"31,192"
10,"7,356",145,"4,299",422,922,"2,702",414,0,852,54,10,668,"2,624",17,"20,485"
11,993,"1,257","2,397",0,275,"1,401",413,62,488,73,0,878,"2,455",12,"10,704"
12,"3,214","1,681","6,608",0,142,"10,935","2,800",64,"1,797",645,541,620,"14,227",28,"43,301"
13,"3,634","11,545","1,629",0,34,"4,652","3,478",0,"2,046","1,414",0,556,"1,780",0,"30,767"
14,"4,862","10,642","11,700",389,517,"4,794","1,003",72,555,957,855,"1,259","6,990",134,"44,728"
15,"6,071","4,937","2,450",226,458,"4,294","1,106",0,432,"1,171",0,252,"4,050",0,"25,448"
16,"7,248","3,960","8,989",0,"1,132","3,674","1,415",0,"1,075","1,348",0,"1,064","20,308",0,"50,213"
17,"3,450","1,826","3,827",0,50,"5,142",491,0,876,48,0,"1,049","7,855",0,"24,615"
18,"8,832","3,411","11,434",0,902,"10,320","4,888",179,"1,408",781,287,"2,166","20,706",0,"65,314"
19,"4,874",308,"6,839",0,852,"9,936","3,219",164,"1,742","1,068",0,0,"12,690",0,"41,692"
20,"2,528",0,"6,176",914,"2,572","7,357",759,0,"2,170",982,169,0,"17,486",0,"41,115"
21,"3,608",251,"2,609",0,"2,301","4,921",543,0,"1,080","1,484",114,712,"8,152",0,"25,776"
22,"7,136",0,"3,833",0,"1,557","3,159",965,0,320,533,0,0,"4,180",0,"21,681"
23,"22,801",289,"1,453",96,546,"8,616","2,702",113,928,"1,100",0,38,"3,546",0,"42,229"
24,"31,354",0,"3,664",0,591,"6,656","2,321",195,"1,706",391,0,99,"9,963",0,"56,939"
25,"3,425",306,"7,182",0,740,"3,814",716,246,"1,810",233,19,405,"10,406",0,"29,302"
