 Tabela 17 ,,,,,
 Viagens Diárias Produzidas por Tipo e Zona de Origem – 2023 ,,,,,
 Região Metropolitana de São Paulo ,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,
,,,,,
, Viagens Produzidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Origem ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
 1 ," 57,609 "," 15,578 "," 73,187 "," 17,168 "," 90,355 "
 2 ," 49,625 "," 20,162 "," 69,787 "," 13,016 "," 82,803 "
 3 ," 20,754 "," 10,420 "," 31,174 "," 17,733 "," 48,907 "
 4 ," 20,480 "," 20,136 "," 40,616 "," 23,731 "," 64,347 "
 5 ," 79,950 "," 21,065 "," 101,015 "," 23,844 "," 124,859 "
 6 ," 38,351 "," 11,624 "," 49,976 "," 17,224 "," 67,200 "
 7 ," 35,585 "," 13,908 "," 49,493 "," 12,057 "," 61,550 "
 8 ," 9,474 "," 4,381 "," 13,855 "," 15,199 "," 29,053 "
 9 ," 16,124 "," 9,404 "," 25,528 "," 5,663 "," 31,192 "
 10 ," 13,143 "," 4,050 "," 17,193 "," 3,292 "," 20,485 "
 11 ," 4,922 "," 2,449 "," 7,371 "," 3,333 "," 10,704 "
 12 ," 11,645 "," 16,809 "," 28,454 "," 14,847 "," 43,301 "
 13 ," 16,842 "," 11,589 "," 28,431 "," 2,335 "," 30,767 "
 14 ," 28,111 "," 8,369 "," 36,480 "," 8,248 "," 44,728 "
 15 ," 14,141 "," 7,004 "," 21,146 "," 4,302 "," 25,448 "
 16 ," 21,329 "," 7,512 "," 28,841 "," 21,372 "," 50,213 "
 17 ," 9,153 "," 6,557 "," 15,711 "," 8,905 "," 24,615 "
 18 ," 24,578 "," 17,863 "," 42,442 "," 22,872 "," 65,314 "
 19 ," 12,873 "," 16,128 "," 29,002 "," 12,690 "," 41,692 "
 20 ," 12,190 "," 11,438 "," 23,628 "," 17,486 "," 41,115 "
 21 ," 8,770 "," 8,142 "," 16,912 "," 8,864 "," 25,776 "
 22 ," 12,525 "," 4,976 "," 17,501 "," 4,180 "," 21,681 "
 23 ," 25,185 "," 13,460 "," 38,644 "," 3,584 "," 42,229 "
 24 ," 35,609 "," 11,268 "," 46,877 "," 10,062 "," 56,939 "
 25 ," 11,652 "," 6,839 "," 18,490 "," 10,811 "," 29,302 "
 26 ," 12,462 "," 9,232 "," 21,694 "," 9,770 "," 31,465 "
 27 ," 54,182 "," 25,884 "," 80,066 "," 9,196 "," 89,262 "
 28 ," 21,703 "," 19,269 "," 40,972 "," 5,103 "," 46,075 "
 29 ," 47,191 "," 36,750 "," 83,941 "," 15,492 "," 99,433 "
 30 ," 11,588 "," 13,513 "," 25,101 "," 12,917 "," 38,018 "
 31 ," 48,298 "," 31,150 "," 79,448 "," 19,984 "," 99,431 "
 32 ," 41,811 "," 23,214 "," 65,025 "," 14,422 "," 79,447 "
 33 ," 1,632 "," 3,303 "," 4,936 "," 1,190 "," 6,126 "
 34 ," 6,371 "," 10,367 "," 16,737 "," 5,312 "," 22,050 "
 35 ," 35,985 "," 24,065 "," 60,050 "," 36,657 "," 96,707 "
 36 ," 35,220 "," 27,737 "," 62,957 "," 25,695 "," 88,652 "
 37 ," 9,289 "," 8,744 "," 18,033 "," 2,841 "," 20,875 "
 38 ," 1,854 "," 4,656 "," 6,510 "," 4,934 "," 11,444 "
 39 ," 16,151 "," 9,472 "," 25,622 "," 5,564 "," 31,186 "
 40 ," 16,024 "," 9,088 "," 25,112 "," 7,436 "," 32,548 "
 41 ," 24,056 "," 17,962 "," 42,019 "," 13,150 "," 55,169 "
 42 ," 7,564 "," 4,479 "," 12,043 "," 5,365 "," 17,408 "
 43 ," 35,839 "," 27,456 "," 63,295 "," 12,755 "," 76,050 "
 44 ," 17,545 "," 24,425 "," 41,970 "," 10,783 "," 52,753 "
 45 ," 34,286 "," 42,523 "," 76,809 "," 10,847 "," 87,656 "
 46 ," 16,344 "," 18,976 "," 35,320 "," 22,205 "," 57,525 "
 47 ," 6,592 "," 15,248 "," 21,840 "," 10,595 "," 32,435 "
 48 ," 11,424 "," 19,272 "," 30,696 "," 7,742 "," 38,439 "
 49 ," 19,070 "," 12,858 "," 31,928 "," 5,543 "," 37,471 "
 50 ," 5,651 "," 6,227 "," 11,878 "," 5,594 "," 17,472 "
 51 ," 11,568 "," 13,754 "," 25,322 "," 3,037 "," 28,359 "
 52 ," 10,710 "," 10,212 "," 20,922 "," 3,428 "," 24,350 "
 53 ," 26,308 "," 19,342 "," 45,650 "," 10,417 "," 56,068 "
 54 ," 26,319 "," 20,316 "," 46,635 "," 9,829 "," 56,464 "
 55 ," 20,632 "," 18,713 "," 39,345 "," 11,375 "," 50,720 "
 56 ," 25,425 "," 14,957 "," 40,382 "," 13,888 "," 54,270 "
 57 ," 32,914 "," 20,971 "," 53,885 "," 15,714 "," 69,599 "
 58 ," 24,804 "," 25,969 "," 50,773 "," 12,645 "," 63,418 "
 59 ," 38,267 "," 34,082 "," 72,349 "," 13,577 "," 85,926 "
 60 ," 12,332 "," 21,512 "," 33,844 "," 7,515 "," 41,358 "
 61 ," 23,754 "," 24,080 "," 47,834 "," 5,379 "," 53,213 "
 62 ," 12,306 "," 23,121 "," 35,427 "," 4,497 "," 39,924 "
 63 ," 16,085 "," 12,420 "," 28,505 ", 644 ," 29,149 "
 64 ," 31,389 "," 43,851 "," 75,240 "," 16,005 "," 91,245 "
 65 ," 16,858 "," 24,603 "," 41,460 "," 12,015 "," 53,476 "
 66 ," 21,670 "," 31,530 "," 53,200 "," 7,668 "," 60,868 "
 67 ," 9,860 "," 12,377 "," 22,237 "," 3,253 "," 25,490 "
 68 ," 42,026 "," 42,388 "," 84,413 "," 19,875 "," 104,288 "
 69 ," 27,355 "," 19,462 "," 46,817 "," 15,716 "," 62,534 "
 70 ," 17,203 "," 19,982 "," 37,185 "," 15,447 "," 52,632 "
 71 ," 21,747 "," 35,588 "," 57,335 "," 24,195 "," 81,530 "
 72 ," 13,882 "," 21,616 "," 35,497 "," 4,130 "," 39,627 "
 73 ," 61,425 "," 67,009 "," 128,434 "," 23,698 "," 152,132 "
 74 ," 41,205 "," 22,281 "," 63,486 "," 9,290 "," 72,776 "
 75 ," 9,350 "," 12,519 "," 21,869 "," 5,564 "," 27,434 "
 76 ," 13,727 "," 13,643 "," 27,370 "," 3,970 "," 31,340 "
 77 ," 38,968 "," 32,122 "," 71,090 "," 12,518 "," 83,607 "
 78 ," 18,358 "," 16,492 "," 34,850 "," 10,098 "," 44,947 "
 79 ," 39,790 "," 26,481 "," 66,271 "," 12,392 "," 78,663 "
 80 ," 23,239 "," 22,531 "," 45,770 "," 12,709 "," 58,479 "
 81 ," 22,056 "," 29,906 "," 51,962 "," 5,351 "," 57,313 "
 82 ," 46,722 "," 47,924 "," 94,646 "," 16,292 "," 110,938 "
 83 ," 23,274 "," 29,804 "," 53,078 "," 15,336 "," 68,414 "
 84 ," 14,091 "," 24,992 "," 39,082 "," 9,273 "," 48,355 "
 85 ," 2,051 "," 8,693 "," 10,744 "," 2,274 "," 13,018 "
 86 ," 3,573 "," 3,491 "," 7,064 ", 346 ," 7,410 "
 87 ," 10,861 "," 22,081 "," 32,942 "," 3,879 "," 36,821 "
 88 ," 22,906 "," 42,827 "," 65,733 "," 19,405 "," 85,138 "
 89 ," 4,170 "," 8,687 "," 12,857 "," 1,555 "," 14,412 "
 90 ," 8,725 "," 11,927 "," 20,651 "," 5,946 "," 26,598 "
 91 ," 33,304 "," 15,196 "," 48,499 "," 4,939 "," 53,438 "
 92 ," 21,001 "," 17,191 "," 38,192 "," 2,307 "," 40,499 "
 93 ," 44,819 "," 21,118 "," 65,937 "," 7,653 "," 73,590 "
