Tabela 18,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo e Zona de Origem – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
,Viagens Produzidas por Motivo,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,
 1 ," 1,967 "," 7,230 "," 49,958 "," 8,002 "," 3,153 "," 1,293 "," 1,606 ", 862 ," 10,035 "," 6,248 "," 90,355 "
 2 ," 1,216 "," 28,976 "," 21,914 "," 3,062 "," 19,169 ", 875 , 883 , -   ," 3,380 "," 3,328 "," 82,803 "
 3 , 750 ," 4,238 "," 22,504 "," 9,854 "," 2,827 "," 1,585 "," 1,038 ", -   ," 3,343 "," 2,767 "," 48,907 "
 4 , 435 ," 7,780 "," 27,229 "," 6,505 "," 2,486 "," 1,141 "," 7,194 ", -   ," 8,352 "," 3,226 "," 64,347 "
 5 ," 4,115 "," 16,243 "," 71,400 "," 5,942 "," 4,193 "," 1,985 "," 4,909 "," 1,358 "," 10,057 "," 4,657 "," 124,859 "
 6 ," 1,194 "," 17,697 "," 32,219 "," 4,928 "," 2,932 "," 3,841 "," 1,397 ", 130 ," 2,495 ", 365 ," 67,200 "
 7 ," 4,332 "," 12,316 "," 23,341 "," 7,901 "," 5,357 ", 544 ," 2,456 "," 1,191 "," 4,112 ", -   ," 61,550 "
 8 ," 2,356 "," 4,409 "," 6,276 "," 13,183 "," 1,169 ", 251 , 938 , -   , 283 , 188 ," 29,053 "
 9 ," 2,173 ", 756 ," 12,222 "," 10,185 ", 434 , 745 ," 1,600 ", -   ," 1,334 "," 1,744 "," 31,192 "
 10 , 845 ," 4,787 "," 4,962 "," 7,636 ", 53 , 50 ," 1,952 ", -   , 200 , -   ," 20,485 "
 11 , 872 ," 2,928 ", 999 ," 4,082 ", 289 , 566 , 596 , -   , 372 , -   ," 10,704 "
 12 ," 2,269 "," 12,953 "," 13,143 "," 8,215 "," 2,329 "," 1,551 ", 657 , -   ," 1,396 ", 788 ," 43,301 "
 13 , 109 ," 18,935 "," 2,927 "," 1,256 "," 6,268 ", 32 , 63 , -   ," 1,178 ", -   ," 30,767 "
 14 ," 1,774 "," 16,371 "," 5,112 "," 6,546 "," 11,304 ", 241 , 392 , 262 ," 2,014 ", 711 ," 44,728 "
 15 ," 1,751 "," 7,210 "," 6,830 "," 3,274 "," 2,857 "," 1,020 ", 265 , -   ," 2,160 ", 81 ," 25,448 "
 16 ," 11,143 "," 6,077 "," 14,550 "," 10,707 "," 2,784 ", 929 ," 1,671 ", 376 ," 1,960 ", 16 ," 50,213 "
 17 , 289 ," 8,229 "," 6,549 "," 3,834 "," 2,694 ", 431 , 823 , -   ," 1,207 ", 561 ," 24,615 "
 18 ," 5,055 "," 6,847 "," 20,615 "," 17,161 "," 3,875 "," 3,766 "," 1,725 ", 116 ," 5,500 ", 653 ," 65,314 "
 19 ," 1,568 "," 4,903 "," 14,041 "," 12,354 "," 1,575 "," 4,789 ", 543 , 495 ," 1,133 ", 291 ," 41,692 "
 20 ," 2,157 "," 2,527 "," 19,595 "," 10,607 "," 1,482 "," 1,889 "," 1,199 ", -   ," 1,658 ", -   ," 41,115 "
 21 , 630 ," 2,873 "," 8,669 "," 9,445 "," 1,555 "," 1,112 ", 932 , -   , 560 , -   ," 25,776 "
 22 , 274 ," 1,523 "," 10,630 "," 6,186 ", 486 ," 1,572 ", 503 , -   , 507 , -   ," 21,681 "
 23 , 126 ," 1,278 "," 13,431 "," 15,369 ", 121 ," 8,335 "," 1,607 ", -   ," 1,421 ", 543 ," 42,229 "
 24 ," 1,859 "," 4,522 "," 19,342 "," 22,853 "," 1,193 "," 4,043 ", 848 , -   ," 1,238 "," 1,042 "," 56,939 "
 25 ," 1,328 "," 2,110 "," 14,095 "," 5,592 ", 996 ," 1,544 "," 2,266 ", -   , 910 , 461 ," 29,302 "
 26 , 756 , 900 ," 14,356 "," 8,882 "," 1,027 "," 3,230 ", 859 , -   ," 1,455 ", -   ," 31,465 "
 27 ," 1,871 "," 4,620 "," 41,853 "," 13,725 "," 8,072 "," 10,617 "," 3,947 ", -   ," 2,867 "," 1,690 "," 89,262 "
 28 ," 1,403 "," 2,540 "," 19,827 "," 10,039 "," 1,238 "," 3,335 "," 3,110 ", 584 ," 1,842 "," 2,157 "," 46,075 "
