Tabela 18a,,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo no Destino e Zona de Origem – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
,Viagens Produzidas por Motivo no Destino,,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,,
 1 , 140 ," 1,408 "," 9,419 "," 2,920 ", 84 , 989 , 422 ," 66,739 ", 79 ," 1,906 "," 6,248 "," 90,355 "
 2 , 544 ," 2,824 "," 2,883 "," 1,900 ", 627 , 44 , 373 ," 69,961 ", -   , 523 ," 3,125 "," 82,803 "
 3 , -   ," 3,651 "," 6,267 "," 5,489 ", 258 ," 1,227 ", 234 ," 28,597 ", -   , 416 ," 2,767 "," 48,907 "
 4 , -   ," 4,305 "," 9,913 "," 3,670 "," 1,592 "," 1,056 "," 2,717 "," 30,994 ", -   ," 7,464 "," 2,635 "," 64,347 "
 5 , 652 ," 2,384 "," 10,956 "," 2,584 "," 1,186 ", -   ," 1,458 "," 100,028 ", -   ," 1,754 "," 3,855 "," 124,859 "
 6 ," 1,107 "," 3,079 "," 10,832 "," 3,972 ", 665 ," 1,433 ", 427 ," 45,370 ", -   , -   , 317 ," 67,200 "
 7 , 886 ," 1,499 "," 5,952 "," 3,891 "," 2,204 ", 544 , 496 ," 44,718 ", 254 ," 1,106 ", -   ," 61,550 "
 8 , 535 ," 2,771 "," 2,141 "," 5,758 ", 592 , 251 , 195 ," 16,458 ", -   , 164 , 188 ," 29,053 "
 9 , 213 , 367 ," 3,578 "," 1,751 ", 363 , 34 ," 1,110 "," 21,858 ", -   , 173 ," 1,744 "," 31,192 "
 10 , 103 , 535 , 276 ," 1,073 ", 33 , 33 , 794 ," 17,472 ", -   , 166 , -   ," 20,485 "
 11 , 96 , 696 , 797 ," 1,961 ", 289 , 566 , 596 ," 5,376 ", -   , 328 , -   ," 10,704 "
 12 , 769 ," 1,795 "," 3,926 "," 4,614 ", 702 , 661 , 632 ," 29,202 ", -   , 316 , 683 ," 43,301 "
 13 , -   , 353 , 100 , 812 , 26 , 32 , 63 ," 29,340 ", -   , 42 , -   ," 30,767 "
 14 , -   ," 1,136 ", 365 , 936 , 134 , 16 , 103 ," 40,866 ", 8 , 465 , 700 ," 44,728 "
 15 , 254 ," 2,037 "," 1,682 "," 2,464 ", 193 , 480 , 62 ," 17,873 ", -   , 322 , 81 ," 25,448 "
 16 ," 4,487 "," 2,485 "," 6,238 "," 6,180 ", 952 , 705 , 766 ," 27,606 ", -   , 778 , 16 ," 50,213 "
 17 , 143 ," 1,978 "," 2,373 "," 3,162 ", 583 , 431 , 145 ," 15,090 ", -   , 149 , 561 ," 24,615 "
