Tabela 19,,,,,,,,,,
Viagens Diárias Produzidas a Pé por Razão de Escolha do Modo e Zona de Origem – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,Viagens a Pé por Razão da Escolha do Modo,,,,,,,,,
Zona de Origem,Pequena Distância,Condução Cara,Ponto/ Estação Distante,Condução Demora para Passar,Viagem Demorada,Condução Lotada,Atividade Física,Medo de Contágio,Outros Motivos,Total
,,,,,,,,,,
 1 ," 16,887 ", 88 , -   , -   , -   , -   , 38 , -   , -   ," 17,013 "
 2 ," 12,431 ", -   , -   , -   , -   , -   , 35 , -   , -   ," 12,466 "
 3 ," 15,402 ", -   , -   , -   , -   , -   , 239 , -   , 292 ," 15,933 "
 4 ," 22,191 ", -   , -   , -   , -   , -   ," 1,243 ", -   , -   ," 23,434 "
 5 ," 21,255 ", -   , -   , -   , 57 , -   ," 1,176 ", -   , 292 ," 22,780 "
 6 ," 12,282 ", 143 , -   , -   , -   , -   , 71 , -   , -   ," 12,496 "
 7 ," 10,887 ", 158 , -   , 496 , -   , -   , -   , -   , -   ," 11,541 "
 8 ," 13,996 ", 307 , -   , -   , -   , -   , -   , -   , -   ," 14,303 "
 9 ," 4,518 ", 121 , -   , 6 , -   , -   , 105 , -   , -   ," 4,750 "
 10 ," 2,624 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,624 "
 11 ," 2,455 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,455 "
 12 ," 14,018 ", -   , -   , -   , -   , 67 , 142 , -   , -   ," 14,227 "
 13 ," 1,775 ", -   , -   , -   , -   , 5 , -   , -   , -   ," 1,780 "
 14 ," 6,226 ", 636 , -   , 55 , -   , -   , 72 , -   , -   ," 6,990 "
 15 ," 3,988 ", 62 , -   , -   , -   , -   , -   , -   , -   ," 4,050 "
 16 ," 18,999 ", -   , -   ," 1,309 ", -   , -   , -   , -   , -   ," 20,308 "
 17 ," 7,770 ", 85 , -   , -   , -   , -   , -   , -   , -   ," 7,855 "
 18 ," 20,449 ", 256 , -   , -   , -   , -   , -   , -   , -   ," 20,706 "
 19 ," 12,047 ", 236 , -   , -   , -   , -   , 407 , -   , -   ," 12,690 "
 20 ," 17,273 ", -   , -   , 49 , -   , -   , 164 , -   , -   ," 17,486 "
 21 ," 8,064 ", -   , -   , -   , -   , -   , 88 , -   , -   ," 8,152 "
 22 ," 4,180 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,180 "
 23 ," 3,546 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,546 "
 24 ," 9,481 ", -   , -   , -   , -   , -   , 482 , -   , -   ," 9,963 "
 25 ," 8,606 ", -   , -   , -   , -   , -   ," 1,769 ", -   , 31 ," 10,406 "
 26 ," 8,127 ", -   , -   , -   , -   , -   , 61 , -   , -   ," 8,188 "
 27 ," 8,169 ", 139 , 42 , -   , 57 , -   , 455 , -   , -   ," 8,863 "
 28 ," 4,624 ", -   , -   , -   , -   , -   , 316 , -   , 14 ," 4,955 "
 29 ," 14,890 ", -   , -   , -   , -   , -   , 602 , -   , -   ," 15,492 "
 30 ," 11,909 ", -   , -   , -   , 244 , -   , 500 , -   , -   ," 12,653 "
 31 ," 15,217 ", 55 , 306 , -   , 244 , -   ," 1,729 ", -   , 209 ," 17,759 "
 32 ," 12,525 ", 117 , 45 , -   , 18 , -   ," 1,346 ", -   , 31 ," 14,081 "
 33 ," 1,072 ", -   , -   , -   , -   , -   , 28 , -   , -   ," 1,100 "
 34 ," 5,312 ", -   , -   , -   , -   , -   , -   , -   , -   ," 5,312 "
 35 ," 35,010 ", 35 , -   , -   , -   , -   , 455 , -   , -   ," 35,499 "
 36 ," 25,317 ", -   , 157 , -   , -   , -   , 83 , -   , -   ," 25,558 "
 37 ," 2,597 ", 28 , -   , -   , -   , -   , -   , -   , -   ," 2,625 "
 38 ," 2,609 ", -   , -   , 14 , -   , -   , -   , -   , -   ," 2,623 "
 39 ," 5,564 ", -   , -   , -   , -   , -   , -   , -   , -   ," 5,564 "
 40 ," 7,065 ", -   , -   , 35 , -   , -   , -   , -   , -   ," 7,099 "
 41 ," 11,333 ", 609 , -   , -   , -   , -   , 128 , -   , -   ," 12,070 "
 42 ," 4,633 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,633 "
 43 ," 11,391 ", -   , -   , -   , -   , 73 , 513 , -   , 531 ," 12,507 "
 44 ," 10,783 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,783 "
 45 ," 7,721 ", 167 , -   , -   , -   ," 1,111 "," 1,849 ", -   , -   ," 10,847 "
 46 ," 20,641 ", 530 , -   , -   , -   , 275 , 758 , -   , -   ," 22,205 "
 47 ," 9,472 ", 174 , -   , -   , -   , -   , 552 , -   , -   ," 10,198 "
 48 ," 7,415 ", -   , -   , -   , -   , -   , -   , -   , -   ," 7,415 "
 49 ," 4,504 ", -   , -   , -   , -   , -   , 341 , -   , -   ," 4,845 "
 50 ," 5,127 ", -   , -   , 49 , -   , -   , 61 , -   , -   ," 5,237 "
 51 ," 2,867 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,867 "
 52 ," 3,332 ", -   , -   , -   , -   , -   , -   , -   , -   ," 3,332 "
 53 ," 8,845 ", 728 , -   , -   , -   , -   , 554 , -   , -   ," 10,127 "
 54 ," 9,019 ", -   , -   , -   , -   , -   , 549 , -   , -   ," 9,568 "
 55 ," 9,073 ", -   , -   , -   , -   , -   ," 1,353 ", -   , 85 ," 10,511 "
 56 ," 12,877 ", -   , -   , -   , -   , -   , 631 , -   , 46 ," 13,554 "
 57 ," 13,164 ", 15 , -   , 49 , -   , -   ," 1,265 ", -   , 418 ," 14,911 "
 58 ," 10,897 ", -   , -   , -   , -   , -   , -   , -   ," 1,321 "," 12,218 "
 59 ," 13,371 ", -   , -   , -   , -   , -   , -   , -   , -   ," 13,371 "
 60 ," 6,458 ", -   , 156 , -   , -   , -   , 262 , -   , -   ," 6,877 "
 61 ," 4,446 ", -   , -   , -   , -   , -   , 932 , -   , -   ," 5,379 "
 62 ," 1,509 ", -   , -   , -   , 82 , -   , 684 , -   , -   ," 2,275 "
 63 , 288 , -   , -   , -   , -   , -   , 205 , -   , -   , 493 
 64 ," 12,984 ", -   , 156 , -   , -   , -   , 593 , -   , 85 ," 13,818 "
 65 ," 9,177 ", -   , -   , -   , -   , -   , 460 , -   , -   ," 9,637 "
 66 ," 6,261 ", -   , 386 , -   , -   , -   , 681 , -   , 137 ," 7,464 "
 67 ," 2,110 ", -   , -   , -   , -   , -   , 214 , -   , -   ," 2,324 "
 68 ," 15,838 ", 429 , -   , -   , -   , 81 , 406 , -   , -   ," 16,755 "
 69 ," 11,252 ", -   , 56 , 81 , -   , -   , 88 , -   , -   ," 11,477 "
 70 ," 12,775 ", -   , -   , -   , -   , -   , -   , -   ," 1,538 "," 14,313 "
 71 ," 14,601 ", -   , -   , -   , -   , -   , 598 , -   , -   ," 15,199 "
 72 ," 3,015 ", -   , 95 , -   , -   , -   , 463 , -   , -   ," 3,573 "
 73 ," 20,794 ", -   , 151 , -   , -   , -   , 43 , -   , 44 ," 21,031 "
 74 ," 8,514 ", -   , -   , -   , -   , -   , 245 , -   , -   ," 8,759 "
 75 ," 4,523 ", -   , -   , -   , -   , -   , 209 , -   , 14 ," 4,746 "
 76 ," 2,701 ", -   , -   , -   , -   , -   , 361 , -   , -   ," 3,062 "
 77 ," 10,189 ", -   , -   , -   , 644 , -   , 967 , -   , -   ," 11,800 "
 78 ," 9,088 ", -   , -   , -   , -   , -   , 727 , -   , -   ," 9,815 "
 79 ," 11,624 ", 47 , -   , 4 , -   , -   , 477 , -   , -   ," 12,153 "
 80 ," 10,798 ", -   , -   , -   , -   , -   , 328 , -   , -   ," 11,125 "
 81 ," 3,707 ", -   , -   , -   , -   , -   , 174 , -   , -   ," 3,881 "
 82 ," 13,732 ", -   , -   , 88 , -   , -   , 167 , -   , -   ," 13,987 "
 83 ," 13,114 ", -   , -   , 83 , -   , -   , 791 , -   , 511 ," 14,499 "
 84 ," 8,893 ", 35 , -   , -   , -   , -   , -   , -   , 71 ," 8,999 "
 85 ," 2,185 ", -   , -   , -   , -   , -   , 16 , -   , -   ," 2,201 "
 86 , 225 , -   , -   , -   , -   , -   , 86 , -   , -   , 311 
 87 ," 3,399 ", -   , -   , -   , -   , -   , 213 , -   , -   ," 3,612 "
 88 ," 17,992 ", -   , -   , 277 , -   , -   , 587 , -   , -   ," 18,855 "
 89 ," 1,413 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,413 "
 90 ," 5,005 ", -   , -   , 359 , -   , -   , 419 , -   , 71 ," 5,854 "
 91 ," 3,952 ", -   , -   , -   , -   , -   , -   , -   , 118 ," 4,070 "
 92 ," 2,252 ", -   , -   , -   , -   , -   , -   , -   , -   ," 2,252 "
 93 ," 5,892 ", -   , -   , 57 , -   , -   , 159 , -   , 83 ," 6,191 "
 94 ," 6,086 ", 120 , -   , 104 , -   , -   , 190 , -   , -   ," 6,501 "
 95 ," 4,190 ", -   , -   , -   , -   , -   , -   , -   , -   ," 4,190 "
 96 ," 1,003 ", -   , -   , -   , -   , -   , -   , -   , -   ," 1,003 "
 97 ," 2,783 ", -   , -   , -   , -   , -   , 151 , -   , -   ," 2,934 "
 98 ," 5,260 ", 18 , -   , -   , -   , -   , -   , -   , 37 ," 5,316 "
 99 ," 4,316 ", -   , -   , -   , -   , -   , 17 , -   , -   ," 4,332 "
 100 ," 16,506 ", 402 , -   , 88 , -   , 557 , 847 , -   , 460 ," 18,860 "
 101 , 974 , -   , -   , -   , -   , -   , 275 , -   , -   ," 1,249 "
 102 ," 2,035 ", 45 , -   , -   , -   , -   , 55 , -   , -   ," 2,135 "
 103 , 251 , -   , -   , -   , -   , -   , 30 , -   , -   , 281 
 104 ," 2,045 ", 18 , -   , 18 , 18 , -   , 16 , -   , -   ," 2,116 "
 105 ," 3,777 ", -   , -   , -   , -   , -   , 227 , -   , -   ," 4,004 "
 106 ," 3,957 ", -   , -   , -   , 18 , -   , 83 , -   , -   ," 4,057 "
 107 ," 8,913 ", -   , -   , -   , -   , -   , 71 , -   , -   ," 8,984 "
 108 ," 2,488 ", -   , -   , 36 , -   , -   , 71 , -   , -   ," 2,595 "
 109 ," 26,723 ", -   , -   , -   , -   , -   , 284 , -   , -   ," 27,007 "
 110 ," 24,284 ", -   , -   , -   ," 1,148 ", -   , -   , -   , -   ," 25,432 "
 111 ," 12,375 ", -   , -   , -   , -   , -   , 582 , -   , -   ," 12,957 "
 112 ," 11,621 ", -   , -   , -   , -   , -   , -   , -   , -   ," 11,621 "
 113 ," 14,802 ", -   , -   , 36 , -   , -   , 298 , -   , 354 ," 15,489 "
 114 , - , - , - , - , - , - , - , - , - , -   
 115 ," 15,555 ", 831 , -   , -   , -   , -   , -   , -   , -   ," 16,387 "
 116 ," 88,665 "," 2,040 ", -   , -   , -   , -   , -   , -   , -   ," 90,705 "
 117 ," 17,560 ", -   , -   , -   , -   , -   , -   , -   , -   ," 17,560 "
 118 ," 9,275 ", -   , -   , -   , -   , -   , -   , -   , -   ," 9,275 "
 119 ," 34,440 ", -   , -   , -   , -   , -   , -   , -   , -   ," 34,440 "
 120 , - , - , - , - , - , - , - , - , - , -   
 121 ," 41,524 "," 1,144 ", -   , -   , -   , -   , -   , -   ," 1,031 "," 43,699 "
 122 ," 24,224 ", -   ," 2,089 ", -   , -   , -   , -   , -   , -   ," 26,313 "
 123 ," 26,570 ", -   , -   , -   , -   , -   , -   , -   , -   ," 26,570 "
 124 ," 28,364 ", -   , -   , 496 , 584 , -   , 359 , -   , -   ," 29,804 "
