Tabela 2,,,,,,,,,,,,
População por Faixa Etária e Zona de Residência – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de,População por Faixa Etária  (em anos),,,,,,,,,,,
Residência,até 3,4 a 6,7 a 10,11 a 14,15 a 17,18 a 22,23 a 29,30 a 39,40 a 49,50 a 59,60 e mais, Total 
,,,,,,,,,,,,
1,133,200,110,135,32,198,359,696,718,523,494,"3,600"
2,193,222,127,219,127,278,414,821,704,574,566,"4,245"
3,991,684,456,929,400,981,"1,606","2,838","3,326","2,477","1,892","16,579"
4,0,457,"1,323",764,0,950,"2,156","4,399","5,103","4,326","5,428","24,906"
5,302,333,0,0,116,484,"1,424","3,076","2,255","3,080","4,029","15,099"
6,493,453,"1,428",771,46,459,"1,796","4,336","4,742","3,744","3,955","22,224"
7,"1,255",0,0,907,0,"2,009","1,498","2,665","2,633","1,426","2,456","14,849"
8,452,766,528,761,405,840,"1,093","1,993","1,939","1,365","1,733","11,874"
9,258,513,373,304,341,405,639,"1,424","1,403",876,"1,095","7,630"
10,56,153,132,81,55,130,201,376,339,272,339,"2,134"
11,215,212,272,190,111,231,422,771,629,557,735,"4,345"
12,0,448,840,929,482,836,862,"2,247","1,864","1,420","1,384","11,311"
13,25,54,28,50,24,60,65,124,161,113,105,810
14,130,51,67,70,65,61,199,317,314,220,206,"1,700"
 15 ,390,91,140,518,340,555,974,"1,325","1,843","1,173","1,242","8,592"
 16 ,0,0,977,"1,409",767,"1,268","2,287","3,340","3,440","2,821","3,103","19,412"
 17 ,343,436,488,340,351,522,825,"1,662","1,653","1,156","1,423","9,199"
 18 ,"1,434","1,084",778,"1,539","1,130","1,160","1,808","3,971","4,822","3,277","5,657","26,660"
 19 ,0,224,951,"1,039",408,972,"2,071","3,240","3,587","2,932","4,200","19,625"
 20 ,614,416,540,"1,320",861,"1,124","1,714","4,276","5,799","2,769","5,250","24,683"
 21 ,402,701,636,138,281,968,"1,245","2,828","3,437","2,310","3,757","16,704"
 22 ,388,0,405,386,240,312,"1,066","2,113","2,156","1,708","2,636","11,411"
 23 ,236,0,67,0,0,195,462,821,850,604,928,"4,162"
 24 ,559,82,922,156,51,672,702,"1,833","2,043","1,228","2,488","10,737"
 25 ,495,491,332,957,0,446,"1,145","3,392","4,100","1,652","3,737","16,746"
 26 ,0,398,342,190,72,569,904,"2,151","1,959","2,192","3,047","11,824"
 27 ,438,664,559,625,363,475,"1,060","2,268","3,362","2,167","3,432","15,414"
 28 ,195,346,115,322,185,228,339,"1,371","1,616","1,022","1,650","7,390"
 29 ,0,0,456,404,91,587,551,"2,083","2,346","1,478","2,145","10,141"
 30 ,625,337,410,537,309,651,815,"3,279","3,132","2,212","4,481","16,787"
 31 ,442,425,631,569,448,749,"1,377","4,534","4,247","2,812","6,209","22,443"
 32 ,0,230,247,214,78,328,408,"1,484","1,427","1,006","1,917","7,339"
 33 ,58,0,63,55,29,42,92,298,287,202,412,"1,538"
 34 ,210,122,265,137,129,206,352,"1,252","1,204",849,"1,739","6,465"
 35 ,490,"1,511","1,057",790,869,"1,003","2,940","6,077","7,808","5,841","6,178","34,564"
 36 ,"1,811",0,"2,097","1,635",621,"1,904","2,485","6,363","7,497","5,798","9,169","39,380"
 37 ,204,362,368,351,207,417,683,"1,477","1,770","1,276","1,925","9,040"
 38 ,290,247,390,272,247,86,549,829,919,655,"1,040","5,524"
 39 ,369,703,853,785,745,546,"1,012","2,169","2,174","1,567","2,292","13,216"
 40 ,437,430,487,476,168,464,614,"1,266","1,335",948,"1,586","8,210"
 41 ,"1,444",312,"1,892","1,319",590,"1,347","1,848","3,547","4,017","2,510","4,485","23,310"
 42 ,426,344,288,441,239,432,431,"1,039","1,152",819,"1,300","6,911"
 43 ,"1,499",850,996,"1,539","1,062","1,971","2,080","4,690","5,351","4,647","7,408","32,094"
 44 ,169,94,94,185,165,88,"3,418","4,180",562,"2,798","5,197","16,950"
 45 ,898,332,664,"1,927","1,725","1,221","2,733","5,592","6,156","4,243","8,355","33,846"
 46 ,"1,616",687,"1,575","2,189","1,311","2,424","3,219","6,029","5,550","4,833","7,680","37,113"
 47 ,"1,300",0,636,749,139,"1,722","2,726","4,028","4,558","3,754","6,393","26,005"
