Tabela 20,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,
 Origem , Coletivo , Individual , A pé , Bicicleta 
,,,,
1, 34 , 19 , 19 , 15 
2, 42 , 18 , 8 , 14 
3, 42 , 31 , 15 , 14 
4, 42 , 25 , -   , 13 
5, 39 , 21 , -   , 9 
6, 41 , 34 , 14 , 19 
7, 40 , 24 , -   , 16 
8, 68 , 34 , 19 , 12 
9, 49 , 25 , 16 , 14 
10, 45 , 12 , 15 , 13 
11, 39 , 20 , 11 , 9 
12, 41 , 22 , 20 , 10 
13, 44 , 17 , 10 , 7 
14, 51 , 26 , 5 , 10 
15, 47 , 16 , 10 , 11 
16, 41 , 14 , -   , 9 
17, 56 , 28 , 17 , 14 
18, 53 , 26 , -   , 16 
19, 39 , 25 , -   , 10 
20, 36 , 20 , -   , 7 
21, 42 , 21 , 5 , 13 
22, 43 , 24 , -   , 14 
23, 33 , 16 , -   , 11 
24, 45 , 28 , -   , 14 
25, 40 , 16 , 8 , 11 
26, 49 , 32 , 19 , 20 
27, 37 , 22 , -   , 15 
28, 40 , 25 , -   , 12 
29, 44 , 18 , -   , 9 
30, 43 , 24 , 24 , 13 
31, 43 , 27 , 10 , 14 
32, 40 , 27 , 18 , 12 
33, 49 , 22 , 10 , 10 
34, 27 , 27 , -   , 12 
35, 36 , 18 , 9 , 12 
36, 45 , 28 , -   , 13 
37, 41 , 21 , 18 , 8 
38, 34 , 16 , 5 , 15 
39, 42 , 28 , -   , 10 
40, 42 , 20 , 15 , 11 
41, 35 , 31 , -   , 13 
42, 35 , 30 , 15 , 16 
43, 41 , 27 , -   , 12 
44, 36 , 29 , -   , 6 
45, 46 , 23 , -   , 11 
46, 39 , 20 , -   , 10 
47, 40 , 20 , 20 , 11 
48, 44 , 24 , 23 , 8 
49, 32 , 25 , 20 , 15 
50, 40 , 25 , 20 , 14 
51, 37 , 28 , 15 , 11 
52, 41 , 29 , 35 , 13 
53, 39 , 34 , 5 , 16 
54, 32 , 23 , 21 , 15 
55, 26 , 32 , 15 , 10 
56, 34 , 19 , 15 , 13 
57, 33 , 25 , 13 , 15 
58, 43 , 26 , 28 , 16 
59, 40 , 36 , -   , 12 
60, 47 , 25 , 15 , 15 
61, 27 , 28 , -   , 14 
62, 33 , 19 , -   , 13 
63, 27 , 24 , 18 , 17 
64, 40 , 20 , 22 , 9 
65, 48 , 30 , 17 , 10 
66, 39 , 22 , 18 , 11 
67, 41 , 23 , 26 , 15 
68, 47 , 27 , 15 , 13 
69, 62 , 22 , 20 , 10 
70, 40 , 32 , 15 , 10 
71, 48 , 27 , 9 , 10 
72, 35 , 22 , 18 , 11 
73, 43 , 27 , 14 , 9 
74, 44 , 16 , 30 , 12 
75, 39 , 20 , 17 , 14 
76, 36 , 26 , 25 , 14 
77, 33 , 20 , 25 , 14 
78, 27 , 18 , 14 , 10 
79, 37 , 27 , 25 , 10 
80, 31 , 22 , 19 , 14 
81, 31 , 17 , 21 , 11 
82, 35 , 26 , 17 , 10 
83, 37 , 21 , 26 , 9 
84, 40 , 26 , 20 , 11 
85, 47 , 19 , 30 , 12 
86, 38 , 25 , 20 , 15 
87, 34 , 22 , 27 , 14 
88, 48 , 32 , 30 , 14 
89, 38 , 23 , 25 , 18 
90, 46 , 26 , -   , 14 
91, 51 , 36 , 29 , 25 
92, 45 , 28 , 30 , 10 
93, 30 , 22 , -   , 8 
94, 38 , 27 , 35 , 10 
95, 43 , 21 , 15 , 9 
96, 52 , 25 , 30 , 13 
97, 34 , 22 , 16 , 10 
98, 43 , 23 , 36 , 15 
99, 55 , 20 , -   , 11 
100, 55 , 39 , 35 , 14 
101, 51 , 32 , -   , 12 
102, 37 , 29 , 40 , 10 
103, 37 , 24 , 26 , 20 
104, 38 , 21 , 12 , 11 
105, 48 , 34 , 24 , 9 
106, 45 , 16 , 24 , 15 
107, 40 , 24 , -   , 8 
108, 49 , 20 , -   , 16 
109, 57 , 25 , 40 , 17 
110, 46 , 33 , -   , 13 
111, 58 , 29 , -   , 14 
112, 56 , 24 , -   , 13 
113, 53 , 29 , 60 , 12 
114, - , - , - , - 
115, 47 , 30 , -   , 12 
116, 64 , 39 , -   , 17 
117, 84 , 37 , -   , 11 
118, 71 , 34 , -   , 10 
119, 62 , 27 , -   , 17 
120, - , - , - , - 
121, 77 , 41 , 10 , 13 
122, 62 , 49 , -   , 11 
123, 56 , 19 , -   , 13 
124, 60 , 18 , -   , 16 
125, 67 , 32 , -   , 11 
126, 60 , 32 , 23 , 10 
127, 46 , 27 , -   , 15 
128, 41 , 23 , 20 , 9 
129, 47 , 22 , 30 , 12 
130, 43 , 25 , 19 , 18 
131, 45 , 20 , 32 , 10 
132, - , - , - , - 
133, 48 , 41 , 5 , 7 
134, 42 , 27 , -   , 9 
135, 49 , 25 , 34 , 16 
136, 50 , 23 , -   , 9 
137, 44 , 18 , 10 , 14 
138, 42 , 27 , 5 , 13 
139, 64 , 27 , 13 , 14 
140, 48 , 19 , -   , 9 
141, 45 , 18 , 9 , 6 
142, 64 , 28 , -   , 11 
143, - , - , - , - 
144, 55 , 28 , 50 , 16 
145, 55 , 25 , -   , 11 
146, - , - , - , - 
147, 48 , 28 , 28 , 16 
148, 57 , 30 , 10 , 8 
149, - , - , - , - 
150, 68 , 39 , -   , 8 
151, 52 , 31 , -   , 9 
152, 47 , 24 , -   , 10 
153, 55 , 21 , -   , 10 
154, 43 , 28 , -   , 9 
155, 49 , 27 , -   , 12 
156, 55 , 21 , 35 , 11 
157, 38 , 23 , 12 , 11 
158, 46 , 15 , -   , 11 
159, 43 , 25 , 30 , 13 
160, 54 , 28 , -   , 13 
161, 39 , 26 , 12 , 15 
162, 42 , 36 , -   , 11 
163, 39 , 26 , -   , 14 
164, 42 , 23 , 11 , 14 
165, 42 , 25 , -   , 13 
166, 45 , 26 , -   , 12 
167, 45 , 41 , -   , 14 
168, 38 , 32 , 10 , 11 
169, 43 , 21 , -   , 13 
170, 32 , 24 , -   , 12 
171, 51 , 22 , -   , 14 
172, 58 , 21 , 43 , 11 
173, 52 , 32 , -   , 12 
174, 67 , 34 , -   , 8 
175, 53 , 49 , -   , 18 
176, 66 , 60 , -   , 13 
177, 49 , 22 , -   , 12 
178, - , - , - , - 
179, - , - , - , - 
180, 76 , 43 , -   , 11 
181, 50 , 24 , -   , 10 
182, 66 , 20 , -   , 12 
183, 46 , 23 , -   , 11 
184, 64 , 28 , -   , 8 
185, 73 , 23 , -   , 12 
186, 59 , 37 , -   , 12 
187, 65 , 33 , 23 , 11 
188, 73 , 28 , 60 , 16 
189, 48 , 36 , -   , 7 
190, 47 , 31 , -   , 12 
191, - , - , - , - 
192, 53 , 29 , -   , 12 
193, 51 , 32 , -   , 11 
194, 65 , 38 , 10 , 14 
195, 50 , 20 , 20 , 8 
196, 65 , 19 , -   , 10 
197, 53 , 31 , 21 , 13 
198, 66 , 26 , -   , 15 
199, 76 , 21 , 5 , 6 
200, 67 , 30 , 17 , 14 
201, 64 , 32 , -   , 9 
202, 81 , 15 , -   , 13 
203, 61 , 24 , 15 , 7 
204, 73 , 38 , -   , 12 
205, 73 , 22 , -   , 7 
206, 74 , 25 , -   , 11 
207, 76 , 44 , 60 , 13 
208, 65 , 28 , 20 , 9 
209, 45 , 28 , -   , 12 
210, 50 , 24 , -   , 3 
211, 56 , 28 , -   , 25 
212, 47 , 21 , -   , 9 
213, 57 , 31 , -   , 11 
214, 55 , 31 , -   , 6 
215, 65 , 25 , -   , 12 
216, 58 , 17 , 13 , 10 
217, 57 , 30 , -   , 10 
218, 42 , 25 , 19 , 13 
219, 72 , 27 , -   , 11 
220, 58 , 25 , -   , 14 
221, 44 , 34 , 65 , 13 
222, 58 , 32 , 16 , 11 
223, 65 , 38 , -   , 12 
224, - , - , - , - 
225, 71 , 30 , -   , 9 
226, 56 , 32 , -   , 10 
227, 72 , 33 , -   , 12 
228, 69 , 27 , -   , 12 
229, 82 , 27 , -   , 10 
230, 81 , 33 , -   , 11 
231, 70 , 51 , -   , 11 
