Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional/app , Dirigindo moto ,Passageiro de moto e de mototáxi, Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
1,"40,503",968,"15,839",259,38,"8,260","1,277",457,"1,770","2,503",0,155,"18,456",0,"90,485"
2,"25,359","6,468","18,948",176,0,"12,755","3,336",408,"1,161","1,405",0,550,"12,504",0,"83,071"
3,"18,395",0,"3,023",0,262,"5,679",556,32,"1,446","2,116",359,"1,800","15,225",52,"48,945"
4,"14,240",280,"6,735",0,0,"10,151","3,151","1,321","1,327","2,659",435,297,"23,969",0,"64,565"
5,"56,105","3,532","20,818",0,0,"12,832","1,989",320,"4,884","1,366",0,"1,064","22,926",0,"125,836"
6,"16,871","9,543","12,372",0,288,"8,326",408,38,975,"2,109",0,"4,728","12,643",0,"68,301"
7,"15,415","12,899","7,926",455,377,"9,936","1,985",530,785,928,0,516,"11,541",0,"63,292"
8,"2,003","2,341","3,284",0,"1,196","2,246","1,543",32,479,747,0,895,"14,246",0,"29,013"
9,"6,473","1,796","6,944",0,0,"5,207",772,263,972,"1,960",0,914,"4,784",0,"30,084"
10,"7,278",145,"4,339",422,957,"3,066",386,0,852,54,10,643,"2,605",17,"20,774"
11,944,"1,577","2,170",0,275,"1,401",396,0,488,73,0,878,"2,505",12,"10,719"
12,"3,234","1,831","6,235",0,142,"11,380","4,610",64,"2,073",645,541,620,"14,068",28,"45,471"
13,"3,274","11,545","1,868",0,34,"4,699","4,868",0,"1,899",390,0,510,"1,639",0,"30,726"
14,"4,849","11,577","11,245",522,517,"4,824","1,220",129,569,"1,980",0,"1,329","7,013",0,"45,775"
15,"5,997","4,618","3,063",226,458,"4,294","1,044",0,317,"1,171",0,252,"4,172",0,"25,612"
16,"7,887","4,891","10,457",0,"1,132","3,511","1,105",0,410,"1,387",0,932,"19,025",0,"50,737"
17,"3,734","1,826","3,391",0,50,"5,142",362,0,822,48,0,"1,181","8,060",0,"24,616"
18,"9,737","2,954","11,642",0,902,"10,999","5,004",0,"1,311",781,287,"2,166","21,349",0,"67,130"
19,"5,444",0,"6,839",0,852,"9,936","3,666",133,"1,106","1,076",0,0,"12,621",0,"41,673"
20,"2,528",0,"6,002",914,"2,572","7,357",759,49,"2,286",982,169,0,"17,486",0,"41,106"
21,"3,995",0,"2,794",0,"2,301","4,921",543,0,"1,080","1,484",114,712,"8,161",0,"26,105"
22,"6,877",0,"4,268",0,"1,557","3,159",755,0,494,533,0,0,"4,236",0,"21,878"
23,"22,649",289,"1,658",96,546,"8,616","2,771",113,970,"1,100",0,38,"3,554",0,"42,399"
24,"31,044",122,"4,090",0,591,"6,492","2,533",195,"1,430",649,30,99,"10,176",0,"57,452"
25,"2,769",0,"7,245",0,740,"3,859",824,246,"2,038",233,19,405,"10,624",0,"29,002"
26,"3,661","1,157","7,299",0,654,"7,246","1,076",306,980,31,0,"1,583","7,787",0,"31,780"
27,"38,501",364,"15,373",180,"1,540","13,533","3,866",877,"4,392","2,405",65,333,"9,062",0,"90,491"
28,"10,337",398,"8,176",162,257,"11,317","3,827",350,"1,748","1,367",0,148,"7,495",0,"45,583"
29,"37,482",895,"9,467",0,482,"24,734","3,321",909,"5,130","1,956",39,0,"14,533",0,"98,947"
30,"7,525",7,"3,045",0,787,"7,630","2,219",303,"2,835",127,0,264,"12,751",52,"37,543"
31,"30,658",0,"16,992",0,"1,007","17,678","7,243","1,135","5,031",7,0,"1,203","18,030",0,"98,985"
32,"29,918",863,"12,388",106,36,"11,733","1,855",445,"8,577",355,15,340,"13,846",0,"80,477"
33,311,48,556,0,102,"2,921","1,004",20,143,53,0,90,881,0,"6,128"
34,"3,042",478,"1,820",0,711,"6,810","2,185",302,"1,300",108,108,0,"5,397",0,"22,260"
