Tabela 22,,,,,
Viagens Diárias Atraídas por Tipo e Zona de Destino – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
, Viagens Atraidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Destino ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
1," 57,608 "," 14,266 "," 71,874 "," 18,611 "," 90,485 "
2," 50,951 "," 19,066 "," 70,017 "," 13,054 "," 83,071 "
3," 21,680 "," 10,239 "," 31,919 "," 17,026 "," 48,945 "
4," 21,255 "," 19,044 "," 40,299 "," 24,266 "," 64,565 "
5," 80,455 "," 21,392 "," 101,846 "," 23,990 "," 125,836 "
6," 39,073 "," 11,857 "," 50,930 "," 17,371 "," 68,301 "
7," 37,072 "," 14,163 "," 51,235 "," 12,057 "," 63,292 "
8," 8,825 "," 5,047 "," 13,871 "," 15,141 "," 29,013 "
9," 15,213 "," 9,173 "," 24,386 "," 5,698 "," 30,084 "
10," 13,141 "," 4,385 "," 17,526 "," 3,248 "," 20,774 "
11," 4,966 "," 2,370 "," 7,336 "," 3,384 "," 10,719 "
12," 11,443 "," 19,341 "," 30,783 "," 14,688 "," 45,471 "
13," 16,721 "," 11,857 "," 28,577 "," 2,149 "," 30,726 "
14," 28,710 "," 8,723 "," 37,433 "," 8,342 "," 45,775 "
15," 14,361 "," 6,827 "," 21,187 "," 4,424 "," 25,612 "
16," 24,366 "," 6,413 "," 30,780 "," 19,957 "," 50,737 "
17," 9,001 "," 6,373 "," 15,374 "," 9,242 "," 24,616 "
18," 25,235 "," 18,381 "," 43,615 "," 23,515 "," 67,130 "
19," 13,134 "," 15,918 "," 29,052 "," 12,621 "," 41,673 "
20," 12,016 "," 11,603 "," 23,619 "," 17,486 "," 41,106 "
21," 9,091 "," 8,142 "," 17,232 "," 8,873 "," 26,105 "
22," 12,701 "," 4,940 "," 17,642 "," 4,236 "," 21,878 "
23," 25,237 "," 13,570 "," 38,807 "," 3,592 "," 42,399 "
24," 35,847 "," 11,329 "," 47,176 "," 10,275 "," 57,452 "
25," 10,753 "," 7,220 "," 17,973 "," 11,029 "," 29,002 "
26," 12,772 "," 9,640 "," 22,411 "," 9,369 "," 31,780 "
27," 55,958 "," 25,138 "," 81,095 "," 9,396 "," 90,491 "
28," 19,329 "," 18,609 "," 37,939 "," 7,644 "," 45,583 "
29," 48,326 "," 36,089 "," 84,414 "," 14,533 "," 98,947 "
30," 11,363 "," 13,165 "," 24,528 "," 13,015 "," 37,543 "
31," 48,657 "," 31,095 "," 79,752 "," 19,233 "," 98,985 "
32," 43,310 "," 22,980 "," 66,291 "," 14,186 "," 80,477 "
33," 1,017 "," 4,140 "," 5,157 ", 971 ," 6,128 "
34," 6,051 "," 10,813 "," 16,864 "," 5,397 "," 22,260 "
35," 36,612 "," 23,880 "," 60,491 "," 36,424 "," 96,915 "
36," 35,302 "," 27,104 "," 62,406 "," 26,241 "," 88,647 "
37," 10,004 "," 8,787 "," 18,791 "," 2,870 "," 21,660 "
38," 1,864 "," 4,825 "," 6,688 "," 4,962 "," 11,650 "
39," 15,334 "," 9,534 "," 24,867 "," 5,324 "," 30,191 "
40," 15,573 "," 9,200 "," 24,773 "," 7,676 "," 32,449 "
41," 24,051 "," 17,405 "," 41,455 "," 13,573 "," 55,028 "
42," 7,468 "," 4,567 "," 12,035 "," 5,370 "," 17,405 "
43," 37,094 "," 27,816 "," 64,910 "," 12,406 "," 77,316 "
44," 16,709 "," 26,237 "," 42,946 "," 11,049 "," 53,996 "
45," 34,906 "," 41,271 "," 76,177 "," 11,289 "," 87,466 "
46," 17,009 "," 19,307 "," 36,316 "," 22,124 "," 58,440 "
47," 6,329 "," 15,497 "," 21,826 "," 10,595 "," 32,422 "
48," 11,475 "," 20,207 "," 31,681 "," 7,413 "," 39,094 "
49," 19,026 "," 12,908 "," 31,934 "," 5,534 "," 37,469 "
50," 5,642 "," 6,939 "," 12,581 "," 4,902 "," 17,482 "
51," 11,659 "," 13,547 "," 25,206 "," 3,153 "," 28,359 "
52," 10,526 "," 10,179 "," 20,704 "," 3,399 "," 24,103 "
53," 26,168 "," 19,744 "," 45,912 "," 10,004 "," 55,916 "
54," 27,428 "," 21,829 "," 49,257 "," 9,920 "," 59,177 "
55," 21,386 "," 18,383 "," 39,770 "," 11,492 "," 51,261 "
56," 25,862 "," 14,209 "," 40,071 "," 13,703 "," 53,774 "
57," 31,453 "," 21,261 "," 52,714 "," 14,316 "," 67,029 "
58," 23,577 "," 26,472 "," 50,050 "," 12,914 "," 62,963 "
59," 38,923 "," 33,142 "," 72,065 "," 13,577 "," 85,642 "
60," 12,313 "," 22,017 "," 34,329 "," 7,515 "," 41,844 "
61," 23,979 "," 23,615 "," 47,594 "," 5,323 "," 52,917 "
62," 12,646 "," 21,854 "," 34,499 "," 4,744 "," 39,244 "
63," 15,764 "," 13,125 "," 28,889 ", 415 ," 29,304 "
64," 29,820 "," 43,599 "," 73,419 "," 16,969 "," 90,389 "
65," 15,869 "," 25,346 "," 41,215 "," 12,241 "," 53,456 "
66," 21,734 "," 31,451 "," 53,185 "," 7,970 "," 61,155 "
67," 8,956 "," 12,559 "," 21,515 "," 3,351 "," 24,867 "
68," 42,061 "," 41,941 "," 84,002 "," 19,806 "," 103,808 "
69," 28,083 "," 19,619 "," 47,703 "," 15,491 "," 63,193 "
70," 19,484 "," 20,918 "," 40,402 "," 13,909 "," 54,311 "
71," 23,352 "," 34,623 "," 57,976 "," 22,514 "," 80,490 "
72," 14,524 "," 20,772 "," 35,296 "," 4,206 "," 39,502 "
73," 62,978 "," 65,588 "," 128,566 "," 24,733 "," 153,299 "
74," 40,745 "," 21,886 "," 62,630 "," 10,169 "," 72,800 "
75," 9,452 "," 12,322 "," 21,774 "," 5,521 "," 27,295 "
76," 12,619 "," 13,764 "," 26,383 "," 4,388 "," 30,771 "
77," 42,184 "," 31,097 "," 73,281 "," 12,548 "," 85,829 "
78," 18,362 "," 16,530 "," 34,891 "," 10,073 "," 44,964 "
79," 41,982 "," 26,510 "," 68,492 "," 12,016 "," 80,508 "
80," 23,492 "," 22,355 "," 45,847 "," 13,071 "," 58,917 "
81," 22,095 "," 29,915 "," 52,010 "," 5,351 "," 57,361 "
82," 49,730 "," 46,353 "," 96,083 "," 16,578 "," 112,661 "
83," 23,876 "," 30,062 "," 53,938 "," 14,619 "," 68,557 "
84," 13,914 "," 25,000 "," 38,914 "," 9,381 "," 48,296 "
85," 2,279 "," 8,440 "," 10,719 "," 2,297 "," 13,016 "
86," 3,554 "," 3,509 "," 7,063 ", 346 ," 7,409 "
87," 10,584 "," 21,933 "," 32,517 "," 4,123 "," 36,640 "
88," 22,635 "," 43,425 "," 66,060 "," 18,569 "," 84,628 "
89," 4,329 "," 8,528 "," 12,857 "," 1,555 "," 14,412 "
90," 9,252 "," 11,409 "," 20,660 "," 6,345 "," 27,005 "
91," 32,140 "," 15,295 "," 47,435 "," 5,257 "," 52,692 "
92," 19,850 "," 17,230 "," 37,080 "," 2,380 "," 39,460 "
93," 43,994 "," 21,462 "," 65,456 "," 7,739 "," 73,196 "
94," 18,410 "," 14,587 "," 32,996 "," 6,890 "," 39,887 "
95," 6,516 "," 19,430 "," 25,946 "," 4,487 "," 30,433 "
96," 10,971 "," 16,247 "," 27,218 "," 1,815 "," 29,033 "
97," 6,508 "," 15,187 "," 21,694 "," 4,023 "," 25,717 "
98," 4,825 "," 9,273 "," 14,098 "," 6,310 "," 20,408 "
99," 14,170 "," 11,490 "," 25,661 "," 4,504 "," 30,165 "
100," 63,725 "," 47,334 "," 111,059 "," 19,047 "," 130,106 "
101," 13,608 "," 11,708 "," 25,317 "," 1,076 "," 26,393 "
102," 10,584 "," 14,519 "," 25,103 "," 2,284 "," 27,387 "
103," 3,705 "," 5,137 "," 8,842 ", 376 ," 9,217 "
104," 2,966 "," 5,228 "," 8,194 "," 2,192 "," 10,386 "
105," 8,388 "," 15,967 "," 24,355 "," 4,700 "," 29,055 "
106," 14,849 "," 10,549 "," 25,398 "," 5,045 "," 30,442 "
107," 14,953 "," 18,116 "," 33,068 "," 9,218 "," 42,287 "
108," 10,559 "," 10,647 "," 21,205 "," 3,092 "," 24,297 "
109," 60,233 "," 73,411 "," 133,644 "," 27,889 "," 161,532 "
110," 46,702 "," 25,587 "," 72,288 "," 25,116 "," 97,405 "
111," 21,454 "," 37,915 "," 59,370 "," 12,957 "," 72,326 "
112," 19,893 "," 24,325 "," 44,218 "," 12,257 "," 56,475 "
113," 16,042 "," 26,516 "," 42,558 "," 15,880 "," 58,438 "
114, - , - , -   , -   , -   
115," 37,356 "," 26,238 "," 63,594 "," 16,387 "," 79,981 "
116," 106,745 "," 42,757 "," 149,502 "," 90,705 "," 240,207 "
117," 34,193 "," 33,447 "," 67,640 "," 17,560 "," 85,200 "
118," 7,365 "," 5,263 "," 12,628 "," 9,275 "," 21,903 "
119," 61,013 "," 26,096 "," 87,108 "," 34,440 "," 121,548 "
120, - , - , -   , -   , -   
121," 46,160 "," 13,013 "," 59,172 "," 45,301 "," 104,473 "
122," 28,650 "," 2,290 "," 30,940 "," 26,313 "," 57,253 "
123," 30,020 "," 18,212 "," 48,233 "," 25,541 "," 73,773 "
124," 29,374 "," 27,114 "," 56,487 "," 32,049 "," 88,536 "
125," 31,241 "," 25,164 "," 56,405 "," 18,712 "," 75,117 "
126," 22,979 "," 21,142 "," 44,121 "," 16,008 "," 60,129 "
127," 42,814 "," 41,080 "," 83,894 "," 27,722 "," 111,616 "
128," 10,493 "," 12,183 "," 22,676 "," 1,047 "," 23,723 "
129," 18,093 "," 15,495 "," 33,588 "," 2,999 "," 36,587 "
130," 4,629 "," 4,205 "," 8,833 "," 4,127 "," 12,961 "
131," 11,203 "," 5,677 "," 16,879 ", 811 ," 17,691 "
132," 4,044 "," 5,851 "," 9,894 "," 1,429 "," 11,323 "
133," 25,214 "," 36,928 "," 62,142 "," 12,577 "," 74,719 "
134," 24,010 "," 30,994 "," 55,004 "," 9,443 "," 64,448 "
135," 30,892 "," 34,918 "," 65,810 "," 4,224 "," 70,034 "
136," 26,627 "," 28,614 "," 55,241 "," 14,117 "," 69,358 "
137," 21,018 "," 25,873 "," 46,892 "," 23,507 "," 70,398 "
138," 14,827 "," 10,245 "," 25,072 "," 9,156 "," 34,228 "
139," 16,713 "," 22,122 "," 38,835 "," 11,897 "," 50,732 "
140," 25,215 "," 8,879 "," 34,094 "," 23,668 "," 57,761 "
141," 38,551 "," 37,913 "," 76,464 "," 76,529 "," 152,993 "
142," 40,483 "," 5,299 "," 45,782 "," 24,978 "," 70,760 "
143, - , - , -   , -   , -   
144," 50,847 "," 76,116 "," 126,963 "," 50,608 "," 177,571 "
145," 5,341 "," 4,610 "," 9,952 "," 3,405 "," 13,356 "
146, - , - , -   , -   , -   
147," 17,600 "," 15,668 "," 33,267 "," 11,955 "," 45,223 "
148," 15,162 "," 12,288 "," 27,450 "," 9,123 "," 36,573 "
149, -   , 280 , 280 , -   , 280 
150," 35,790 "," 7,525 "," 43,315 "," 17,133 "," 60,448 "
151," 43,497 "," 28,294 "," 71,791 "," 27,585 "," 99,376 "
152," 25,387 "," 26,891 "," 52,278 "," 8,550 "," 60,827 "
153," 10,159 "," 17,233 "," 27,392 "," 3,075 "," 30,466 "
154," 37,676 "," 38,563 "," 76,239 "," 25,134 "," 101,373 "
155," 15,403 "," 6,203 "," 21,606 "," 14,234 "," 35,841 "
156," 23,414 "," 36,869 "," 60,284 "," 27,373 "," 87,656 "
157," 10,748 "," 3,771 "," 14,519 "," 6,378 "," 20,898 "
158," 17,585 "," 23,616 "," 41,201 "," 16,788 "," 57,988 "
159," 32,675 "," 33,586 "," 66,261 "," 35,797 "," 102,057 "
160," 20,150 "," 21,116 "," 41,266 "," 26,153 "," 67,419 "
161," 24,141 "," 29,052 "," 53,193 "," 38,287 "," 91,480 "
162," 11,369 "," 17,800 "," 29,169 "," 15,103 "," 44,272 "
