Tabela 23,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo e Zona de Destino – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,
,,,,,,,,,,,
1," 1,967 "," 8,096 "," 48,967 "," 7,116 "," 3,460 "," 1,241 "," 1,358 ", 862 ," 10,256 "," 7,161 "," 90,485 "
2, 672 ," 29,321 "," 23,187 "," 2,734 "," 19,961 ", 875 ," 1,105 ", -   ," 3,166 "," 2,050 "," 83,071 "
3, 750 ," 4,442 "," 23,826 "," 9,243 "," 3,040 "," 1,585 "," 1,161 ", -   ," 3,596 "," 1,301 "," 48,945 "
4, 435 ," 7,055 "," 27,720 "," 6,017 "," 2,351 "," 1,285 "," 7,336 ", -   ," 9,469 "," 2,897 "," 64,565 "
5," 4,388 "," 16,856 "," 74,661 "," 3,995 "," 3,974 "," 2,251 "," 4,315 "," 1,358 "," 8,953 "," 5,085 "," 125,836 "
6," 1,188 "," 17,618 "," 32,447 "," 4,632 "," 2,920 "," 3,823 "," 1,380 ", 130 ," 2,453 "," 1,708 "," 68,301 "
7," 4,332 "," 12,211 "," 23,842 "," 8,234 "," 5,357 ", 544 ," 2,488 "," 1,191 "," 3,457 "," 1,637 "," 63,292 "
8," 2,356 "," 4,462 "," 5,798 "," 13,140 "," 1,229 ", 251 , 938 , -   , 543 , 295 ," 29,013 "
9," 2,113 ", 791 ," 13,517 "," 10,158 ", 434 , 745 , 975 , -   ," 1,350 ", -   ," 30,084 "
10, 845 ," 4,736 "," 6,081 "," 7,608 ", 460 , 130 , 751 , -   , 137 , 26 ," 20,774 "
11, 924 ," 3,247 ", 987 ," 3,932 ", 289 , 566 , 418 , -   , 356 , -   ," 10,719 "
12," 2,508 "," 14,896 "," 12,694 "," 8,493 "," 2,346 "," 1,551 ", 461 , -   ," 1,385 "," 1,138 "," 45,471 "
13, 109 ," 20,349 "," 1,821 ", 647 ," 6,529 ", 32 , 63 , -   ," 1,178 ", -   ," 30,726 "
14," 1,860 "," 16,521 "," 7,227 "," 6,158 "," 11,285 ", 241 , 353 , 262 ," 1,496 ", 372 ," 45,775 "
15," 1,751 "," 7,123 "," 7,456 "," 2,617 "," 2,942 "," 1,022 ", 456 , -   ," 2,245 ", -   ," 25,612 "
16," 11,168 "," 6,898 "," 14,944 "," 10,007 "," 2,784 ", 929 ," 1,671 ", 376 ," 1,960 ", -   ," 50,737 "
17, 289 ," 8,292 "," 7,592 "," 3,356 "," 2,497 ", 429 ," 1,005 ", -   ," 1,155 ", -   ," 24,616 "
18," 7,673 "," 6,296 "," 22,777 "," 17,209 "," 3,616 "," 4,206 "," 1,240 ", 116 ," 3,625 ", 372 ," 67,130 "
19," 1,645 "," 4,877 "," 15,520 "," 11,058 "," 1,454 "," 4,789 ", 664 , 495 , 880 , 291 ," 41,673 "
20," 2,157 "," 2,527 "," 19,586 "," 10,607 "," 1,482 "," 1,889 "," 1,199 ", -   ," 1,658 ", -   ," 41,106 "
21, 630 ," 2,759 "," 9,028 "," 9,529 "," 1,065 "," 1,602 "," 1,007 ", -   , 485 , -   ," 26,105 "
22, 274 ," 1,523 "," 10,438 "," 6,401 ", 486 ," 1,494 ", 685 , -   , 440 , 137 ," 21,878 "
23, 126 ," 1,278 "," 13,684 "," 15,510 ", 121 ," 8,335 "," 1,467 ", -   ," 1,357 ", 522 ," 42,399 "
24," 1,859 "," 4,357 "," 19,348 "," 22,953 "," 1,193 "," 4,185 ", 378 , 186 ," 1,437 "," 1,556 "," 57,452 "
25," 1,055 "," 2,506 "," 13,916 "," 6,002 ", 996 ," 1,544 "," 2,266 ", -   , 704 , 14 ," 29,002 "
26, 756 , 912 ," 13,761 "," 9,452 "," 1,105 "," 3,267 "," 1,056 ", -   ," 1,471 ", -   ," 31,780 "
27," 1,537 "," 6,021 "," 43,793 "," 11,947 "," 8,014 "," 11,248 "," 3,919 ", -   ," 2,278 "," 1,733 "," 90,491 "
28," 1,377 "," 2,451 "," 19,868 "," 9,828 "," 1,101 "," 3,614 "," 2,978 ", 584 ," 1,146 "," 2,635 "," 45,583 "
29," 2,768 "," 4,417 "," 58,685 "," 6,696 "," 2,323 "," 10,398 "," 7,613 ", -   ," 3,225 "," 2,822 "," 98,947 "
30, 791 ," 1,831 "," 14,522 "," 8,142 "," 2,062 "," 3,495 "," 2,964 ", 40 ," 2,726 ", 969 ," 37,543 "
31," 2,294 "," 1,478 "," 32,134 "," 34,079 "," 1,894 "," 12,953 "," 8,147 ", -   ," 3,205 "," 2,802 "," 98,985 "
