Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
1," 1,897 "," 7,519 "," 47,829 "," 5,773 "," 3,376 ", 949 ," 1,314 "," 3,777 ", 783 ," 10,106 "," 7,161 "," 90,485 "
2, 672 ," 28,576 "," 21,392 "," 1,706 "," 19,745 ", 831 , 732 ," 4,384 ", -   ," 2,983 "," 2,050 "," 83,071 "
3, 750 , 587 ," 19,642 "," 4,364 "," 2,943 ", 358 , 804 ," 15,477 ", -   ," 2,926 "," 1,093 "," 48,945 "
4, 435 ," 3,475 "," 20,907 "," 3,123 ", 902 , 229 ," 4,608 "," 26,734 ", -   ," 1,847 "," 2,305 "," 64,565 "
5," 4,089 "," 14,968 "," 67,710 "," 3,414 "," 3,032 "," 2,251 "," 3,618 "," 12,031 "," 1,358 "," 8,407 "," 4,957 "," 125,836 "
6, 30 ," 15,211 "," 22,907 "," 1,104 "," 2,255 "," 2,408 ", 953 ," 19,140 ", 130 ," 2,453 "," 1,708 "," 68,301 "
7," 3,447 "," 11,048 "," 20,212 "," 5,422 "," 3,153 ", -   ," 1,993 "," 12,394 ", 936 ," 3,051 "," 1,637 "," 63,292 "
8," 1,973 "," 2,131 "," 4,156 "," 7,490 ", 637 , -   , 743 ," 11,147 ", -   , 439 , 295 ," 29,013 "
9," 1,900 ", 423 ," 10,881 "," 8,710 ", 70 , 711 , 490 ," 5,721 ", -   ," 1,178 ", -   ," 30,084 "
10, 742 ," 4,252 "," 5,818 "," 6,718 ", 427 , 96 , 751 ," 1,909 ", -   , 35 , 26 ," 20,774 "
11, 775 ," 2,551 ", 214 ," 2,279 ", -   , -   , -   ," 4,854 ", -   , 45 , -   ," 10,719 "
12," 2,226 "," 13,274 "," 9,865 "," 3,910 "," 1,644 ", 889 , 49 ," 11,403 ", -   ," 1,071 "," 1,138 "," 45,471 "
13, 109 ," 19,983 "," 1,733 ", 460 ," 6,503 ", -   , -   , 803 , -   ," 1,136 ", -   ," 30,726 "
