Tabela 3,,,,,,
População por Grau de Instrução e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
,População por Grau de Instrução,,,,,
Zona de Residência,Não Alfabetizado/ Fundamental I Incompleto,Fundamental I Completo/ Fundamental II Incompleto,Fundamental II Completo/ Médio Incompleto,Médio Completo/ Superior Incompleto,Superior Completo,Total
,,,,,,
1, 568 , 479 , 483 ," 1,255 ", 815 ," 3,600 "
2, 853 , 656 , 511 ," 1,075 "," 1,150 "," 4,245 "
3," 2,895 "," 2,977 "," 3,147 "," 5,109 "," 2,451 "," 16,579 "
4," 3,171 "," 1,735 "," 2,093 "," 6,866 "," 11,041 "," 24,906 "
5, 817 , 479 ," 2,094 "," 6,270 "," 5,438 "," 15,099 "
6," 4,235 "," 2,257 "," 2,989 "," 7,266 "," 5,477 "," 22,224 "
7," 1,505 "," 2,191 ", 995 ," 7,148 "," 3,009 "," 14,849 "
8," 1,975 "," 1,710 "," 1,510 "," 5,042 "," 1,638 "," 11,874 "
9," 1,466 "," 1,597 "," 1,310 "," 1,719 "," 1,538 "," 7,630 "
10, 424 , 278 , 409 , 873 , 152 ," 2,134 "
11, 908 , 312 , 898 ," 1,593 ", 634 ," 4,345 "
12," 1,907 "," 1,711 "," 1,593 "," 4,195 "," 1,905 "," 11,311 "
13, 107 , 123 , 154 , 351 , 74 , 810 
14, 330 , 155 , 225 , 769 , 221 ," 1,700 "
15," 1,041 "," 1,359 ", 967 ," 3,595 "," 1,630 "," 8,592 "
16," 2,100 "," 1,225 "," 1,809 "," 9,129 "," 5,150 "," 19,412 "
17," 1,615 "," 1,917 "," 1,391 "," 3,278 ", 998 ," 9,199 "
18," 3,435 "," 2,857 "," 3,388 "," 11,665 "," 5,314 "," 26,660 "
19," 1,293 "," 2,008 "," 2,443 "," 8,158 "," 5,724 "," 19,625 "
20," 2,126 "," 3,192 "," 3,431 "," 7,317 "," 8,617 "," 24,683 "
21," 1,880 ", 390 ," 1,011 "," 3,220 "," 10,203 "," 16,704 "
22," 1,128 ", 160 , 723 ," 2,521 "," 6,879 "," 11,411 "
23, 388 , 339 , 259 ," 1,150 "," 2,026 "," 4,162 "
24," 1,323 ", 979 , 538 ," 3,773 "," 4,125 "," 10,737 "
25," 1,974 "," 1,863 "," 1,681 "," 5,073 "," 6,156 "," 16,746 "
