 Tabela 4 ,,,,
 População por Sexo e Zona de Residência – 2023 ,,,,
 Região Metropolitana de São Paulo ,,,,
 Pesquisa Origem e Destino 2023 ,,,,
 Companhia do Metropolitano de São Paulo  ,,,,
,,,,
 Zona de , População por Sexo ,,,
 Residência , Masculino , Feminino , Não respondeu , Total 
,,,,
 1 ," 1,696 "," 1,904 ", -   ," 3,600 "
 2 ," 1,982 "," 2,263 ", -   ," 4,245 "
 3 ," 9,553 "," 7,026 ", -   ," 16,579 "
 4 ," 14,291 "," 10,615 ", -   ," 24,906 "
 5 ," 8,994 "," 6,105 ", -   ," 15,099 "
 6 ," 9,698 "," 12,526 ", -   ," 22,224 "
 7 ," 7,039 "," 7,810 ", -   ," 14,849 "
 8 ," 5,025 "," 6,849 ", -   ," 11,874 "
 9 ," 3,955 "," 3,675 ", -   ," 7,630 "
 10 , 942 ," 1,192 ", -   ," 2,134 "
 11 ," 2,287 "," 2,058 ", -   ," 4,345 "
 12 ," 5,246 "," 6,065 ", -   ," 11,311 "
 13 , 456 , 354 , -   , 810 
 14 , 922 , 778 , -   ," 1,700 "
 15 ," 4,827 "," 3,765 ", -   ," 8,592 "
 16 ," 9,069 "," 10,343 ", -   ," 19,412 "
 17 ," 4,851 "," 4,319 ", 29 ," 9,199 "
 18 ," 12,419 "," 14,241 ", -   ," 26,660 "
 19 ," 8,652 "," 10,973 ", -   ," 19,625 "
 20 ," 11,016 "," 13,667 ", -   ," 24,683 "
 21 ," 8,216 "," 8,488 ", -   ," 16,704 "
 22 ," 5,230 "," 6,181 ", -   ," 11,411 "
 23 ," 1,954 "," 2,208 ", -   ," 4,162 "
 24 ," 5,438 "," 5,299 ", -   ," 10,737 "
 25 ," 7,184 "," 9,562 ", -   ," 16,746 "
 26 ," 5,941 "," 5,883 ", -   ," 11,824 "
 27 ," 7,441 "," 7,973 ", -   ," 15,414 "
 28 ," 3,869 "," 3,521 ", -   ," 7,390 "
 29 ," 5,676 "," 4,465 ", -   ," 10,141 "
 30 ," 8,393 "," 8,394 ", -   ," 16,787 "
 31 ," 10,396 "," 12,047 ", -   ," 22,443 "
 32 ," 3,757 "," 3,536 ", 46 ," 7,339 "
 33 , 583 , 955 , -   ," 1,538 "
 34 ," 2,940 "," 3,525 ", -   ," 6,465 "
 35 ," 16,963 "," 17,601 ", -   ," 34,564 "
 36 ," 19,901 "," 19,419 ", 60 ," 39,380 "
 37 ," 3,744 "," 5,296 ", -   ," 9,040 "
 38 ," 2,558 "," 2,966 ", -   ," 5,524 "
 39 ," 5,370 "," 7,846 ", -   ," 13,216 "
 40 ," 4,263 "," 3,947 ", -   ," 8,210 "
 41 ," 11,608 "," 11,702 ", -   ," 23,310 "
 42 ," 3,062 "," 3,849 ", -   ," 6,911 "
 43 ," 15,278 "," 16,542 ", 274 ," 32,094 "
 44 ," 9,996 "," 6,954 ", -   ," 16,950 "
 45 ," 14,123 "," 19,723 ", -   ," 33,846 "
 46 ," 16,680 "," 20,200 ", 233 ," 37,113 "
 47 ," 10,819 "," 14,908 ", 278 ," 26,005 "
 48 ," 10,643 "," 14,159 ", -   ," 24,802 "
 49 ," 7,106 "," 7,755 ", -   ," 14,861 "
 50 ," 5,275 "," 4,287 ", -   ," 9,562 "
 51 ," 7,397 "," 8,488 ", -   ," 15,885 "
 52 ," 4,100 "," 5,423 ", -   ," 9,523 "
 53 ," 8,071 "," 5,985 ", -   ," 14,056 "
 54 ," 4,241 "," 4,204 ", -   ," 8,445 "
 55 ," 7,054 "," 8,425 ", -   ," 15,479 "
 56 ," 8,715 "," 11,704 ", -   ," 20,419 "
 57 ," 10,769 "," 11,450 ", -   ," 22,219 "
 58 ," 12,059 "," 22,268 ", -   ," 34,327 "
 59 ," 23,238 "," 26,883 ", -   ," 50,121 "
 60 ," 7,085 "," 13,590 ", -   ," 20,675 "
 61 ," 13,266 "," 13,272 ", -   ," 26,538 "
 62 ," 2,141 "," 2,798 ", -   ," 4,939 "
 63 , 918 ," 1,132 ", -   ," 2,050 "
 64 ," 14,916 "," 16,424 ", -   ," 31,340 "
 65 ," 11,407 "," 14,905 ", -   ," 26,312 "
 66 ," 4,884 "," 5,498 ", -   ," 10,382 "
 67 ," 4,644 "," 4,267 ", -   ," 8,911 "
 68 ," 12,247 "," 13,353 ", -   ," 25,600 "
 69 ," 4,888 "," 5,764 ", -   ," 10,652 "
 70 ," 6,662 "," 6,709 ", -   ," 13,371 "
 71 ," 12,873 "," 18,428 ", -   ," 31,301 "
 72 ," 6,247 "," 6,932 ", -   ," 13,179 "
 73 ," 5,010 "," 4,860 ", -   ," 9,870 "
 74 ," 5,713 "," 5,811 ", -   ," 11,524 "
 75 ," 6,084 "," 7,155 ", -   ," 13,239 "
 76 ," 4,391 "," 4,833 ", 25 ," 9,249 "
 77 ," 10,715 "," 11,617 ", -   ," 22,332 "
 78 ," 8,639 "," 9,356 ", -   ," 17,995 "
 79 ," 4,721 "," 4,833 ", -   ," 9,554 "
 80 ," 8,208 "," 10,867 ", -   ," 19,075 "
 81 ," 5,707 "," 6,205 ", -   ," 11,912 "
 82 ," 5,298 "," 7,100 ", -   ," 12,398 "
 83 ," 11,273 "," 12,106 ", -   ," 23,379 "
 84 ," 7,178 "," 9,520 ", -   ," 16,698 "
 85 ," 2,201 "," 2,090 ", -   ," 4,291 "
 86 ," 1,386 "," 1,645 ", -   ," 3,031 "
 87 ," 7,501 "," 9,248 ", -   ," 16,749 "
 88 ," 18,874 "," 20,258 ", -   ," 39,132 "
 89 ," 4,842 "," 7,483 ", -   ," 12,325 "
 90 ," 6,076 "," 6,633 ", -   ," 12,709 "
 91 ," 5,288 "," 9,052 ", -   ," 14,340 "
 92 ," 1,525 "," 1,961 ", -   ," 3,486 "
 93 ," 4,795 "," 5,557 ", -   ," 10,352 "
 94 ," 2,511 "," 3,578 ", -   ," 6,089 "
 95 ," 7,829 "," 8,542 ", -   ," 16,371 "
 96 ," 3,194 "," 3,232 ", -   ," 6,426 "
 97 ," 6,613 "," 8,877 ", -   ," 15,490 "
 98 ," 3,576 "," 5,256 ", -   ," 8,832 "
 99 ," 4,013 "," 4,734 ", -   ," 8,747 "
 100 ," 8,578 "," 15,130 ", -   ," 23,708 "
 101 ," 8,677 "," 12,888 ", -   ," 21,565 "
 102 ," 6,118 "," 5,937 ", -   ," 12,055 "
 103 ," 1,141 "," 1,362 ", -   ," 2,503 "
 104 ," 2,861 "," 3,528 ", -   ," 6,389 "
 105 ," 6,717 "," 6,284 ", -   ," 13,001 "
 106 ," 3,349 "," 3,655 ", -   ," 7,004 "
 107 ," 8,111 "," 8,250 ", -   ," 16,361 "
 108 ," 2,569 "," 2,716 ", -   ," 5,285 "
 109 ," 53,918 "," 65,730 ", -   ," 119,648 "
 110 ," 23,417 "," 41,125 ", -   ," 64,542 "
 111 ," 20,775 "," 30,456 ", -   ," 51,231 "
 112 ," 21,871 "," 17,990 ", -   ," 39,861 "
 113 ," 12,181 "," 13,163 ", -   ," 25,344 "
 114 , - , - , - , -   
 115 ," 21,420 "," 30,540 ", -   ," 51,960 "
 116 ," 84,566 "," 79,571 ", 771 ," 164,908 "
 117 ," 31,839 "," 30,143 ", -   ," 61,982 "
 118 ," 7,783 "," 7,467 ", -   ," 15,250 "
 119 ," 39,331 "," 50,572 ", -   ," 89,903 "
 120 , - , - , - , -   
 121 ," 34,425 "," 47,924 ", -   ," 82,349 "
 122 ," 24,333 "," 23,476 ", -   ," 47,809 "
 123 ," 30,147 "," 32,482 ", -   ," 62,629 "
 124 ," 27,045 "," 29,485 ", -   ," 56,530 "
 125 ," 22,479 "," 29,474 ", -   ," 51,953 "
 126 ," 16,077 "," 18,217 ", -   ," 34,294 "
 127 ," 26,599 "," 27,404 ", 401 ," 54,403 "
 128 , 966 ," 1,180 ", -   ," 2,146 "
 129 ," 1,352 "," 2,472 ", -   ," 3,824 "
 130 ," 2,615 "," 3,040 ", -   ," 5,655 "
 131 , 754 , 675 , -   ," 1,429 "
 132 , - , - , - , -   
 133 ," 14,487 "," 24,297 ", -   ," 38,784 "
 134 ," 13,330 "," 18,736 ", -   ," 32,066 "
 135 ," 14,736 "," 19,924 ", -   ," 34,660 "
 136 ," 16,988 "," 15,106 ", -   ," 32,094 "
 137 ," 18,492 "," 31,951 ", -   ," 50,443 "
 138 ," 5,187 "," 6,724 ", -   ," 11,911 "
 139 ," 12,974 "," 14,594 ", -   ," 27,568 "
 140 ," 18,536 "," 26,405 ", -   ," 44,941 "
 141 ," 36,991 "," 45,740 ", -   ," 82,731 "
 142 ," 32,803 "," 30,622 ", 772 ," 64,197 "
 143 , - , - , - , -   
 144 ," 44,947 "," 53,300 ", -   ," 98,247 "
 145 ," 3,650 "," 4,344 ", -   ," 7,994 "
 146 , - , - , - , -   
 147 ," 14,084 "," 15,211 ", -   ," 29,295 "
 148 ," 10,076 "," 10,910 ", -   ," 20,986 "
 149 , - , - , - , -   
 150 ," 23,437 "," 28,238 ", -   ," 51,675 "
 151 ," 50,855 "," 48,636 ", -   ," 99,491 "
 152 ," 15,512 "," 20,314 ", -   ," 35,826 "
 153 ," 9,226 "," 7,831 ", -   ," 17,057 "
 154 ," 23,094 "," 26,056 ", -   ," 49,150 "
 155 ," 12,029 "," 17,919 ", -   ," 29,948 "
 156 ," 20,820 "," 21,690 ", -   ," 42,510 "
 157 ," 7,061 "," 9,980 ", -   ," 17,041 "
 158 ," 23,210 "," 32,154 ", -   ," 55,364 "
 159 ," 32,610 "," 29,821 ", -   ," 62,431 "
 160 ," 21,728 "," 25,707 ", -   ," 47,435 "
 161 ," 22,030 "," 25,819 ", -   ," 47,849 "
 162 ," 8,985 "," 6,971 ", -   ," 15,956 "
 163 ," 22,963 "," 19,373 ", -   ," 42,336 "
 164 ," 3,867 "," 4,176 ", -   ," 8,043 "
 165 ," 1,438 "," 2,077 ", -   ," 3,515 "
 166 ," 16,924 "," 14,016 ", -   ," 30,940 "
 167 ," 7,651 "," 7,908 ", -   ," 15,559 "
 168 ," 10,819 "," 14,562 ", -   ," 25,381 "
 169 ," 12,282 "," 16,889 ", -   ," 29,171 "
 170 ," 21,894 "," 20,273 ", -   ," 42,167 "
 171 ," 20,335 "," 18,780 ", -   ," 39,115 "
