Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 1 , 375 , 797 ," 2,181 ", 207 , 40 ," 3,600 "
 2 , 448 ," 1,682 "," 1,413 ", 525 , 177 ," 4,245 "
 3 ," 6,418 "," 7,247 "," 2,800 ", -   , 114 ," 16,579 "
 4 ," 2,728 "," 9,853 "," 10,381 "," 1,364 ", 579 ," 24,906 "
 5 , 591 ," 9,242 "," 4,213 ", 103 , 950 ," 15,099 "
 6 ," 5,564 "," 9,306 "," 6,105 ", 976 , 272 ," 22,224 "
 7 ," 3,240 "," 5,587 "," 4,282 ", 856 , 885 ," 14,849 "
 8 ," 1,209 "," 5,043 "," 3,194 "," 1,394 "," 1,035 "," 11,874 "
 9 ," 1,287 "," 3,550 "," 1,711 ", 941 , 142 ," 7,630 "
 10 , 346 ," 1,234 ", 387 , 150 , 18 ," 2,134 "
 11 , 359 ," 2,534 "," 1,039 ", 414 , -   ," 4,345 "
 12 , 886 ," 5,034 "," 3,389 ", 665 ," 1,337 "," 11,311 "
 13 , 76 , 361 , 354 , 8 , 12 , 810 
 14 , 226 , 864 , 524 , 87 , -   ," 1,700 "
 15 ," 1,420 "," 4,551 "," 2,111 ", 510 , -   ," 8,592 "
 16 , 972 ," 6,214 "," 7,906 "," 1,825 "," 2,494 "," 19,412 "
 17 ," 2,597 "," 4,177 "," 2,369 ", 55 , -   ," 9,199 "
 18 , 309 ," 12,422 "," 13,128 ", 700 , 101 ," 26,660 "
 19 ," 2,182 "," 5,374 "," 7,694 "," 1,838 "," 2,537 "," 19,625 "
 20 ," 1,130 "," 8,942 "," 10,482 "," 2,637 "," 1,492 "," 24,683 "
 21 , 44 ," 2,762 "," 4,699 "," 4,450 "," 4,749 "," 16,704 "
 22 , 195 ," 2,407 "," 5,955 "," 1,965 ", 889 ," 11,411 "
 23 , 288 , 963 ," 2,672 ", 239 , -   ," 4,162 "
 24 ," 2,240 "," 3,448 "," 3,315 ", 941 , 793 ," 10,737 "
 25 , 536 ," 6,152 "," 7,323 "," 1,839 ", 896 ," 16,746 "
 26 ," 1,300 "," 4,436 "," 4,567 ", 967 , 553 ," 11,824 "
 27 , 307 ," 1,400 "," 5,113 "," 2,589 "," 6,005 "," 15,414 "
 28 , 109 , 259 ," 1,806 "," 2,333 "," 2,883 "," 7,390 "
 29 , 424 ," 2,378 "," 2,956 "," 2,729 "," 1,653 "," 10,141 "
