Tabela 6,,,,
"Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de  ,Renda(*),Renda(*)  Média,Renda(*),Renda(*) Mediana
 Residência ,Total  ,Familiar,Per Capita,Familiar
,,,,
 1 ," 8,312,482 "," 5,141 "," 2,309 "," 5,036 "
 2 ," 9,537,456 "," 5,240 "," 2,247 "," 4,000 "
 3 ," 40,506,300 "," 5,447 "," 2,443 "," 3,000 "
 4 ," 72,963,753 "," 5,420 "," 2,930 "," 4,545 "
 5 ," 54,566,197 "," 6,305 "," 3,614 "," 5,024 "
 6 ," 41,827,757 "," 4,255 "," 1,882 "," 3,300 "
 7 ," 27,916,660 "," 4,908 "," 1,880 "," 3,797 "
 8 ," 26,781,315 "," 6,300 "," 2,255 "," 4,484 "
 9 ," 15,769,398 "," 5,701 "," 2,067 "," 4,196 "
 10 ," 2,037,259 "," 4,517 ", 955 ," 3,039 "
 11 ," 7,759,419 "," 5,187 "," 1,786 "," 4,072 "
 12 ," 28,057,887 "," 7,651 "," 2,481 "," 4,592 "
 13 ," 1,681,909 "," 5,191 "," 2,076 "," 4,592 "
 14 ," 3,137,202 "," 4,775 "," 1,845 "," 4,684 "
 15 ," 15,994,453 "," 4,455 "," 1,862 "," 4,000 "
 16 ," 54,534,722 "," 6,385 "," 2,809 "," 4,850 "
 17 ," 13,961,536 "," 3,979 "," 1,518 "," 3,699 "
 18 ," 65,943,105 "," 5,816 "," 2,473 "," 5,206 "
 19 ," 64,053,620 "," 7,785 "," 3,264 "," 6,050 "
 20 ," 78,471,964 "," 7,164 "," 3,179 "," 5,024 "
 21 ," 103,351,062 "," 13,800 "," 6,187 "," 10,000 "
 22 ," 49,624,524 "," 8,547 "," 4,349 "," 7,130 "
 23 ," 13,629,312 "," 6,036 "," 3,275 "," 6,198 "
 24 ," 33,407,366 "," 6,148 "," 3,111 "," 4,500 "
 25 ," 56,141,838 "," 6,554 "," 3,353 "," 5,344 "
 26 ," 36,857,800 "," 6,185 "," 3,117 "," 5,000 "
 27 ," 118,804,238 "," 15,567 "," 7,708 "," 10,000 "
 28 ," 57,572,728 "," 15,095 "," 7,791 "," 13,386 "
 29 ," 60,575,060 "," 10,116 "," 5,973 "," 8,201 "
 30 ," 132,633,475 "," 16,495 "," 7,901 "," 11,819 "
 31 ," 131,658,321 "," 10,186 "," 5,866 "," 8,000 "
 32 ," 51,821,871 "," 12,897 "," 7,061 "," 10,000 "
 33 ," 16,134,172 "," 30,101 "," 10,490 "," 23,435 "
 34 ," 51,166,870 "," 18,439 "," 7,914 "," 15,000 "
 35 ," 111,176,645 "," 6,243 "," 3,217 "," 5,000 "
 36 ," 227,742,168 "," 12,091 "," 5,783 "," 10,000 "
 37 ," 43,468,316 "," 10,683 "," 4,808 "," 7,388 "
 38 ," 9,314,730 "," 4,806 "," 1,686 "," 4,036 "
 39 ," 27,296,596 "," 5,648 "," 2,065 "," 4,368 "
 40 ," 18,862,671 "," 5,609 "," 2,298 "," 5,779 "
 41 ," 83,754,999 "," 9,444 "," 3,593 "," 7,130 "
 42 ," 9,139,921 "," 3,519 "," 1,323 "," 3,301 "
 43 ," 122,021,076 "," 9,781 "," 3,802 "," 7,646 "
 44 ," 61,361,696 "," 8,931 "," 3,620 "," 6,000 "
 45 ," 142,584,627 "," 10,592 "," 4,213 "," 7,000 "
 46 ," 79,575,233 "," 5,179 "," 2,144 "," 4,300 "
 47 ," 63,051,319 "," 5,806 "," 2,425 "," 5,050 "
 48 ," 93,461,508 "," 9,168 "," 3,768 "," 7,646 "
 49 ," 66,477,449 "," 9,200 "," 4,473 "," 7,000 "
 50 ," 24,405,339 "," 6,051 "," 2,552 "," 5,388 "
 51 ," 125,588,309 "," 18,447 "," 7,906 "," 15,398 "
 52 ," 55,709,811 "," 12,336 "," 5,850 "," 9,717 "
 53 ," 71,626,957 "," 11,820 "," 5,096 "," 9,500 "
 54 ," 45,417,414 "," 11,284 "," 5,378 "," 9,433 "
 55 ," 86,191,544 "," 12,497 "," 5,568 "," 8,850 "
 56 ," 96,755,535 "," 9,584 "," 4,739 "," 8,350 "
 57 ," 112,715,214 "," 11,257 "," 5,073 "," 8,201 "
 58 ," 140,467,673 "," 9,422 "," 4,092 "," 8,000 "
 59 ," 189,231,480 "," 8,625 "," 3,775 "," 7,573 "
 60 ," 49,444,955 "," 6,085 "," 2,392 "," 5,388 "
 61 ," 63,210,871 "," 5,181 "," 2,382 "," 5,388 "
 62 ," 29,830,871 "," 13,553 "," 6,040 "," 10,851 "
 63 ," 9,914,697 "," 12,760 "," 4,836 "," 11,638 "
 64 ," 177,046,542 "," 12,185 "," 5,649 "," 10,117 "
 65 ," 515,793,910 "," 42,571 "," 19,603 "," 38,000 "
 66 ," 103,487,811 "," 21,124 "," 9,968 "," 17,200 "
 67 ," 49,652,513 "," 12,628 "," 5,572 "," 9,433 "
 68 ," 129,999,776 "," 10,520 "," 5,078 "," 8,201 "
 69 ," 82,100,603 "," 14,914 "," 7,708 "," 11,638 "
 70 ," 79,068,513 "," 11,915 "," 5,913 "," 10,142 "
 71 ," 247,356,937 "," 17,456 "," 7,903 "," 13,000 "
 72 ," 124,278,538 "," 20,997 "," 9,430 "," 17,712 "
 73 ," 95,722,859 "," 20,877 "," 9,698 "," 15,398 "
 74 ," 109,014,213 "," 18,877 "," 9,460 "," 15,000 "
 75 ," 71,616,129 "," 11,055 "," 5,409 "," 8,796 "
