Tabela 7,,,,,
Famílias por Número de Automóveis Particulares e Zona de Residência – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
Zona de Residência,Famílias por Número de Automóveis Particulares,,,,Total de famílias
,Nenhum,1,2,3 ou mais,
,,,,,
1,906,647,65,0,"1,617"
2,"1,056",692,73,0,"1,820"
3,"5,832","1,458",0,146,"7,436"
4,"9,962","3,231",269,0,"13,462"
5,"4,154","4,328",173,0,"8,655"
6,"8,624","1,207",0,0,"9,831"
7,"3,640","1,820",228,0,"5,688"
8,"2,551","1,700",0,0,"4,251"
9,"1,660","1,106",0,0,"2,766"
10,271,171,9,0,451
11,821,587,88,0,"1,496"
12,"1,980","1,540",73,73,"3,667"
13,130,181,13,0,324
14,447,184,26,0,657
15,"2,393","1,126",70,0,"3,590"
16,"5,295","3,075",0,171,"8,541"
17,"2,506",967,36,0,"3,509"
18,"5,670","5,443",227,0,"11,339"
19,"2,532","4,589","1,108",0,"8,228"
20,"5,868","4,303",782,0,"10,954"
21,"3,473","3,039",543,434,"7,489"
22,"2,453","2,944",409,0,"5,806"
23,"1,264",994,0,0,"2,258"
24,"3,623","1,598",107,107,"5,434"
25,"5,482","2,912",171,0,"8,566"
26,"4,290","1,430",238,0,"5,959"
27,"2,332","4,169",989,141,"7,632"
28,"1,557","2,066",159,32,"3,814"
29,"1,805","3,609",574,0,"5,988"
30,"2,627","3,859","1,447",107,"8,041"
31,"8,001","4,308",615,0,"12,925"
32,"1,842","2,009",134,33,"4,018"
33,100,263,100,73,536
34,463,"1,781",509,23,"2,775"
35,"11,332","5,828",324,324,"17,808"
36,"8,606","9,580",487,162,"18,836"
37,"1,790","1,709",570,0,"4,069"
38,814,"1,047",78,0,"1,938"
39,"2,559","1,990",190,95,"4,833"
40,"1,296","1,847",165,55,"3,363"
41,"2,926","4,297","1,646",0,"8,869"
42,"1,780",770,48,0,"2,597"
43,"3,872","7,227","1,291",86,"12,475"
44,"2,695","3,638",539,0,"6,871"
45,"3,714","7,659","1,857",232,"13,462"
46,"5,122","8,135","2,109",0,"15,365"
47,"3,258","6,516","1,086",0,"10,860"
48,"1,631","7,136","1,427",0,"10,194"
49,"2,738","3,879",609,0,"7,226"
50,"1,344","2,614",75,0,"4,033"
51,619,"3,610","2,063",516,"6,808"
