 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 1 ,890,96,109,93,298,705,32,0,0,"2,224"
 2 ,650,90,22,45,561,"1,043",0,30,0,"2,441"
 3 ,"5,655",888,461,292,181,"2,357",0,0,0,"9,835"
 4 ,"8,250",660,968,"1,250","2,230","1,741",577,0,0,"15,675"
 5 ,"6,148","1,048",247,0,"2,093","1,132",0,0,0,"10,668"
 6 ,"5,365","1,243","2,175",329,786,"4,237",53,0,0,"14,186"
 7 ,"3,687","1,289",0,0,"1,650","1,469",0,421,0,"8,518"
 8 ,"2,231",830,80,0,765,"1,957",37,53,0,"5,953"
 9 ,"1,635",265,24,0,694,"1,744",0,0,0,"4,362"
 10 ,391,92,0,10,107,444,15,28,0,"1,088"
 11 ,484,81,12,0,272,"1,467",0,0,0,"2,315"
 12 ,"1,680",84,96,68,"2,042","2,097",77,152,161,"6,457"
 13 ,131,26,0,0,86,235,20,8,8,514
 14 ,371,202,46,0,225,290,17,13,18,"1,182"
 15 ,"2,049",452,63,190,229,"1,825",0,64,0,"4,872"
 16 ,"5,809",155,721,0,"2,917","1,713",386,281,0,"11,981"
 17 ,"1,675",215,244,41,517,"2,273",46,81,45,"5,138"
 18 ,"6,118",468,294,486,"1,888","3,858",361,0,0,"13,473"
 19 ,"5,350",328,997,0,"1,590","1,925",402,"1,007",0,"11,598"
 20 ,"7,393",0,327,0,"1,903","2,775",0,241,164,"12,802"
 21 ,"3,627",733,"1,064",621,"1,794",991,337,126,0,"9,293"
 22 ,"3,527",47,"1,119",635,717,322,66,369,0,"6,802"
 23 ,874,279,0,305,585,99,0,0,0,"2,142"
 24 ,"2,737",849,447,266,262,989,105,0,0,"5,654"
 25 ,"7,752",0,81,0,706,"2,402",0,0,0,"10,941"
 26 ,"2,802",245,407,"1,109","1,655",407,441,0,0,"7,066"
 27 ,"3,197",52,351,"1,255","1,615","1,700",0,544,36,"8,749"
 28 ,"1,819",34,303,518,946,556,166,247,0,"4,589"
 29 ,"3,676",0,515,88,"1,676",306,0,0,0,"6,261"
 30 ,"3,668",307,806,"1,155","2,425",540,786,180,23,"9,889"
 31 ,"5,204",689,"1,351","2,549","2,141","1,793","1,016",0,0,"14,743"
 32 ,"1,864",164,232,409,978,951,46,55,0,"4,698"
 33 ,455,19,63,143,99,94,34,0,0,908
 34 ,"1,320",19,105,929,996,324,73,157,0,"3,924"
 35 ,"12,636","1,511","1,139",556,"2,322","3,959",570,0,0,"22,693"
 36 ,"10,137",121,"2,904","2,255","7,212","2,899",90,127,0,"25,744"
 37 ,"2,558",419,117,0,"1,424",400,0,74,97,"5,088"
 38 ,701,120,47,0,406,923,34,93,137,"2,462"
 39 ,"2,596",311,267,91,523,"1,732",95,262,262,"6,139"
 40 ,"1,794",148,46,141,"1,104",985,40,75,55,"4,388"
 41 ,"6,919",954,442,261,937,"1,638",0,0,0,"11,151"
 42 ,"1,185",285,69,176,751,"1,047",0,112,0,"3,624"
 43 ,"4,480",424,"1,588","1,706","4,477","2,077","1,307",879,40,"16,976"
 44 ,"1,481",28,718,"1,046","2,176","2,700",190,509,0,"8,847"
 45 ,"7,760","1,033","1,600","1,643","3,674","3,981","1,217",0,0,"20,907"
 46 ,"8,423",999,"1,096",189,"3,730","1,332",0,"2,014",0,"17,783"
 47 ,"7,405",156,"2,019",309,"1,074","1,218",0,655,0,"12,835"
 48 ,"4,253",247,347,411,"3,364","1,947",635,162,0,"11,366"
 49 ,"2,858",259,395,"1,055","2,723","1,456",306,109,0,"9,160"
 50 ,"3,584",0,151,33,"1,023",154,0,0,0,"4,945"
 51 ,"3,653",220,"1,140",575,"2,374",718,123,77,0,"8,880"
 52 ,"3,284",38,254,"1,098",316,468,308,135,0,"5,900"
 53 ,"3,457",230,224,"1,280","1,757",794,232,105,0,"8,078"
 54 ,"2,876",177,66,233,654,222,39,169,0,"4,437"
 55 ,"3,474",0,318,"1,117","3,675",446,0,98,0,"9,127"
 56 ,"5,713",163,352,301,"2,915","1,109",0,150,0,"10,703"
 57 ,"6,261",161,0,"1,095","3,638",967,0,525,0,"12,646"
 58 ,"9,422",0,734,348,"5,955","1,421",760,0,0,"18,640"
 59 ,"12,816",219,"1,815","1,099","4,421","3,959",384,605,"1,676","26,994"
 60 ,"10,328",0,0,0,"1,155",869,0,0,0,"12,352"
 61 ,"10,196",0,123,218,"2,871",81,0,0,0,"13,489"
 62 ,"1,349",79,90,59,823,218,0,78,37,"2,732"
 63 ,721,8,0,24,241,72,9,30,0,"1,106"
 64 ,"7,796",193,821,444,"6,071",959,"1,142",335,225,"17,986"
 65 ,"7,039",105,317,682,"3,692","2,409",77,161,0,"14,482"
 66 ,"2,241",112,361,"1,143",866,103,281,658,37,"5,802"
 67 ,"1,734",179,58,772,"1,981",473,387,31,105,"5,722"
 68 ,"5,627",576,509,552,"4,298","1,840",314,0,194,"13,911"
 69 ,"3,030",169,0,633,741,292,327,0,0,"5,192"
 70 ,"2,695",152,692,86,"3,127",676,180,312,0,"7,919"
 71 ,"8,558",0,847,"2,608","3,001","2,056",227,265,0,"17,561"
 72 ,"3,451",0,212,533,"1,813",145,0,0,0,"6,154"
 73 ,"1,789",157,107,431,"1,995",801,0,54,0,"5,335"
 74 ,"2,811",151,186,171,"1,758",534,125,115,0,"5,849"
 75 ,"2,493",108,386,439,"3,040",777,115,74,79,"7,510"
 76 ,"2,495",78,219,318,"1,931",524,0,22,36,"5,622"
 77 ,"7,620",687,373,0,"3,235",941,0,320,0,"13,177"
 78 ,"3,782",53,406,222,"3,840",748,173,226,39,"9,488"
 79 ,"1,590",124,409,981,"1,498",720,255,105,0,"5,682"
 80 ,"4,853",25,553,724,"2,655","1,173",154,626,0,"10,764"
 81 ,"2,559",42,255,283,"2,179",799,238,273,183,"6,811"
 82 ,"2,260",626,479,735,"1,818","1,687",220,0,0,"7,823"
 83 ,"5,477",266,"1,193",678,"2,004","3,624",420,251,0,"13,913"
