Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 1 ," 2,181 ", 12 , -   , 375 , 254 , 278 , 127 , 373 ," 3,600 "
 2 ," 2,441 ", -   , -   , 450 , 162 , 193 , 327 , 671 ," 4,245 "
 3 ," 8,865 ", 793 , 176 ," 2,056 "," 1,109 "," 1,219 ", -   ," 2,360 "," 16,579 "
 4 ," 14,510 "," 1,165 ", -   ," 4,225 "," 1,407 ", 214 , 651 ," 2,733 "," 24,906 "
 5 ," 11,193 ", -   , -   ," 2,106 ", 221 , 302 , 711 , 566 ," 15,099 "
 6 ," 12,898 "," 1,288 ", -   ," 3,563 "," 1,238 ", 493 , -   ," 2,745 "," 22,224 "
 7 ," 8,018 ", 500 , -   ," 2,142 "," 1,160 "," 1,255 ", 867 , 907 ," 14,849 "
 8 ," 5,120 ", 799 , 34 ," 1,255 ", 469 ," 1,421 ", 886 ," 1,891 "," 11,874 "
 9 ," 3,595 ", 727 , -   , 856 , 564 , 437 , 183 ," 1,268 "," 7,630 "
 10 , 882 , 205 , -   , 355 , 105 , 188 , 119 , 280 ," 2,134 "
 11 ," 2,270 ", 21 , -   , 589 , 328 , 341 , 153 , 643 ," 4,345 "
 12 ," 6,395 ", -   , 62 ," 1,098 ", 550 , 609 , 555 ," 2,042 "," 11,311 "
 13 , 488 , 27 , -   , 62 , 16 , 51 , 20 , 146 , 810 
 14 ," 1,139 ", 31 , 12 , 100 , 39 , 154 , 14 , 211 ," 1,700 "
 15 ," 4,277 ", 543 , 53 ," 1,418 ", 227 , 744 , 224 ," 1,108 "," 8,592 "
 16 ," 12,239 ", -   , -   ," 1,914 "," 1,492 ", -   , 805 ," 2,963 "," 19,412 "
 17 ," 4,211 ", 904 , 23 , 996 , 779 , 746 , 366 ," 1,173 "," 9,199 "
 18 ," 13,340 ", 133 , -   ," 3,839 "," 1,510 "," 2,126 "," 1,558 "," 4,154 "," 26,660 "
 19 ," 11,257 ", 246 , -   ," 3,742 ", 950 , -   , 399 ," 3,031 "," 19,625 "
 20 ," 12,446 ", -   , -   ," 5,660 "," 1,522 ", 955 , 865 ," 3,235 "," 24,683 "
 21 ," 8,955 ", 187 , 152 ," 2,940 "," 1,500 ", 882 , 135 ," 1,954 "," 16,704 "
 22 ," 6,605 ", 324 , -   ," 2,056 ", 498 , 388 , 202 ," 1,337 "," 11,411 "
 23 ," 2,142 ", -   , -   , 884 , 556 , 236 , 60 , 283 ," 4,162 "
 24 ," 5,489 ", 116 , 49 ," 2,154 ", 621 , 595 , 395 ," 1,318 "," 10,737 "
