origem,destino,distancia_media_m,n_amostras
1,2,573.6372366675951,15
1,3,310.3838250425917,12
1,5,712.1448351959583,14
1,6,983.6192884940725,8
1,16,1104.898393292517,5
1,24,1055.3085398048047,5
1,26,1171.3195633203002,5
1,27,1962.9727527543196,5
1,31,1324.8753730577896,7
1,34,2650.330201956985,5
1,35,2198.233657897511,5
1,36,2571.451671032274,8
1,41,4261.824791518751,5
1,79,3104.2602686644595,5
1,152,7713.233880080696,5
1,257,10297.839984333285,5
2,1,573.6372366675951,15
2,3,1055.5565178999768,12
2,6,953.1896058666637,11
2,7,1369.7360603905602,10
2,12,2070.9444941274223,5
2,17,485.8614060350891,9
2,18,2745.8514645710384,5
2,24,1235.6187977843233,8
2,129,4320.395002797794,5
3,1,323.55641153038135,13
3,2,1137.9390649179566,12
3,5,1273.929887608407,6
3,24,723.0823643914599,8
3,27,1853.9555268862957,9
3,32,2629.559786442331,5
4,1,605.6666482736734,5
4,5,425.5889952071349,7
4,25,664.985858338759,6
4,26,594.8590049578946,12
4,31,987.1430601625968,5
5,1,706.9631320862479,14
5,3,1271.0374742172787,6
5,4,479.19658504138005,7
5,6,750.3663036390158,13
5,9,2214.4955835397363,6
5,31,951.8146446253888,10
5,35,1021.8779596352663,7
5,36,1878.3212098316487,6
5,41,5140.993409150307,5
5,49,3649.143878468184,5
5,54,5871.531643177354,5
5,62,4088.911541662465,6
5,80,4616.10512112013,6
5,93,2808.5949640243366,14
5,194,18921.100828102386,5
5,301,10591.461574076002,5
6,1,983.6192884940725,8
6,2,992.6932936615724,10
6,5,750.3663036390158,13
6,35,647.5024139649195,11
7,1,1820.4033790951846,5
7,2,1367.7663966263553,10
7,8,1142.6522402804821,13
7,9,607.6615701729544,24
7,12,1959.2769422323665,7
7,35,1509.8396902836341,9
8,7,728.5501105277306,8
8,37,1188.5455418942129,18
8,136,1636.1997259401685,6
9,5,2257.653784153271,5
9,7,610.4662578520314,23
9,10,834.067480059544,6
9,12,860.9447637042136,5
9,131,1661.7934011521113,5
10,9,800.4498229379586,6
10,11,661.6281078858406,15
10,12,851.3487511327438,35
10,16,2156.1725644521975,6
10,130,1366.7464861682006,5
10,131,1330.465953713266,6
11,10,607.2665919775329,14
11,12,922.5279972224027,30
11,14,1701.4829243599702,5
11,38,640.8162417327596,21
11,39,1076.878845034792,7
11,42,1354.0192950794012,7
11,164,1263.643077698278,7
11,177,9271.582456743417,5
12,2,2070.9444941274223,5
12,7,1846.436257685175,8
12,9,938.1632504784262,5
12,10,830.854185865575,32
12,11,922.5279972224027,30
12,13,670.644298088144,17
12,14,859.6702433034574,22
12,17,1014.5241273004686,6
12,38,1332.4032661944473,25
12,42,903.6774376533413,12
12,130,2423.466839603318,7
12,165,1842.7827837494176,5
13,12,670.644298088144,17
13,14,609.263671651416,20
13,15,1276.7752202111253,11
14,12,838.3413385919193,21
14,13,609.263671651416,20
14,15,622.9159353543266,13
14,16,1006.229579812335,6
14,17,1047.9686384474992,23
14,38,1728.836599258266,8
14,41,1212.0662011082,11
14,42,835.4993712270474,20
15,13,1276.7752202111253,11
15,14,715.2439817071044,15
15,16,1090.0070555554628,5
15,43,2186.153491136411,8
16,1,1104.898393292517,5
16,10,2162.725132789648,6
16,14,1006.229579812335,6
16,15,1090.0070555554628,5
16,17,621.8001674516344,36
16,18,1100.6082377644639,8
16,41,2196.981876589153,5
17,2,498.1535794395008,9
17,12,1014.5241273004686,6
17,14,1087.95504728836,22
17,15,970.7664071049276,5
17,16,621.8001674516344,36
17,39,2319.765123487625,6
17,41,2029.1340092188207,5
18,2,2578.9537771990013,5
18,12,3087.727101571362,5
18,16,971.8195648043234,6
18,19,1051.7050614605573,14
18,43,2907.859076135984,6
18,45,1393.9502844662036,12
18,241,2135.6345064477196,5
19,18,1051.7050614605573,14
19,20,1095.6972815810313,8
19,50,1002.185214723687,11
19,51,1967.8541205593754,7
19,237,3223.2533028489106,6
20,19,1095.6972815810313,8
20,22,692.2796759795419,5
20,24,944.3911457605558,8
21,23,828.7135912359004,6
21,24,1248.907338346998,10
21,49,764.0964529992211,5
21,240,1938.5035166582027,5
22,20,692.2796759795419,5
22,21,402.63161979749725,5
22,23,404.0601313169715,11
22,24,606.2412830366594,7
22,27,912.6692005381559,5
22,49,769.8902890817411,7
22,53,2949.669298829139,5
23,21,828.7135912359004,6
23,22,414.69248537729,12
23,24,656.0780954047893,8
24,1,1055.3085398048047,5
24,2,1235.6187977843233,8
24,3,771.5530304858045,7
24,20,944.3911457605558,8
24,21,1248.907338346998,10
24,22,655.2592721826209,8
24,23,560.9435311435009,7
24,27,1269.3480675411909,6
24,49,1938.7565300070605,5
24,63,3873.114536202745,6
25,4,604.750217057985,5
25,27,757.4669385745716,8
25,29,642.2626288684854,6
25,31,644.1569266991204,7
26,1,1171.3195633203002,5
26,4,620.519337736874,14
26,27,944.1240210870872,14
26,29,1209.426106393154,7
27,1,2026.838475124264,6
27,3,1853.9555268862957,9
27,22,912.6692005381559,5
27,24,1249.0376870239043,6
27,25,757.4669385745716,8
27,26,945.4656954733595,13
27,28,698.7774904151862,27
27,29,1314.7273774786895,7
27,31,2023.3763395978312,7
27,32,1989.0341599603153,9
27,41,5921.947190377437,7
27,53,3319.2732948454495,5
27,55,2917.2734070904853,5
27,57,895.2053185552669,13
27,58,4410.629479159542,7
27,62,1840.6684292915565,5
27,73,6571.039298551502,5
27,74,844.0713084768425,12
27,75,1568.2833419583835,7
27,76,2144.0950844959457,6
27,78,2166.821367543266,9
27,79,1537.6141867109363,12
27,80,4155.317697800945,7
27,83,4382.875024557427,6
27,275,7438.817707567767,5
27,323,10579.62536585384,6
28,27,710.9840796658631,23
28,29,683.5183016775627,19
28,30,2287.218617013814,5
28,31,1792.5762613878476,10
28,32,1330.160852340543,10
28,34,2797.8094084389777,6
28,57,997.752792328209,14
28,74,452.6839215002583,18
28,75,951.2255605852815,14
28,78,1433.1542628092475,5
28,79,1191.9595092681434,10
28,83,4115.572247788272,8
28,278,13052.769059223012,5
29,25,642.2626288684854,6
29,26,1244.2535553718858,8
29,27,1314.7273774786895,7
29,28,671.9934291870263,21
29,30,1530.9284922376933,5
29,31,920.5022366079037,12
29,32,601.2527210288777,15
29,33,1589.7926434121534,5
29,36,2403.642512776396,5
29,40,7045.9017373922225,5
29,54,4148.561168934614,5
29,56,2749.0898882714423,6
29,57,1547.2281202919212,9
29,62,2005.4709996186455,9
29,68,4004.4635388635834,8
29,70,5089.913901816179,5
29,74,720.5950144844562,10
29,78,1513.245926519364,15
29,79,751.9361310525113,17
29,80,3232.5475402176235,9
29,81,3655.582318210667,9
29,82,4418.856087339937,5
29,84,3005.9091612053608,5
29,88,3687.7442253400613,7
29,89,4823.46288980009,5
29,93,3272.5355958277273,7
30,28,2329.203689056431,5
30,29,1381.6441911860816,7
30,31,604.8893341570689,29
30,32,947.9050213494005,10
30,33,1247.143536469943,16
30,34,681.6679272796412,51
30,35,623.2525962003704,11
30,36,1011.8230631367428,25
30,54,5761.282359521837,6
30,80,3475.1377066589694,5
30,83,3068.1049096223114,5
30,84,1765.4648364892491,8
30,85,1522.8017856192155,8
30,87,2804.148333202236,8
30,340,7278.875341801032,6
31,1,1382.2076408635812,6
31,4,898.2581367259385,7
31,5,948.33089433916,10
31,25,644.1569266991204,7
31,27,2080.7744618990364,9
31,28,1752.6233042519598,9
31,29,844.2191276198241,11
31,30,663.5700737915781,32
31,32,1098.4748367995094,20
31,33,1660.0843690302997,6
31,34,1105.5385195596687,11
31,35,1088.2724830186644,8
31,36,1280.675122807743,9
31,51,5956.1693000007745,5
31,58,6664.545869946844,7
31,73,6599.366605024817,5
31,74,2009.44685233824,7
31,75,2417.91376615278,5
31,78,2308.1799222813293,11
31,79,1673.333433646364,13
31,80,3737.23053224073,8
31,81,5035.514359285984,5
31,82,5032.512219721353,6
31,83,4064.885858333776,7
31,87,3480.2740538226476,8
31,88,3274.2113626764644,6
31,90,4131.65197045812,7
31,93,2382.9551122741523,6
31,97,6686.655010076548,9
31,340,8185.728877162603,5
32,27,1916.0555310707036,8
32,28,1276.9989676956964,10
32,29,577.1741307806076,13
32,30,927.2109335206652,11
32,31,1100.7616850981206,22
32,34,1138.7059230516481,7
32,57,2254.9659199359166,5
32,62,3321.337159241718,10
32,68,4063.4883290074713,5
32,73,6044.795138407984,5
