origem,destino,viagens_estimadas,n_amostras
1,2,1457.8888120354652,15
1,3,1226.9840757082704,12
1,5,1657.6478783657412,14
1,6,995.3401627142591,8
1,16,295.42310605641177,5
1,24,695.8433465977191,5
1,26,566.3797076154102,5
1,27,292.4102166796716,5
1,31,628.3253807260907,7
1,34,164.2500687349322,5
1,35,738.4202794355828,5
1,36,1804.4975133238818,8
1,41,544.1644198357408,5
1,79,245.15395224252433,5
1,152,1383.4156898499864,5
1,257,2396.671639525278,5
2,1,1457.8888120354652,15
2,3,1961.8458107360138,12
2,6,2206.997725134813,11
2,7,891.493549426064,10
2,12,361.83692400149505,5
2,17,479.2298456364375,9
2,18,1081.543845812292,5
2,24,807.5125086650968,8
2,129,159.36169460727615,5
3,1,1413.7249121675343,13
3,2,1848.1858007708104,12
3,5,1291.0419649765538,6
3,24,1602.1263286975502,8
3,27,1128.259065642937,9
3,32,266.21898855434256,5
4,1,1278.010265530609,5
4,5,1769.0689405073829,7
4,25,2667.1656046393027,6
4,26,3322.0001242201247,12
4,31,1415.3326446176898,5
5,1,1377.2228008546067,14
5,3,1386.8309846134339,6
5,4,1663.5532561788254,7
5,6,2894.750660541934,13
5,9,435.7569988736049,6
5,31,1757.7065282661315,10
5,35,2200.335766200064,7
5,36,884.574907865157,6
5,41,552.9144053502288,5
5,49,403.1583832006594,5
5,54,428.7131583719167,5
5,62,532.5594682001697,6
5,80,346.16840800046754,6
5,93,1029.9147436668854,14
5,194,957.7149291250936,5
5,301,1236.85637368269,5
6,1,995.3401627142591,8
6,2,1989.1967698708575,10
6,5,2894.750660541934,13
6,35,3699.255824518234,11
7,1,853.7269031277463,5
7,2,891.493549426064,10
7,8,1555.2697379341366,13
7,9,3921.3675046153453,24
7,12,644.7003325388631,7
7,35,2193.501067806995,9
8,7,990.9224352127601,8
8,37,1294.4718345622543,18
8,136,2301.2552868006774,6
9,5,231.40107603025376,5
9,7,3858.528945791897,23
9,10,347.0126098017371,6
9,12,467.8754783039051,5
9,131,124.74204316950515,5
10,9,347.0126098017371,6
10,11,500.0709193954025,15
10,12,1572.73139071431,35
10,16,158.37967355980572,6
10,130,605.9658215923968,5
10,131,126.3202416084257,6
11,10,486.79203334542166,14
11,12,1296.283749949004,30
11,14,191.1239408529733,5
11,38,1341.4091753341872,21
11,39,514.2459865195653,7
11,42,239.30750802151977,7
11,164,205.92773229012846,7
11,177,245.92559511290148,5
12,2,361.83692400149505,5
12,7,707.5388913623117,8
12,9,411.7049076645425,5
12,10,1473.2024400499652,32
12,11,1296.283749949004,30
12,13,649.7488019576455,17
12,14,1916.1779461682597,22
12,17,409.11914588203433,6
12,38,1524.5197385790748,25
12,42,808.9581202153576,12
12,130,206.04843340189515,7
12,165,231.43071483993853,5
13,12,649.7488019576455,17
13,14,218.1590127339499,20
13,15,670.2593329964681,11
14,12,1751.561057337536,21
14,13,218.1590127339499,20
14,15,1079.0229065564783,13
14,16,377.8492259448683,6
14,17,1351.2574364851496,23
14,38,280.2887469270703,8
14,41,875.0412350432621,11
14,42,1395.1537102852344,20
15,13,667.3031624607877,11
15,14,1003.3949480557808,15
15,16,507.8811118389308,5
15,43,748.0801934567869,8
16,1,295.42310605641177,5
16,10,158.37967355980572,6
16,14,377.8492259448683,6
16,15,507.8811118389308,5
16,17,2491.873868360091,36
16,18,1719.4134367811828,8
16,41,695.9625961648181,5
17,2,479.2298456364375,9
17,12,409.11914588203433,6
17,14,1337.9167039488807,22
17,15,274.59373577901766,5
17,16,2422.316815783309,36
17,39,688.8670302440969,6
17,41,226.06345918076244,5
18,2,1114.396142287034,5
18,12,1288.6832266868594,5
18,16,1396.6379509116334,6
18,19,3252.8796663057383,14
18,43,481.4552635412072,6
18,45,3554.1938568199066,12
18,241,469.29703150914963,5
19,18,3252.8796663057383,14
19,20,1869.664512324572,8
19,50,1242.075363884087,11
19,51,965.5933327352952,7
19,237,506.3188025140989,6
20,19,1869.664512324572,8
20,22,1381.5655587796732,5
20,24,1379.6961628739018,8
21,23,727.8137911122614,6
21,24,883.1673905806203,10
21,49,634.4554296290576,5
21,240,1251.6315722517074,5
22,20,1381.5655587796732,5
22,21,519.2566428807189,5
22,23,1066.387431838555,11
22,24,1587.6019368801137,7
22,27,499.4986214365558,5
22,49,504.93596169596736,7
22,53,798.8924956661369,5
23,21,727.8137911122614,6
23,22,1122.2615028213215,12
23,24,603.3113778529345,8
24,1,695.8433465977191,5
24,2,807.5125086650968,8
24,3,1389.0123663444112,7
24,20,1379.6961628739018,8
24,21,883.1673905806203,10
24,22,1729.9436909216997,8
24,23,578.4044987825446,7
24,27,520.1750451330531,6
24,49,532.5005321042327,5
24,63,103.96019082795242,6
25,4,2449.364649375347,5
25,27,1414.072611201026,8
25,29,1404.0897170875103,6
25,31,1575.1978915950622,7
26,1,566.3797076154102,5
26,4,3796.3101695898167,14
26,27,1256.7494983882284,14
26,29,996.7906199519424,7
27,1,342.6516334334911,6
27,3,1128.259065642937,9
27,22,499.4986214365558,5
27,24,513.5278145912346,6
27,25,1414.072611201026,8
27,26,1137.426869370859,13
27,28,1326.3547447661765,27
27,29,537.8032448136098,7
27,31,665.3721599829868,7
27,32,547.1187762351922,9
27,41,582.1061440811925,7
27,53,392.4686529764621,5
27,55,493.5351280596557,5
27,57,1833.5822976503584,13
27,58,1357.8398616233294,7
27,62,257.19128487667297,5
27,73,756.5579980864311,5
27,74,662.322725497681,12
27,75,442.35061537893506,7
27,76,321.415612593695,6
27,78,896.4815364237573,9
27,79,1201.4308516684507,12
27,80,439.69827174841953,7
27,83,521.8348122917301,6
27,275,650.3566888553896,5
27,323,910.4215608323507,6
28,27,1190.0113938688369,23
28,29,1034.1279135667035,19
28,30,322.84367707639535,5
28,31,985.7245503491781,10
28,32,591.4551937373411,10
28,34,231.9737236482403,6
28,57,967.0159972031615,14
28,74,2286.9392036772006,18
28,75,652.8781221195213,14
28,78,291.8056226853141,5
28,79,651.51906458893,10
28,83,666.8181579873168,8
28,278,1802.151746137742,5
29,25,1404.0897170875103,6
29,26,1044.10059369099,8
29,27,537.8032448136098,7
29,28,1652.9316736837634,21
29,30,267.4786001233149,5
29,31,1719.5274576215243,12
29,32,1499.1362672356563,15
29,33,43.198878728672355,5
29,36,786.8229046948957,5
29,40,159.61152026903034,5
29,54,223.99239776684828,5
29,56,699.2423373439751,6
29,57,1694.0044046028372,9
29,62,377.33111298274395,9
29,68,898.0228850916525,8
29,70,793.3565579588239,5
29,74,1968.786498245282,10
29,78,962.1604525049484,15
29,79,835.4180508395275,17
29,80,652.7410838293288,9
29,81,502.33597003131456,9
29,82,389.4134908543074,5
29,84,300.85367234515405,5
29,88,911.507367243386,7
29,89,516.2440232639977,5
29,93,453.17769283848963,7
30,28,346.9800609786974,5
30,29,324.73140205541307,7
30,31,3116.288955991583,29
30,32,471.23198026239277,10
30,33,461.97322583649736,16
30,34,2417.577419942135,51
30,35,972.8704643983491,11
30,36,4099.962935315273,25
30,54,314.9153150460262,6
30,80,386.4577295919837,5
30,83,393.7724175794633,5
30,84,606.1003407248645,8
30,85,227.9660373836254,8
30,87,574.4800119517193,8
30,340,329.40338487555056,6
31,1,531.5678563166796,6
31,4,1990.356056763168,7
31,5,1707.773041678822,10
31,25,1575.1978915950622,7
31,27,1286.6360894682273,9
31,28,914.0094576023832,9
31,29,1637.783574255037,11
31,30,3142.547362768383,32
31,32,1854.0221821836722,20
31,33,50.50616873498436,6
31,34,863.8061858336591,11
31,35,2865.3980372913534,8
31,36,2344.1758319130577,9
31,51,478.2295111594185,5
31,58,935.1291091178989,7
31,73,273.21640658073034,5
31,74,537.2545084533591,7
31,75,327.06630303944576,5
31,78,1042.4026802486355,11
31,79,1366.3374997695457,13
31,80,666.668258700676,8
31,81,264.598184496673,5
31,82,779.403234149953,6
31,83,574.8060558069885,7
31,87,500.74280896626203,8
31,88,736.3111663372651,6
31,90,613.3135481654681,7
31,93,427.7352572214806,6
31,97,391.00282788202594,9
31,340,373.93527314324535,5
32,27,532.281248493721,8
32,28,543.698306588859,10
32,29,1432.4945102253787,13
32,30,526.4491533692445,11
32,31,2024.1479786471214,22
32,34,166.228510307736,7
32,57,311.98589627022983,5
32,62,580.2015279219802,10
32,68,405.87366757776556,5
32,73,156.8968837189295,5
32,74,1197.3821131185007,13
32,75,228.31058390320504,6
32,76,275.7395823393213,6
32,77,806.8739516320928,10
32,78,1166.8909152253032,15
32,79,1882.7016718898442,26
32,81,636.2494268885189,15
32,83,334.05698016408877,5
32,87,567.7220737296432,8
32,340,106.74440875758768,5
33,29,43.198878728672355,5
33,30,635.8360824675632,19
33,31,50.50616873498436,6
33,34,189.31869455668624,5
33,79,90.00294588283538,7
33,88,67.22651358220746,5
33,93,164.42604350406563,6
34,1,216.25643804666598,6
34,30,2099.2069541142127,45
34,31,843.1844445564344,12
34,32,229.07779976238115,8
34,33,189.31869455668624,5
34,35,1109.5652017524517,10
34,36,3780.114798012797,24
34,77,192.58559493409228,6
34,79,499.8016405194563,11
34,84,250.32611409237154,5
34,85,192.70365264968467,8
35,5,1893.1367239369833,6
35,6,3787.455311588358,13
35,7,2193.501067806995,9
35,30,1329.9147533878236,13
35,31,2327.901186830872,8
35,34,1078.4904199511334,9
35,36,5093.411542774899,18
35,37,932.8541397136779,6
35,84,510.7939150045777,5
36,1,1617.756676864618,7
36,5,813.8720388465049,5
36,29,786.8229046948957,5
36,30,3873.099807899396,25
36,31,2344.1758319130577,9
36,34,3646.750725552128,24
36,35,5734.747693304758,19
36,37,1098.338425219461,8
36,54,469.93523769246144,5
36,79,469.72190518974605,5
36,91,1135.855488142975,5
36,92,1012.6990455613081,15
36,93,2016.2584491132877,15
37,7,857.5642786546048,9
37,8,775.5446873370162,14
37,35,887.4339842175395,5
37,36,961.6289950852848,7
37,91,256.13920189014453,5
37,92,672.2350741712949,7
37,93,411.86155408149466,7
37,137,320.9396214282924,5
38,11,1329.6908263253965,20
38,12,1241.5530481584321,22
38,14,280.2887469270703,8
38,39,653.4461938830393,7
38,42,477.2139485284558,11
39,11,385.5430052639296,6
39,17,609.9748309887025,5
39,38,653.4461938830393,7
39,41,3589.349224764167,29
39,42,1101.280145500933,17
39,166,767.4460082291776,5
39,167,553.7636165626606,5
39,168,1898.14596693495,10
40,29,159.61152026903034,5
40,41,1060.8585300140264,15
40,43,1840.216249775006,45
40,45,710.7144927216325,12
40,48,2596.798566076136,30
40,254,160.24243971223717,6
41,1,544.1644198357408,5
41,14,875.0412350432621,11
41,16,851.8500242542948,6
41,17,304.95565843615685,6
41,27,596.9436718226636,8
41,39,3095.7761956541517,28
41,40,1062.7838161814332,15
41,42,1005.9829289962803,13
41,43,1700.1150818087885,14
41,45,1898.7236676265172,6
41,166,801.8127202381482,5
41,167,1104.5033346948667,8
41,168,1508.4244360251666,9
41,169,415.18835381007295,5
42,11,239.30750802151977,7
42,12,808.9581202153576,12
42,14,1395.1537102852344,20
42,38,477.2139485284558,11
42,39,987.1899376267719,15
42,41,1063.0280329333607,14
43,15,888.5321010154855,9
43,18,481.4552635412072,6
43,31,990.7356967655911,5
43,40,1810.6863894845171,44
43,41,1423.5893028769035,13
43,44,2404.2756230541227,15
43,45,7514.739656122291,58
43,46,1090.6540490489033,5
43,47,1476.7520134358376,11
43,48,946.7383428109906,9
43,73,741.7133930475937,5
43,167,1186.8086172679316,6
43,168,1010.4260508785691,7
43,169,305.9275005821295,5
43,228,5131.174359088554,5
43,254,897.3166228115631,6
44,43,2404.2756230541227,15
44,45,1451.0896735891101,10
44,46,3104.450058850778,6
44,47,1365.130008791638,10
44,253,129.49474062819806,5
44,254,1980.0616084572905,6
45,18,3387.305799039834,11
45,40,740.2443530121213,13
45,41,2180.4350896574406,7
45,43,7739.208414500034,58
45,44,1451.0896735891101,10
45,47,1499.220980996747,7
45,253,1886.446487997523,17
45,254,3136.4379058737723,9
46,43,1090.6540490489033,5
46,44,3104.450058850778,6
46,47,2579.129853120797,7
46,48,644.8785305378607,5
46,254,4048.4175306975735,8
46,256,990.3721787591683,5
47,43,1476.7520134358376,11
47,44,1365.130008791638,10
47,45,1499.220980996747,7
47,46,2592.8952634574007,7
47,254,2266.5832203786176,6
48,40,2596.798566076136,30
48,43,581.0190248191639,7
48,46,644.8785305378607,5
48,166,1620.1798347048057,7
48,167,1295.1464530017176,6
48,168,3199.273176284957,14
48,169,1258.3005047934823,6
48,210,1634.6232811661816,6
48,239,1526.650549174154,5
49,5,403.1583832006594,5
49,21,634.4554296290576,5
49,22,504.93596169596736,7
49,24,532.5005321042327,5
49,52,1178.7164478616805,11
49,55,1322.6904650951662,14
49,56,1767.3395680168962,16
49,58,919.3870006328511,8
49,74,410.8336899512436,5
49,77,1488.231451340619,8
50,19,1121.1362575215182,10
50,51,2293.9662452625385,22
50,53,455.8817044821699,5
50,73,1281.696657461359,5
51,19,965.5933327352952,7
51,50,2293.9662452625385,22
51,53,1377.8046509924254,11
51,54,423.98652496096656,6
51,55,667.6385158301622,7
51,58,1084.1180236371247,5
51,61,1069.447105226288,5
51,86,107.86256333468916,5
51,240,1773.6452914657373,7
52,49,1025.2557020134657,9
52,53,1551.528543836327,7
52,54,806.8614673003974,6
52,55,778.1316244674299,6
53,22,798.8924956661369,5
53,27,392.4686529764621,5
53,51,1377.8046509924254,11
53,52,1226.687060732628,6
53,54,1595.8178719019998,8
53,55,707.4603366293642,9
53,56,1305.7644361072203,8
53,58,2266.300451601111,12
53,59,4372.931105412697,6
54,5,428.7131583719167,5
54,27,268.55501506622664,5
54,29,223.99239776684828,5
