zona,municipio_cod,x_centroide,y_centroide,municipio
1,36.0,333199.9037487335,7394801.321175278,São Paulo
2,36.0,333495.4090909091,7395384.704545454,São Paulo
3,36.0,333370.32905982906,7394274.829059829,São Paulo
4,36.0,332421.1337579618,7394528.88747346,São Paulo
5,36.0,332380.3416746872,7395216.187680462,São Paulo
6,36.0,332742.8157894737,7395837.4412955465,São Paulo
7,36.0,333161.4203935599,7396714.515205724,São Paulo
8,36.0,332037.9605263158,7397675.934210527,São Paulo
9,36.0,333591.97245179064,7397277.157024793,São Paulo
10,36.0,334572.164305949,7397524.144475921,São Paulo
11,36.0,335649.5440414508,7397339.777202073,São Paulo
12,36.0,334846.14285714284,7396775.841107871,São Paulo
13,36.0,334554.37585421413,7396062.400911162,São Paulo
14,36.0,335247.6480218281,7395885.810368349,São Paulo
15,36.0,335597.2297297297,7395406.141891892,São Paulo
16,36.0,334622.3808411215,7394816.684579439,São Paulo
17,36.0,334307.69787234045,7395428.727659575,São Paulo
18,36.0,334921.016064257,7393562.491967872,São Paulo
19,36.0,334536.71191135736,7392350.08864266,São Paulo
20,36.0,333914.63924050634,7392985.189873418,São Paulo
21,36.0,333558.67085427133,7392216.374371859,São Paulo
22,36.0,333140.3741935484,7392674.9,São Paulo
23,36.0,332764.7401392111,7392711.373549884,São Paulo
24,36.0,333079.0917107584,7393552.654320988,São Paulo
25,36.0,331771.19847328245,7394131.538167939,São Paulo
26,36.0,332420.7571884984,7393731.194888179,São Paulo
27,36.0,332128.9648288973,7392849.267110266,São Paulo
28,36.0,331545.75259067357,7393042.154145078,São Paulo
29,36.0,331120.67169476487,7393589.416149069,São Paulo
30,36.0,330932.6898954704,7395134.987224158,São Paulo
31,36.0,331484.5436241611,7394863.746644296,São Paulo
32,36.0,330603.10963748896,7394021.022988506,São Paulo
33,36.0,329828.86,7394568.28,São Paulo
34,36.0,330443.93610223645,7395449.215654952,São Paulo
35,36.0,331678.275659824,7396131.69941349,São Paulo
36,36.0,330894.45743329095,7396300.301143583,São Paulo
37,36.0,331217.89238845144,7397419.538057743,São Paulo
38,36.0,336318.23745819397,7397100.658862877,São Paulo
39,36.0,337180.53280839894,7396517.706036746,São Paulo
40,36.0,338058.80157687253,7394904.727989487,São Paulo
41,36.0,337331.9514285714,7395818.241428572,São Paulo
42,36.0,336043.75155279506,7396216.875776397,São Paulo
43,36.0,337131.79550321196,7394534.751605996,São Paulo
44,36.0,337784.57276995305,7393079.253521127,São Paulo
45,36.0,336960.19258202566,7393074.032810271,São Paulo
46,36.0,340179.7247191011,7392034.443820225,São Paulo
47,36.0,338677.19658119656,7392838.205128205,São Paulo
48,36.0,339171.4,7393922.6144927535,São Paulo
49,36.0,332964.0035714286,7391515.4,São Paulo
50,36.0,334483.0036101083,7391052.101083033,São Paulo
51,36.0,334065.5885167464,7390163.760765551,São Paulo
52,36.0,333421.4747474748,7390568.68013468,São Paulo
53,36.0,333388.1508704062,7389557.027079304,São Paulo
54,36.0,332406.58747044916,7389474.039007092,São Paulo
55,36.0,332615.6660899654,7390274.311418685,São Paulo
56,36.0,332343.67596899223,7391121.203100775,São Paulo
57,36.0,331930.7046070461,7392167.223577236,São Paulo
58,36.0,333408.2464028777,7388479.683453238,São Paulo
59,36.0,333028.7258426966,7386826.793258427,São Paulo
60,36.0,331830.5,7386850.307486631,São Paulo
61,36.0,332494.6010638298,7388525.941489362,São Paulo
62,36.0,331201.7295081967,7391192.183606558,São Paulo
63,36.0,331190.9193899782,7389612.80174292,São Paulo
64,36.0,330682.7788161994,7388472.833852544,São Paulo
65,36.0,329754.73363095237,7389081.331845238,São Paulo
66,36.0,329768.58678756474,7388060.9883419685,São Paulo
67,36.0,329719.4672897196,7390209.221962617,São Paulo
68,36.0,328598.45051464764,7390689.941409343,São Paulo
69,36.0,328833.39735099336,7389956.841059603,São Paulo
70,36.0,328786.94696969696,7389049.4602272725,São Paulo
71,36.0,328158.46887159534,7387865.924124514,São Paulo
72,36.0,327397.8152610442,7386915.775100402,São Paulo
73,36.0,327513.63982430456,7389079.699121523,São Paulo
74,36.0,331262.6902050114,7392854.774487471,São Paulo
75,36.0,330678.44006309146,7392571.728706624,São Paulo
76,36.0,330096.2328042328,7391951.054232804,São Paulo
77,36.0,329188.07886089815,7393823.083242059,São Paulo
78,36.0,329972.14178168133,7393097.69510665,São Paulo
79,36.0,330409.4424,7393544.2176,São Paulo
80,36.0,328047.3948772679,7393080.075773746,São Paulo
81,36.0,327943.7291037261,7391636.496475327,São Paulo
82,36.0,326961.35488611314,7392696.5451873625,São Paulo
83,36.0,327610.1934826884,7394206.885947047,São Paulo
84,36.0,329485.5953488372,7396035.2139534885,São Paulo
85,36.0,329782.3713692946,7395755.7593361,São Paulo
86,36.0,329110.88028169016,7395307.570422535,São Paulo
87,36.0,328063.12924281985,7395189.882506527,São Paulo
88,36.0,328406.74775583483,7396225.496409336,São Paulo
