origem,destino,tempo_medio_min,n_amostras
1,2,8.666666666666666,15
1,3,7.916666666666667,12
1,5,12.214285714285714,14
1,6,15.125,8
1,16,19.4,5
1,24,20.6,5
1,26,28.0,5
1,27,32.0,5
1,31,21.857142857142858,7
1,34,24.0,5
1,35,25.0,5
1,36,25.375,8
1,41,26.0,5
1,79,37.0,5
1,152,34.0,5
1,257,63.0,5
2,1,9.266666666666667,15
2,3,22.0,12
2,6,20.454545454545453,11
2,7,15.0,10
2,12,27.0,5
2,17,13.11111111111111,9
2,18,26.0,5
2,24,21.5,8
2,129,24.0,5
3,1,7.6923076923076925,13
3,2,20.0,12
3,5,25.0,6
3,24,14.0,8
3,27,17.333333333333332,9
3,32,27.0,5
4,1,16.0,5
4,5,10.714285714285714,7
4,25,14.166666666666666,6
4,26,13.333333333333334,12
4,31,25.0,5
5,1,13.357142857142858,14
5,3,20.833333333333332,6
5,4,10.714285714285714,7
5,6,12.846153846153847,13
5,9,22.5,6
5,31,16.5,10
5,35,19.285714285714285,7
5,36,30.0,6
5,41,28.0,5
5,49,27.0,5
5,54,30.0,5
5,62,24.166666666666668,6
5,80,27.5,6
5,93,23.0,14
5,194,74.0,5
5,301,38.0,5
6,1,15.0,8
6,2,20.5,10
6,5,13.307692307692308,13
6,35,18.636363636363637,11
7,1,17.0,5
7,2,15.0,10
7,8,19.53846153846154,13
7,9,12.458333333333334,24
7,12,26.428571428571427,7
7,35,16.11111111111111,9
8,7,15.375,8
8,37,17.77777777777778,18
8,136,23.333333333333332,6
9,5,19.0,5
9,7,12.173913043478262,23
9,10,12.333333333333334,6
9,12,14.0,5
9,131,15.0,5
10,9,11.333333333333334,6
10,11,9.0,15
10,12,13.028571428571428,35
10,16,15.0,6
10,130,19.2,5
10,131,14.166666666666666,6
11,10,7.857142857142857,14
11,12,12.333333333333334,30
11,14,16.0,5
11,38,9.523809523809524,21
11,39,17.142857142857142,7
11,42,17.428571428571427,7
11,164,8.571428571428571,7
11,177,40.0,5
12,2,27.0,5
12,7,21.875,8
12,9,17.0,5
12,10,12.5625,32
12,11,11.5,30
12,13,9.823529411764707,17
12,14,16.681818181818183,22
12,17,22.666666666666668,6
12,38,17.12,25
12,42,17.416666666666668,12
12,130,38.57142857142857,7
12,165,17.0,5
13,12,11.352941176470589,17
13,14,10.5,20
13,15,16.636363636363637,11
14,12,15.761904761904763,21
14,13,10.4,20
14,15,11.538461538461538,13
14,16,15.833333333333334,6
14,17,16.47826086956522,23
14,38,20.875,8
14,41,17.90909090909091,11
14,42,14.8,20
15,13,15.909090909090908,11
15,14,12.533333333333333,15
15,16,23.0,5
15,43,16.25,8
16,1,15.4,5
16,10,17.5,6
16,14,18.0,6
16,15,21.0,5
16,17,12.75,36
16,18,21.0,8
16,41,19.4,5
17,2,12.222222222222221,9
17,12,16.666666666666668,6
17,14,14.772727272727273,22
17,15,17.0,5
17,16,12.277777777777779,36
17,39,29.166666666666668,6
17,41,20.0,5
18,2,25.4,5
18,12,19.0,5
18,16,21.166666666666668,6
18,19,13.428571428571429,14
18,43,20.0,6
18,45,17.083333333333332,12
18,241,30.0,5
19,18,13.0,14
19,20,15.75,8
19,50,13.090909090909092,11
19,51,14.285714285714286,7
19,237,27.5,6
20,19,11.375,8
20,22,18.0,5
20,24,13.75,8
21,23,18.333333333333332,6
21,24,16.4,10
21,49,17.0,5
21,240,19.0,5
22,20,14.0,5
22,21,9.4,5
22,23,10.727272727272727,11
22,24,12.857142857142858,7
